流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
int	string	int	int	string	string	int
ID	EquipID	AdvancedLevel	NeedLevel	AdvancedProp	AdvancedCost	AdvancedCurrencyCost
1	equip301040431001	1	48	3,15;21,14;25,18	item103015110413,30;item103015110302,2	50000
2	equip301040431001	2	48	3,30;21,29;25,36	item103015110413,50;item103015110302,10	100000
3	equip301040431001	3	48	3,48;21,47;25,57	item103015110413,70;item103015110302,20	150000
4	equip301040431001	4	48	3,69;21,68;25,83	item103015110413,100;item103015110302,40	200000
5	equip301040431001	5	55	3,94;21,91;25,111	item103015110413,150;item103015110302,60;item103015110412,1	250000
6	equip301040431001	6	60	3,121;21,118;25,144	item103015110413,200;item103015110302,80;item103015110412,1	500000
7	equip301040431001	7	65	3,148;21,145;25,176	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
8	equip301040431001	8	70	3,179;21,174;25,212	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
9	equip301040431001	9	75	3,209;21,204;25,249	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
10	equip301040431001	10	80	3,243;21,236;25,288	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
11	equip301040431001	11	85	3,279;21,272;25,332	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
12	equip301040431001	12	90	3,319;21,310;25,379	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
13	equip301040431001	13	90	3,361;21,352;25,429	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
14	equip301040431001	14	90	3,407;21,396;25,483	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
15	equip301040431002	1	48	3,19;21,12;25,25	item103015110413,30;item103015110302,2	50000
16	equip301040431002	2	48	3,38;21,25;25,51	item103015110413,50;item103015110302,10	100000
17	equip301040431002	3	48	3,61;21,41;25,82	item103015110413,70;item103015110302,20	150000
18	equip301040431002	4	48	3,89;21,59;25,118	item103015110413,100;item103015110302,40	200000
19	equip301040431002	5	55	3,119;21,80;25,160	item103015110413,150;item103015110302,60;item103015110412,1	250000
20	equip301040431002	6	60	3,154;21,103;25,206	item103015110413,200;item103015110302,80;item103015110412,1	500000
21	equip301040431002	7	65	3,189;21,126;25,253	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
22	equip301040431002	8	70	3,228;21,152;25,305	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
23	equip301040431002	9	75	3,267;21,178;25,356	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
24	equip301040431002	10	80	3,309;21,207;25,413	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
25	equip301040431002	11	85	3,356;21,238;25,475	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
26	equip301040431002	12	90	3,406;21,271;25,542	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
27	equip301040431002	13	90	3,460;21,308;25,615	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
28	equip301040431002	14	90	3,518;21,347;25,692	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
29	equip301040431003	1	48	3,19;21,20;25,20	item103015110413,30;item103015110302,2	50000
30	equip301040431003	2	48	3,38;21,40;25,41	item103015110413,50;item103015110302,10	100000
31	equip301040431003	3	48	3,60;21,65;25,66	item103015110413,70;item103015110302,20	150000
32	equip301040431003	4	48	3,87;21,93;25,94	item103015110413,100;item103015110302,40	200000
33	equip301040431003	5	55	3,118;21,126;25,128	item103015110413,150;item103015110302,60;item103015110412,1	250000
34	equip301040431003	6	60	3,152;21,162;25,165	item103015110413,200;item103015110302,80;item103015110412,1	500000
35	equip301040431003	7	65	3,186;21,199;25,202	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
36	equip301040431003	8	70	3,224;21,240;25,243	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
37	equip301040431003	9	75	3,262;21,280;25,284	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
38	equip301040431003	10	80	3,304;21,325;25,330	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
39	equip301040431003	11	85	3,350;21,374;25,379	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
40	equip301040431003	12	90	3,400;21,427;25,433	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
41	equip301040431003	13	90	3,453;21,484;25,491	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
42	equip301040431003	14	90	3,510;21,545;25,553	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
43	equip301040431004	1	48	3,17;21,18;25,25	item103015110413,30;item103015110302,2	50000
44	equip301040431004	2	48	3,34;21,36;25,51	item103015110413,50;item103015110302,10	100000
45	equip301040431004	3	48	3,55;21,59;25,82	item103015110413,70;item103015110302,20	150000
46	equip301040431004	4	48	3,80;21,84;25,118	item103015110413,100;item103015110302,40	200000
47	equip301040431004	5	55	3,108;21,114;25,160	item103015110413,150;item103015110302,60;item103015110412,1	250000
48	equip301040431004	6	60	3,139;21,147;25,206	item103015110413,200;item103015110302,80;item103015110412,1	500000
49	equip301040431004	7	65	3,171;21,180;25,253	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
50	equip301040431004	8	70	3,205;21,217;25,305	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
51	equip301040431004	9	75	3,240;21,254;25,356	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
52	equip301040431004	10	80	3,279;21,295;25,413	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
53	equip301040431004	11	85	3,321;21,339;25,475	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
54	equip301040431004	12	90	3,366;21,387;25,542	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
55	equip301040431004	13	90	3,415;21,439;25,615	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
56	equip301040431004	14	90	3,467;21,494;25,692	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
57	equip301040431005	1	48	3,19;21,16;25,31	item103015110413,30;item103015110302,2	50000
58	equip301040431005	2	48	3,39;21,33;25,62	item103015110413,50;item103015110302,10	100000
59	equip301040431005	3	48	3,62;21,53;25,99	item103015110413,70;item103015110302,20	150000
60	equip301040431005	4	48	3,90;21,76;25,142	item103015110413,100;item103015110302,40	200000
61	equip301040431005	5	55	3,121;21,103;25,192	item103015110413,150;item103015110302,60;item103015110412,1	250000
62	equip301040431005	6	60	3,157;21,133;25,248	item103015110413,200;item103015110302,80;item103015110412,1	500000
63	equip301040431005	7	65	3,192;21,163;25,303	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
64	equip301040431005	8	70	3,231;21,196;25,365	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
65	equip301040431005	9	75	3,271;21,229;25,427	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
66	equip301040431005	10	80	3,314;21,266;25,496	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
67	equip301040431005	11	85	3,361;21,306;25,570	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
68	equip301040431005	12	90	3,412;21,349;25,651	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
69	equip301040431005	13	90	3,467;21,396;25,737	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
70	equip301040431005	14	90	3,526;21,446;25,830	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
71	equip301040431006	1	48	3,15;21,14;25,18	item103015110413,30;item103015110302,2	50000
72	equip301040431006	2	48	3,30;21,29;25,36	item103015110413,50;item103015110302,10	100000
73	equip301040431006	3	48	3,48;21,47;25,57	item103015110413,70;item103015110302,20	150000
74	equip301040431006	4	48	3,69;21,68;25,83	item103015110413,100;item103015110302,40	200000
75	equip301040431006	5	55	3,93;21,91;25,111	item103015110413,150;item103015110302,60;item103015110412,1	250000
76	equip301040431006	6	60	3,120;21,118;25,144	item103015110413,200;item103015110302,80;item103015110412,1	500000
77	equip301040431006	7	65	3,147;21,145;25,176	item103015110413,300;item103015110302,80;item103015110415,20;item103015110412,1	1000000
78	equip301040431006	8	70	3,177;21,174;25,212	item103015110413,400;item103015110302,100;item103015110415,40;item103015110412,1	1500000
79	equip301040431006	9	75	3,207;21,204;25,249	item103015110413,500;item103015110302,120;item103015110415,60;item103015110412,1	2000000
80	equip301040431006	10	80	3,240;21,236;25,288	item103015110413,750;item103015110302,160;item103015110415,100;item103015110412,1	2500000
81	equip301040431006	11	85	3,276;21,272;25,332	item103015110413,1000;item103015110302,200;item103015110415,140;item103015110412,1	3000000
82	equip301040431006	12	90	3,316;21,310;25,379	item103015110413,1250;item103015110302,240;item103015110415,180;item103015110412,1	3500000
83	equip301040431006	13	90	3,358;21,352;25,429	item103015110413,1500;item103015110302,280;item103015110415,220;item103015110412,1	4000000
84	equip301040431006	14	90	3,403;21,396;25,483	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
85	equip301040432001	1	48	3,16;21,15;25,19	item103015110413,30;item103015110302,2	50000
86	equip301040432001	2	48	3,32;21,31;25,38	item103015110413,50;item103015110302,10	100000
87	equip301040432001	3	48	3,51;21,49;25,60	item103015110413,70;item103015110302,20	150000
88	equip301040432001	4	48	3,73;21,71;25,87	item103015110413,100;item103015110302,40	200000
89	equip301040432001	5	55	3,99;21,96;25,118	item103015110413,150;item103015110302,60;item103015110412,1	250000
