流水	关卡ID	列数	行数	事件ID	隐藏事件ID	底图icon	格子属性
int	int	int	int	int	int	int	string
Id	RegionID	Col	Row	FirstEventId	SecondEventId	FloorId	GridParam
1	101	8	4	1001	0	3	
2	101	1	5	1001	0	3	
3	101	2	5	1001	0	3	
4	101	3	5	2001	0	3	
5	101	4	5	2001	0	3	
6	101	5	5	2001	0	3	
7	101	6	5	1001	0	3	
8	101	7	5	2001	0	3	
9	101	8	5	2001	0	3	
10	101	9	5	1001	0	3	
11	101	10	5	3001	0	3	
12	101	11	5	1001	0	3	
13	101	12	5	3001	0	3	
14	101	13	5	8001	0	3	
15	101	14	5	10301	0	3	
16	101	15	5	4002	0	3	
17	101	1	6	1001	0	3	
18	101	2	6	2001	0	3	
19	101	3	6	2001	0	3	
20	101	4	6	2001	0	3	
21	101	5	6	2001	0	3	
22	101	6	6	2001	0	3	
23	101	7	6	3001	0	3	
24	101	8	6	3001	0	3	
25	101	9	6	2001	0	3	
26	101	10	6	3001	0	3	
27	101	11	6	2001	0	3	
28	101	12	6	3001	0	3	
29	101	13	6	1001	0	3	
30	101	14	6	3001	0	3	
31	101	15	6	4002	0	3	
32	101	16	6	4002	0	3	
33	101	1	7	2001	0	3	
34	101	2	7	2001	0	3	
35	101	3	7	2001	0	3	
36	101	4	7	2001	0	3	
37	101	5	7	2001	0	3	
38	101	6	7	10201	0	3	
39	101	7	7	1001	0	3	
40	101	8	7	3001	0	3	
41	101	9	7	10101	0	3	
42	101	10	7	4002	0	3	
43	101	11	7	4002	0	3	
44	101	12	7	4002	0	3	
45	101	13	7	4002	0	3	
46	101	14	7	1001	0	3	
47	101	15	7	4002	0	3	
48	101	4	8	4007	0	3	
49	101	5	8	4005	0	5	
50	101	6	8	4005	0	5	
51	101	12	8	4002	0	3	
52	101	13	8	4002	0	3	
53	101	14	8	3001	0	3	
54	101	15	8	1001	0	3	
55	101	16	8	4002	0	3	
56	101	3	9	4007	0	3	
57	101	4	9	4005	0	5	
58	101	5	9	4005	0	3	
59	101	12	9	4002	0	3	
60	101	13	9	1001	0	3	
61	101	14	9	2001	0	3	
62	101	15	9	3001	0	3	
63	101	16	9	4002	0	3	
64	101	5	10	2001	0	3	
65	101	6	10	2001	0	3	
66	101	7	10	2001	0	3	
67	101	13	10	4002	0	3	
68	101	14	10	3001	0	3	
69	101	15	10	3001	0	3	
70	101	16	10	2001	0	3	
71	101	17	10	4002	0	3	
72	101	5	11	2001	0	3	
73	101	6	11	4007	0	3	
74	101	7	11	2001	0	3	
75	101	13	11	4002	0	3	
76	101	14	11	2001	0	3	
77	101	15	11	1001	0	3	
78	101	16	11	1001	0	3	
79	101	17	11	4002	0	3	
80	101	6	12	2001	0	3	
81	101	7	12	2001	0	3	
82	101	8	12	10301	0	3	
83	101	14	12	4002	0	3	
84	101	15	12	1001	0	3	
85	101	16	12	9001	0	3	
86	101	17	12	1001	0	3	
87	101	18	12	4002	0	3	
88	101	5	13	2001	0	3	
89	101	6	13	2001	0	3	
90	101	7	13	2001	0	3	
91	101	10	13	6030	0	3	
92	101	11	13	2001	0	3	
93	101	12	13	2001	0	3	
94	101	13	13	4005	0	5	
95	101	14	13	4002	0	3	
96	101	15	13	1001	0	3	
97	101	16	13	1001	0	3	
98	101	17	13	2001	0	3	
99	101	18	13	4002	0	3	
100	101	6	14	2001	0	3	
101	101	7	14	10301	0	3	
102	101	8	14	2001	0	3	
103	101	10	14	2001	0	3	
104	101	15	14	4002	0	3	
105	101	16	14	2001	0	3	
106	101	17	14	2001	0	3	
107	101	18	14	2001	0	3	
108	101	19	14	4002	0	3	
109	101	6	15	2001	0	3	
110	101	7	15	2001	0	3	
