时装id	高模绑点参数	高模时装特效	低模绑点参数	低模时装特效	高模待机动作	高模展示动作	待机动作	移动动作	展示动作	展示间隔时间
string	string	string	string	string	string	string	string	string	string	float
Id	HighBindPos	HighFashionEffectId	BindPos	FashionEffectId	AvatarShowId	AvatarActionId	IdleActionId	MoveActionId	ShowActionId	ShowInterval
fashion_100401										0.000000
fashion_100402										0.000000
fashion_100403										0.000000
fashion_100404										0.000000
fashion_100405										0.000000
fashion_100406										0.000000
fashion_100407										0.000000
fashion_100408										0.000000
fashion_100409										0.000000
fashion_100410										0.000000
fashion_100411	76;77;78;79	41000002;41000001;41000001;41000002	76;79	41000002;41000002	frun01		idle01	frun01	copy01	20.000000
fashion_100412	81;82	41000003;41000004	81;82	41000003;41000004	idle01		idle01	idle01	copy01	20.000000
fashion_100413	69	41000005	69	41000005	idle01		idle01	idle01	show01	5.000000
fashion_100414										0.000000
fashion_100415										0.000000
fashion_100416										0.000000
fashion_100417										0.000000
fashion_100418										0.000000
fashion_100419					idle01		idle01	idle01	show01	10.000000
fashion_100420	87;88	41000006;41000007	87;88	41000006;41000007	idle01		idle01	idle01	idle01	20.000000
fashion_100422	76;77;78;79	41000013;41000012;41000012;41000013	76;79	41000013;41000013	frun01		idle01	frun01	copy01	20.000000
fashion_100424	69	41000005	69	41000005	idle01		idle01	idle01	show01	3.000000
fashion_100425	60	41000009	60	41000009	idle01		idle01	idle01	idle01	10000.000000
fashion_100426	60	41000010	60	41000010	idle01		idle01	idle01	idle01	10000.000000
fashion_100427	60	41000009	60	41000009	idle01		idle01	idle01	idle01	10000.000000
fashion_100429					idle01	show01	idle01	idle01	show01	5.000000
fashion_100430										0.000000
fashion_100431										0.000000
fashion_100432					idle01	idle01	idle01	idle01	idle01	10000.000000
fashion_100433	205;28	41000019;41000020	205;28	41000019;41000020	idle01	idle01	idle01	idle01	idle01	10000.000000
fashion_100434	61;48	41000023;41000024	61;48	41000023;41000024	idle01	idle01	idle01	idle01	idle01	10000.000000
fashion_100435	48;11	41000025;41000026	48;11	41000025;41000026	idle01	idle01	idle01	idle01	idle01	10000.000000
fashion_100436	48;76	41000027;41000028	48;76	41000027;41000028	idle01		idle01	idle01	idle01	20.000000
fashion_100437					idle01	show01	idle01	idle01	show01	20.000000
fashion_100438	41;69	41000032;41000033	41;69	41000032;41000033	idle01	show01	idle01	idle01	show01	20.000000
fashion_100439	10	41000035	10	41000035	idle01	idle01	idle01	idle01	idle01	10000.000000
fashion_100440	10	41000040	10	41000040	idle01	idle01	idle01	idle01	idle01	10000.000000
fashion_100441	48;49;60;34	41000042;41000046;41000047;41000045	48;49;60;34	41000042;41000043;41000044;41000045	idle01	show01	idle01	idle01	show01	20.000000
fashion_100442	38;32;33;69	41000049;41000050;41000051;41000052	38;32;33;69	41000049;41000050;41000051;41000052	idle01	show01	idle01	idle01	show01	30.000000
fashion_100443					idle01	show01	idle01	idle01	show01	20.000000
