流水ID	关卡ID	场景ID	试炼类别	排行类别	开放次序	元素icon资源	元素icon资源(选中)	关卡名称	关卡描述	道具奖励	背景图资源	背景特效ID	开启类别	背景音效ID
int	int	int	int	int	int	string	string	string	string	string	string	int	int	int
id	trialid	sceneid	trialtype	rankid	order	elementicon	selectedelementicon	name	decription	passreward	mapname	effectid	opentype	audioid
1	1001	1220	2	2	1	btn_fire01	btn_fire02	elementtrail0201	elementtrail_dec0201	item128000032001,10;item127000065100,10	bj_fire	1830238	1	42
2	1002	1223	3	3	1	btn_tree01	btn_tree02	elementtrail0301	elementtrail_dec0301	item128000032001,10;item127000065100,10	bj_cao	1830239	1	44
3	1003	1224	5	5	1	btn_soil01	btn_soil02	elementtrail0501	elementtrail_dec0501	item128000032001,10;item127000065100,10	bj_soil	1830241	1	43
4	2001	1221	1	1	2	btn_water01	btn_water02	elementtrail0101	elementtrail_dec0101	item128000032001,10;item127000065100,10	bj_water	1830237	1	41
5	2002	1222	4	4	2	btn_mine01	btn_mine02	elementtrail0401	elementtrail_dec0401	item128000032001,10;item127000065100,10	bi_mine	1830240	1	45
6	2003	1229	5	5	2	btn_soil01	btn_soil02	elementtrail0502	elementtrail_dec0502	item128000032001,10;item127000065100,10	bj_soil	1830241	1	43
7	3001	1225	2	2	3	btn_fire01	btn_fire02	elementtrail0202	elementtrail_dec0202	item128000032001,10;item127000065100,10	bj_fire	1830238	1	42
8	3002	1228	3	3	3	btn_tree01	btn_tree02	elementtrail0302	elementtrail_dec0302	item128000032001,10;item127000065100,10	bj_cao	1830239	1	44
9	3003	1227	4	4	3	btn_mine01	btn_mine02	elementtrail0402	elementtrail_dec0402	item128000032001,10;item127000065100,10	bi_mine	1830240	1	45
10	4001	1226	1	1	4	btn_water01	btn_water02	elementtrail0102	elementtrail_dec0102	item128000032001,10;item127000065100,10	bj_water	1830237	1	41
11	4002	1233	3	3	4	btn_tree01	btn_tree02	elementtrail0303	elementtrail_dec0303	item128000032001,10;item127000065100,10	bj_cao	1830239	1	44
12	4003	1234	5	5	4	btn_soil01	btn_soil02	elementtrail0503	elementtrail_dec0503	item128000032001,10;item127000065100,10	bj_soil	1830241	1	43
13	5001	1231	1	1	5	btn_water01	btn_water02	elementtrail0103	elementtrail_dec0103	item128000032001,10;item127000065100,10	bj_water	1830237	1	41
14	5002	1230	2	2	5	btn_fire01	btn_fire02	elementtrail0203	elementtrail_dec0203	item128000032001,10;item127000065100,10	bj_fire	1830238	1	42
15	5003	1232	4	4	5	btn_mine01	btn_mine02	elementtrail0403	elementtrail_dec0403	item128000032001,10;item127000065100,10	bi_mine	1830240	1	45
16	6001	1233	3	3	6	btn_tree01	btn_tree02	elementtrail0303	elementtrail_dec0303	item128000032001,10;item127000065100,10	bj_cao	1830239	1	44
17	6002	1222	4	4	6	btn_mine01	btn_mine02	elementtrail0401	elementtrail_dec0401	item128000032001,10;item127000065100,10	bi_mine	1830240	1	45
18	6003	1229	5	5	6	btn_soil01	btn_soil02	elementtrail0502	elementtrail_dec0502	item128000032001,10;item127000065100,10	bj_soil	1830241	1	43
19	7001	1221	1	1	7	btn_water01	btn_water02	elementtrail0101	elementtrail_dec0101	item128000032001,10;item127000065100,10	bj_water	1830237	1	41
20	7002	1225	2	2	7	btn_fire01	btn_fire02	elementtrail0202	elementtrail_dec0202	item128000032001,10;item127000065100,10	bj_fire	1830238	1	42
21	7003	1234	5	5	7	btn_soil01	btn_soil02	elementtrail0503	elementtrail_dec0503	item128000032001,10;item127000065100,10	bj_soil	1830241	1	43
22	8001	1220	2	2	8	btn_fire01	btn_fire02	elementtrail0201	elementtrail_dec0201	item128000032001,10;item127000065100,10	bj_fire	1830238	1	42
23	8002	1223	3	3	8	btn_tree01	btn_tree02	elementtrail0301	elementtrail_dec0301	item128000032001,10;item127000065100,10	bj_cao	1830239	1	44
24	8003	1224	5	5	8	btn_soil01	btn_soil02	elementtrail0501	elementtrail_dec0501	item128000032001,10;item127000065100,10	bj_soil	1830241	1	43
