流水ID	装备潜力值	部位	魔法属性等级掉落库	魔法属性库	洗练消耗道具	消耗货币
int	int	int	int	int	string	string
Id	EquipPotential	ForgingParts	MagicLevelDropBox	MagicDropBox	CostItem	CostMoney
1	30	1	302001	91000001	item103010131001,3	1,10000
2	30	2	302001	91000002	item103010131001,3	1,10000
3	30	3	302001	91000002	item103010131001,3	1,10000
4	30	4	302001	91000002	item103010131001,3	1,10000
5	30	5	302001	91000002	item103010131001,3	1,10000
6	30	6	302001	91000002	item103010131001,3	1,10000
7	30	7	302001	91000001	item103010131001,3	1,10000
8	30	8	302001	91000001	item103010131001,3	1,10000
9	30	9	302001	91000001	item103010131001,3	1,10000
10	30	10	302001	91000001	item103010131001,3	1,10000
11	40	1	402001	91000001	item103010131001,3	1,10000
12	40	2	402001	91000002	item103010131001,3	1,10000
13	40	3	402001	91000002	item103010131001,3	1,10000
14	40	4	402001	91000002	item103010131001,3	1,10000
15	40	5	402001	91000002	item103010131001,3	1,10000
16	40	6	402001	91000002	item103010131001,3	1,10000
17	40	7	402001	91000001	item103010131001,3	1,10000
18	40	8	402001	91000001	item103010131001,3	1,10000
19	40	9	402001	91000001	item103010131001,3	1,10000
20	40	10	402001	91000001	item103010131001,3	1,10000
21	50	1	502001	91000001	item103010131001,3	1,10000
22	50	2	502001	91000002	item103010131001,3	1,10000
23	50	3	502001	91000002	item103010131001,3	1,10000
24	50	4	502001	91000002	item103010131001,3	1,10000
25	50	5	502001	91000002	item103010131001,3	1,10000
26	50	6	502001	91000002	item103010131001,3	1,10000
27	50	7	502001	91000001	item103010131001,3	1,10000
28	50	8	502001	91000001	item103010131001,3	1,10000
29	50	9	502001	91000001	item103010131001,3	1,10000
30	50	10	502001	91000001	item103010131001,3	1,10000
31	60	1	602001	91000001	item103010131001,3	1,10000
32	60	2	602001	91000002	item103010131001,3	1,10000
33	60	3	602001	91000002	item103010131001,3	1,10000
34	60	4	602001	91000002	item103010131001,3	1,10000
35	60	5	602001	91000002	item103010131001,3	1,10000
36	60	6	602001	91000002	item103010131001,3	1,10000
37	60	7	602001	91000001	item103010131001,3	1,10000
38	60	8	602001	91000001	item103010131001,3	1,10000
39	60	9	602001	91000001	item103010131001,3	1,10000
40	60	10	602001	91000001	item103010131001,3	1,10000
41	70	1	702001	91000001	item103010131001,3	1,10000
42	70	2	702001	91000002	item103010131001,3	1,10000
43	70	3	702001	91000002	item103010131001,3	1,10000
44	70	4	702001	91000002	item103010131001,3	1,10000
45	70	5	702001	91000002	item103010131001,3	1,10000
46	70	6	702001	91000002	item103010131001,3	1,10000
47	70	7	702001	91000001	item103010131001,3	1,10000
48	70	8	702001	91000001	item103010131001,3	1,10000
49	70	9	702001	91000001	item103010131001,3	1,10000
50	70	10	702001	91000001	item103010131001,3	1,10000
51	80	1	802001	91000001	item103010131001,3	1,10000
52	80	2	802001	91000002	item103010131001,3	1,10000
53	80	3	802001	91000002	item103010131001,3	1,10000
54	80	4	802001	91000002	item103010131001,3	1,10000
55	80	5	802001	91000002	item103010131001,3	1,10000
56	80	6	802001	91000002	item103010131001,3	1,10000
57	80	7	802001	91000001	item103010131001,3	1,10000
58	80	8	802001	91000001	item103010131001,3	1,10000
59	80	9	802001	91000001	item103010131001,3	1,10000
60	80	10	802001	91000001	item103010131001,3	1,10000
61	90	1	902001	91000001	item103010131001,3	1,10000
62	90	2	902001	91000002	item103010131001,3	1,10000
63	90	3	902001	91000002	item103010131001,3	1,10000
64	90	4	902001	91000002	item103010131001,3	1,10000
65	90	5	902001	91000002	item103010131001,3	1,10000
66	90	6	902001	91000002	item103010131001,3	1,10000
67	90	7	902001	91000001	item103010131001,3	1,10000
68	90	8	902001	91000001	item103010131001,3	1,10000
69	90	9	902001	91000001	item103010131001,3	1,10000
70	90	10	902001	91000001	item103010131001,3	1,10000
71	100	1	1002001	91000001	item103010131001,3	1,10000
72	100	2	1002001	91000002	item103010131001,3	1,10000
73	100	3	1002001	91000002	item103010131001,3	1,10000
74	100	4	1002001	91000002	item103010131001,3	1,10000
75	100	5	1002001	91000002	item103010131001,3	1,10000
76	100	6	1002001	91000002	item103010131001,3	1,10000
77	100	7	1002001	91000001	item103010131001,3	1,10000
78	100	8	1002001	91000001	item103010131001,3	1,10000
79	100	9	1002001	91000001	item103010131001,3	1,10000
80	100	10	1002001	91000001	item103010131001,3	1,10000
81	110	1	1102001	91000001	item103010131001,3	1,10000
82	110	2	1102001	91000002	item103010131001,3	1,10000
83	110	3	1102001	91000002	item103010131001,3	1,10000
84	110	4	1102001	91000002	item103010131001,3	1,10000
85	110	5	1102001	91000002	item103010131001,3	1,10000
86	110	6	1102001	91000002	item103010131001,3	1,10000
87	110	7	1102001	91000001	item103010131001,3	1,10000
88	110	8	1102001	91000001	item103010131001,3	1,10000
89	110	9	1102001	91000001	item103010131001,3	1,10000
90	110	10	1102001	91000001	item103010131001,3	1,10000
91	120	1	1202001	91000001	item103010131001,3	1,10000
92	120	2	1202001	91000002	item103010131001,3	1,10000
93	120	3	1202001	91000002	item103010131001,3	1,10000
94	120	4	1202001	91000002	item103010131001,3	1,10000
95	120	5	1202001	91000002	item103010131001,3	1,10000
96	120	6	1202001	91000002	item103010131001,3	1,10000
97	120	7	1202001	91000001	item103010131001,3	1,10000
98	120	8	1202001	91000001	item103010131001,3	1,10000
99	120	9	1202001	91000001	item103010131001,3	1,10000
100	120	10	1202001	91000001	item103010131001,3	1,10000
101	130	1	1302001	91000001	item103010131001,3	1,10000
102	130	2	1302001	91000002	item103010131001,3	1,10000
103	130	3	1302001	91000002	item103010131001,3	1,10000
104	130	4	1302001	91000002	item103010131001,3	1,10000
105	130	5	1302001	91000002	item103010131001,3	1,10000
106	130	6	1302001	91000002	item103010131001,3	1,10000
107	130	7	1302001	91000001	item103010131001,3	1,10000
108	130	8	1302001	91000001	item103010131001,3	1,10000
109	130	9	1302001	91000001	item103010131001,3	1,10000
110	130	10	1302001	91000001	item103010131001,3	1,10000
