流水ID	遗物ID	等级	星级	升级类型	特殊属性库id(前端用)	消耗道具	消耗碎片	消耗任意品质碎片	模型NPCID	模型特效
int	int	int	int	int	int	string	string	string	string	string
Id	RelicId	Level	Star	UpgradeType	SpecialpropId	CostItem	CostFragment	CostQualityFragment	Model	SpecialEffect
1	2001	1	1	1	2001001		9002001,20		npc_relic_201	
2	2001	2	1	2	2001002	item171002000001,1			npc_relic_201	
3	2001	3	1	2	2001003	item171002000001,1			npc_relic_201	
4	2001	4	1	2	2001004	item171002000001,1			npc_relic_201	
5	2001	5	1	2	2001005	item171002000001,1			npc_relic_201	
6	2001	6	1	2	2001006	item171002000001,1			npc_relic_201	
7	2001	7	1	2	2001007	item171002000001,1			npc_relic_201	
8	2001	8	2	3	2001008	item171002000001,5			npc_relic_201	
9	2001	9	2	2	2001009	item171002000001,3			npc_relic_201	
10	2001	10	2	2	2001010	item171002000001,3			npc_relic_201	
11	2001	11	2	2	2001011	item171002000001,3			npc_relic_201	
12	2001	12	2	2	2001012	item171002000001,3			npc_relic_201	
13	2001	13	2	2	2001013	item171002000001,3			npc_relic_201	
14	2001	14	2	2	2001014	item171002000001,3			npc_relic_201	
15	2001	15	3	3	2001015	item171002000001,10			npc_relic_201	
16	2001	16	3	2	2001016	item171002000001,5			npc_relic_201	
17	2001	17	3	2	2001017	item171002000001,5			npc_relic_201	
18	2001	18	3	2	2001018	item171002000001,5			npc_relic_201	
19	2001	19	3	2	2001019	item171002000001,5			npc_relic_201	
20	2001	20	3	2	2001020	item171002000001,5			npc_relic_201	
21	2001	21	3	2	2001021	item171002000001,5			npc_relic_201	
22	2001	22	4	3	2001022	item171002000002,2	9002001,10		npc_relic_201	
23	2001	23	4	4	2001023		9002001,50		npc_relic_201	
24	2002	1	1	1	2002001		9002002,20		npc_relic_202	
25	2002	2	1	2	2002002	item171002000001,1			npc_relic_202	
26	2002	3	1	2	2002003	item171002000001,1			npc_relic_202	
27	2002	4	1	2	2002004	item171002000001,1			npc_relic_202	
28	2002	5	1	2	2002005	item171002000001,1			npc_relic_202	
29	2002	6	1	2	2002006	item171002000001,1			npc_relic_202	
30	2002	7	1	2	2002007	item171002000001,1			npc_relic_202	
31	2002	8	2	3	2002008	item171002000001,5			npc_relic_202	
32	2002	9	2	2	2002009	item171002000001,3			npc_relic_202	
33	2002	10	2	2	2002010	item171002000001,3			npc_relic_202	
34	2002	11	2	2	2002011	item171002000001,3			npc_relic_202	
35	2002	12	2	2	2002012	item171002000001,3			npc_relic_202	
36	2002	13	2	2	2002013	item171002000001,3			npc_relic_202	
37	2002	14	2	2	2002014	item171002000001,3			npc_relic_202	
38	2002	15	3	3	2002015	item171002000001,10			npc_relic_202	
