ID	对应道具ID	类型	鱼种	尺寸等级	图鉴奖励	特殊标记
int	string	int	int	int	string	string
FishID	ItemID	ClassID	FishType	FishLevel	reward	SpecialSign
1	item250001001001	1	1001	1	item250000000000,50	fishing_icon_lv1
2	item250001001002	1	1001	2	item250000000000,40	fishing_icon_lv2
3	item250001001003	1	1001	3	item250000000000,30	fishing_icon_lv3
4	item250001001004	1	1001	4		
5	item250001002001	1	1002	1	item250000000000,45	fishing_icon_lv1
6	item250001002002	1	1002	2	item250000000000,35	fishing_icon_lv2
7	item250001002003	1	1002	3	item250000000000,25	fishing_icon_lv3
8	item250001002004	1	1002	4		
9	item250001003001	1	1003	1	item250000000000,40	fishing_icon_lv1
10	item250001003002	1	1003	2	item250000000000,30	fishing_icon_lv2
11	item250001003003	1	1003	3	item250000000000,20	fishing_icon_lv3
12	item250001003004	1	1003	4		
13	item250001004001	1	1004	1	item250000000000,30	fishing_icon_lv1
14	item250001004002	1	1004	2	item250000000000,20	fishing_icon_lv2
15	item250001004003	1	1004	3	item250000000000,10	fishing_icon_lv3
16	item250001004004	1	1004	4		
17	item250001005001	1	1005	1	item250000000000,30	fishing_icon_lv1
18	item250001005002	1	1005	2	item250000000000,20	fishing_icon_lv2
19	item250001005003	1	1005	3	item250000000000,10	fishing_icon_lv3
20	item250001005004	1	1005	4		
21	item250001006001	1	1006	1	item250000000000,30	fishing_icon_lv1
22	item250001006002	1	1006	2	item250000000000,20	fishing_icon_lv2
23	item250001006003	1	1006	3	item250000000000,10	fishing_icon_lv3
24	item250001006004	1	1006	4		
25	item250001007001	1	1007	1	item250000000000,20	fishing_icon_lv1
26	item250001007002	1	1007	2	item250000000000,15	fishing_icon_lv2
27	item250001007003	1	1007	3	item250000000000,10	fishing_icon_lv3
28	item250001007004	1	1007	4		
29	item250001008001	1	1008	1	item250000000000,20	fishing_icon_lv1
30	item250001008002	1	1008	2	item250000000000,15	fishing_icon_lv2
31	item250001008003	1	1008	3	item250000000000,10	fishing_icon_lv3
32	item250001008004	1	1008	4		
33	item250001009001	1	1009	1	item250000000000,10	fishing_icon_lv1
34	item250001009002	1	1009	2	item250000000000,5	fishing_icon_lv2
35	item250001009003	1	1009	3	item250000000000,5	fishing_icon_lv3
36	item250001009004	1	1009	4		
37	item250001010001	1	1010	1	item250000000000,10	fishing_icon_lv1
38	item250001010002	1	1010	2	item250000000000,5	fishing_icon_lv2
39	item250001010003	1	1010	3	item250000000000,5	fishing_icon_lv3
40	item250001010004	1	1010	4		
41	item250002001001	2	2001	1	item250000000000,50	fishing_icon_lv1
42	item250002001002	2	2001	2	item250000000000,40	fishing_icon_lv2
43	item250002001003	2	2001	3	item250000000000,30	fishing_icon_lv3
44	item250002001004	2	2001	4		
45	item250002002001	2	2002	1	item250000000000,45	fishing_icon_lv1
46	item250002002002	2	2002	2	item250000000000,35	fishing_icon_lv2
47	item250002002003	2	2002	3	item250000000000,25	fishing_icon_lv3
48	item250002002004	2	2002	4		
49	item250002003001	2	2003	1	item250000000000,40	fishing_icon_lv1
50	item250002003002	2	2003	2	item250000000000,30	fishing_icon_lv2
51	item250002003003	2	2003	3	item250000000000,20	fishing_icon_lv3
52	item250002003004	2	2003	4		
53	item250002004001	2	2004	1	item250000000000,30	fishing_icon_lv1
54	item250002004002	2	2004	2	item250000000000,20	fishing_icon_lv2
55	item250002004003	2	2004	3	item250000000000,10	fishing_icon_lv3
56	item250002004004	2	2004	4		
57	item250002005001	2	2005	1	item250000000000,30	fishing_icon_lv1
58	item250002005002	2	2005	2	item250000000000,20	fishing_icon_lv2
59	item250002005003	2	2005	3	item250000000000,10	fishing_icon_lv3
60	item250002005004	2	2005	4		
61	item250002006001	2	2006	1	item250000000000,30	fishing_icon_lv1
62	item250002006002	2	2006	2	item250000000000,20	fishing_icon_lv2
63	item250002006003	2	2006	3	item250000000000,10	fishing_icon_lv3
64	item250002006004	2	2006	4		
65	item250002007001	2	2007	1	item250000000000,20	fishing_icon_lv1
66	item250002007002	2	2007	2	item250000000000,15	fishing_icon_lv2
67	item250002007003	2	2007	3	item250000000000,10	fishing_icon_lv3
68	item250002007004	2	2007	4		
69	item250002008001	2	2008	1	item250000000000,20	fishing_icon_lv1
70	item250002008002	2	2008	2	item250000000000,15	fishing_icon_lv2
71	item250002008003	2	2008	3	item250000000000,10	fishing_icon_lv3
72	item250002008004	2	2008	4		
73	item250002009001	2	2009	1	item250000000000,10	fishing_icon_lv1
74	item250002009002	2	2009	2	item250000000000,5	fishing_icon_lv2
75	item250002009003	2	2009	3	item250000000000,5	fishing_icon_lv3
76	item250002009004	2	2009	4		
77	item250002010001	2	2010	1	item250000000000,10	fishing_icon_lv1
78	item250002010002	2	2010	2	item250000000000,5	fishing_icon_lv2
79	item250002010003	2	2010	3	item250000000000,5	fishing_icon_lv3
80	item250002010004	2	2010	4		
81	item250003001001	3	3001	1	item250000000000,50	fishing_icon_lv1
82	item250003001002	3	3001	2	item250000000000,40	fishing_icon_lv2
83	item250003001003	3	3001	3	item250000000000,30	fishing_icon_lv3
84	item250003001004	3	3001	4		
85	item250003002001	3	3002	1	item250000000000,45	fishing_icon_lv1
86	item250003002002	3	3002	2	item250000000000,35	fishing_icon_lv2
87	item250003002003	3	3002	3	item250000000000,25	fishing_icon_lv3
88	item250003002004	3	3002	4		
89	item250003003001	3	3003	1	item250000000000,40	fishing_icon_lv1
90	item250003003002	3	3003	2	item250000000000,30	fishing_icon_lv2
91	item250003003003	3	3003	3	item250000000000,20	fishing_icon_lv3
92	item250003003004	3	3003	4		
93	item250003004001	3	3004	1	item250000000000,30	fishing_icon_lv1
94	item250003004002	3	3004	2	item250000000000,20	fishing_icon_lv2
95	item250003004003	3	3004	3	item250000000000,10	fishing_icon_lv3
96	item250003004004	3	3004	4		
97	item250003005001	3	3005	1	item250000000000,30	fishing_icon_lv1
98	item250003005002	3	3005	2	item250000000000,20	fishing_icon_lv2
99	item250003005003	3	3005	3	item250000000000,10	fishing_icon_lv3
100	item250003005004	3	3005	4		
101	item250003006001	3	3006	1	item250000000000,30	fishing_icon_lv1
102	item250003006002	3	3006	2	item250000000000,20	fishing_icon_lv2
103	item250003006003	3	3006	3	item250000000000,10	fishing_icon_lv3
104	item250003006004	3	3006	4		
105	item250003007001	3	3007	1	item250000000000,20	fishing_icon_lv1
106	item250003007002	3	3007	2	item250000000000,15	fishing_icon_lv2
107	item250003007003	3	3007	3	item250000000000,10	fishing_icon_lv3
108	item250003007004	3	3007	4		
109	item250003008001	3	3008	1	item250000000000,20	fishing_icon_lv1
110	item250003008002	3	3008	2	item250000000000,15	fishing_icon_lv2
111	item250003008003	3	3008	3	item250000000000,10	fishing_icon_lv3
112	item250003008004	3	3008	4		
113	item250003009001	3	3009	1	item250000000000,10	fishing_icon_lv1
114	item250003009002	3	3009	2	item250000000000,5	fishing_icon_lv2
115	item250003009003	3	3009	3	item250000000000,5	fishing_icon_lv3
116	item250003009004	3	3009	4		
117	item250003010001	3	3010	1	item250000000000,10	fishing_icon_lv1
118	item250003010002	3	3010	2	item250000000000,5	fishing_icon_lv2
119	item250003010003	3	3010	3	item250000000000,5	fishing_icon_lv3
120	item250003010004	3	3010	4		
121	item260001001001	4	4001	1	item250000000000,50	fishing_icon_lv1
122	item260001001002	4	4001	2	item250000000000,40	fishing_icon_lv2
123	item260001001003	4	4001	3	item250000000000,30	fishing_icon_lv3
124	item260001001004	4	4001	4		
125	item260002001001	4	4002	1	item250000000000,40	fishing_icon_lv1
126	item260002001002	4	4002	2	item250000000000,30	fishing_icon_lv2
127	item260002001003	4	4002	3	item250000000000,20	fishing_icon_lv3
128	item260002001004	4	4002	4		
129	item260003001001	4	4003	1	item250000000000,45	fishing_icon_lv1
130	item260003001002	4	4003	2	item250000000000,35	fishing_icon_lv2
131	item260003001003	4	4003	3	item250000000000,25	fishing_icon_lv3
132	item260003001004	4	4003	4		
133	item260004001001	4	4004	1	item250000000000,30	fishing_icon_lv1
134	item260004001002	4	4004	2	item250000000000,20	fishing_icon_lv2
135	item260004001003	4	4004	3	item250000000000,10	fishing_icon_lv3
136	item260004001004	4	4004	4		
137	item260005001001	4	4005	1	item250000000000,30	fishing_icon_lv1
138	item260005001002	4	4005	2	item250000000000,20	fishing_icon_lv2
139	item260005001003	4	4005	3	item250000000000,10	fishing_icon_lv3
140	item260005001004	4	4005	4		
141	item260005002001	4	4006	1	item250000000000,30	fishing_icon_lv1
142	item260005002002	4	4006	2	item250000000000,20	fishing_icon_lv2
143	item260005002003	4	4006	3	item250000000000,10	fishing_icon_lv3
144	item260005002004	4	4006	4		
145	item260005003001	4	4007	1	item250000000000,20	fishing_icon_lv1
146	item260005003002	4	4007	2	item250000000000,15	fishing_icon_lv2
147	item260005003003	4	4007	3	item250000000000,10	fishing_icon_lv3
148	item260005003004	4	4007	4		
149	item260005004001	4	4008	1	item250000000000,20	fishing_icon_lv1
150	item260005004002	4	4008	2	item250000000000,15	fishing_icon_lv2
151	item260005004003	4	4008	3	item250000000000,10	fishing_icon_lv3
152	item260005004004	4	4008	4		
153	item260005005001	4	4009	1	item250000000000,10	fishing_icon_lv1
154	item260005005002	4	4009	2	item250000000000,5	fishing_icon_lv2
