流水	序列ID	分组	概率	指令
int	int	int	float	string
Id	SeqID	Group	Random	Command
1	1	0	0.500000	AroundOwner(1,2)
2	1	0	1.000000	Wait(2,3)
3	1	0	0.400000	PlayAction(122)
4	1	0	1.000000	Wait(4,10)
5	1	1	0.200000	PlaySequence(2)
6	1	1	0.300000	PlaySequence(3)
7	2	0	1.000000	Bubble(fairy_speak_1_#npc_id,3)
8	2	0	1.000000	Wait(4)
9	2	0	1.000000	GroupCooldown(1,20)
10	3	0	1.000000	Bubble(fairy_speak_2_#npc_id,3)
11	3	0	1.000000	Wait(4)
12	3	0	1.000000	GroupCooldown(1,20)
13	11	0	0.300000	AroundOwner(1,3)
14	11	0	1.000000	Wait(5,6)
15	11	0	0.200000	PlayAction(122)
16	11	0	1.000000	Wait(4,10)
17	31	0	0.200000	AroundOwner(2.5,3)
18	31	0	1.000000	Wait(2,3)
19	31	0	0.100000	PlayAction(122)
20	31	0	1.000000	Wait(4,10)
21	31	30	0.200000	PlaySequence(32)
22	31	30	0.300000	PlaySequence(33)
23	32	0	1.000000	Bubble(fairy_speak_1_#npc_id,3)
24	32	0	1.000000	Wait(4)
25	32	0	1.000000	GroupCooldown(30,40)
26	33	0	1.000000	Bubble(fairy_speak_2_#npc_id,3)
27	33	0	1.000000	Wait(4)
28	33	0	1.000000	GroupCooldown(30,60)
29	41	0	0.200000	AroundOwner(2.5,3)
30	41	0	1.000000	Wait(2,3)
31	41	0	0.100000	PlayAction(122)
32	41	0	1.000000	Wait(4,10)
33	41	40	0.100000	PlaySequence(42)
34	41	40	0.200000	PlaySequence(43)
35	41	0	0.008000	PlaySequence(44)
36	41	0	0.008000	PlaySequence(45)
37	41	0	0.008000	PlaySequence(46)
38	41	0	0.008000	PlaySequence(47)
39	41	0	0.008000	PlaySequence(48)
40	41	0	0.008000	PlaySequence(49)
41	41	0	0.008000	PlaySequence(50)
42	41	0	0.008000	PlaySequence(51)
43	41	0	0.008000	PlaySequence(52)
44	41	0	0.008000	PlaySequence(53)
45	41	0	0.008000	PlaySequence(54)
46	41	0	0.008000	PlaySequence(55)
47	42	0	1.000000	Bubble(fairy_speak_1_#npc_id,3)
48	42	0	1.000000	Wait(4)
49	42	0	1.000000	GroupCooldown(40,40)
50	43	0	1.000000	Bubble(fairy_speak_2_#npc_id,3)
51	43	0	1.000000	Wait(4)
52	43	0	1.000000	GroupCooldown(40,60)
53	44	0	1.000000	Bubble(fairy_speak_01_#npc_id,6)
54	44	0	1.000000	Wait(4)
55	45	0	1.000000	Bubble(fairy_speak_02_#npc_id,5)
56	45	0	1.000000	Wait(4)
57	46	0	1.000000	Bubble(fairy_speak_03_#npc_id,3)
58	46	0	1.000000	Wait(4)
59	47	0	1.000000	Bubble(fairy_speak_04_#npc_id,3)
60	47	0	1.000000	Wait(4)
61	48	0	1.000000	Bubble(fairy_speak_05_#npc_id,3)
62	48	0	1.000000	Wait(4)
63	49	0	1.000000	Bubble(fairy_speak_06_#npc_id,5)
64	49	0	1.000000	Wait(4)
65	50	0	1.000000	Bubble(fairy_speak_07_#npc_id,3)
66	50	0	1.000000	Wait(4)
67	51	0	1.000000	Bubble(fairy_speak_08_#npc_id,3)
68	51	0	1.000000	Wait(4)
69	52	0	1.000000	Bubble(fairy_speak_09_#npc_id,5)
70	52	0	1.000000	Wait(4)
71	53	0	1.000000	Bubble(fairy_speak_10_#npc_id,3)
72	53	0	1.000000	Wait(4)
73	54	0	1.000000	Bubble(fairy_speak_11_#npc_id,4)
74	54	0	1.000000	Wait(4)
75	55	0	1.000000	Bubble(fairy_speak_12_#npc_id,4)
76	55	0	1.000000	Wait(4)
