流水ID	十二宫怪物ID（前端用）	高模展示	描述	卡牌界面模型缩放	卡牌界面模型位置	卡牌界面模型角度	详情界面模型缩放	详情界面模型位置	详情界面模型角度
int	string	string	string	float	vector3	vector3	float	vector3	vector3
ID	MonsterId	Avatar	Desc	CardAvatarZoom	CardAvatarLocation	CardAvatarAngle	UIAvatarZoom	UIAvatarLocation	UIAvatarAngle
1	monster19120101	soldier906h|body|soldier906h_body_t1	TwelveStars_Monster10000_01	2.500000	0,-3,0	0,0,0	1.300000	0,0,0	0,0,0
2	monster19120102	c004h|bottoms|c004h_bottoms004_t1|clothes|c004h_clothes004_t1|shoulder|c004h_shoulder004_t1|weapon|c004h_weapon013_t1|face|c004h_face001_t1|head|c004h_head008_t1	TwelveStars_Monster10000_02	3.000000	0,-3,0	0,0,0	1.500000	0,0,0	0,0,0
3	monster19120103	soldier904h|body|soldier904h_body_t1	TwelveStars_Monster10000_03	3.000000	0,-2.1,0	0,0,0	1.500000	0,0,0	0,0,0
4	monster19120104	c002h|bottoms|c002h_bottoms002_t1|clothes|c002h_clothes002_t1|shoulder|c002h_shoulder002_t1|weapon|c002h_weapon002_t1|face|c002h_face001_t1|head|c002h_head002_t1	TwelveStars_Monster10000_04	3.000000	0,-3,0	0,0,0	1.500000	0,0,0	0,0,0
5	monster19120105	c001h|bottoms|c001h_bottoms003_t1|clothes|c001h_clothes003_t1|shoulder|c001h_shoulder003_t1|weapon|c001h_weapon003_t1|face|c001h_face001_t1|head|c001h_head010_t1	TwelveStars_Monster10000_05	3.000000	-0.1,-3,0	0,0,0	1.500000	0,0,0	0,0,0
6	monster19120106	p012|body|p012_body_t2	TwelveStars_Monster10000_06	2.800000	0,-1.5,0	0,0,0	1.500000	0,0,0	0,0,0
7	monster19120107	c008h|bottoms|c008h_bottoms002_t1|clothes|c008h_clothes002_t1|shoulder|c008h_shoulder002_t1|weapon|c008h_weapon002_t1|face|c008h_face001_t1|head|c008h_head002_t1	TwelveStars_Monster10000_07	3.000000	-0.3,-3,0	0,0,0	1.500000	0,0,0	0,0,0
8	monster19120108	soldier902h|body|soldier902h_body_t1	TwelveStars_Monster10000_08	3.000000	-0.2,-3,0	0,0,0	1.500000	0,0,0	0,0,0
