流水	属性id	效果类型	星之子状态下属性	使者状态下属性	触发类型
int	string	string	string	string	int
Id	PropId	ValueId	StarChildProp	EnvoyProp	Trigger
1	11,500				1
2	11,750				1
3	11,1000				1
4	12,300				1
5	12,450				1
6	12,600				1
7	13,500				1
8	13,750				1
9	13,1000				1
10		1,0,4,2000			1
11		1,0,1,1			1
12		1,0,2,100;1,0,5,8500			1
13	51,500	1,0,6			1
16	52,500	1,0,3,16			1
19	15,500	1,0,3,9			1
22		2,0,2,20;2,0,10,60;2,0,14,1200			2
23	15,1500				1
24		3,0,13,500,26301			3
25	51,600				1
26	51,900				1
27	51,1200				1
28	34,600				1
29	34,900				1
30	34,1200				1
31	32,600				1
32	32,900				1
33	32,1200				1
34		2,0,12,713,1			2
35		11,0,9,714			11
36		4,6,12,715,1;4,7,12,715,2;4,8,12,715,3			4
37	51,300		51,600		1
38	51,400		51,800		1
39	51,500		51,1000		1
40	52,300		52,600		1
41	52,400		52,800		1
42	52,500		52,1000		1
43	52,1000				1
44	52,1200				1
45	52,1500				1
46		6,0,12,719,1			6
47		5,0,9,720			5
48		7,0,9,721			7
49	105,500				1
50	105,750				1
51	105,1000				1
52	51,300			51,600	1
53	51,400			51,800	1
54	51,500			51,1000	1
55	52,300			52,600	1
56	52,400			52,800	1
57	52,500			52,1000	1
58		8,0,15,300,1			8
59		1,0,11,5000;9,0,9,726			9
60		10,0,12,727,1			10
61	28,100				1
62	28,300				1
63	28,500				1
64	36,500				1
65	36,750				1
66	36,1000				1
67	26,30				1
68	26,50				1
69	26,70				1
