流水	连携ID	等级	需求最低星级	属性id
int	int	int	int	string
Id	CompanyId	Level	LowerstStar	Props
1	201	1	1	3,15
2	201	2	2	3,20
3	201	3	3	3,25
4	201	4	4	3,30
5	202	1	1	4,15
6	202	2	2	4,20
7	202	3	3	4,25
8	202	4	4	4,30
9	203	1	1	1,150
10	203	2	2	1,200
11	203	3	3	1,250
12	203	4	4	1,300
13	204	1	1	3,27
14	204	2	2	3,36
15	204	3	3	3,45
16	204	4	4	3,54
17	205	1	1	4,27
18	205	2	2	4,36
19	205	3	3	4,45
20	205	4	4	4,54
21	301	1	1	1,270
22	301	2	2	1,360
23	301	3	3	1,450
24	301	4	4	1,540
25	301	5	5	1,630
26	302	1	1	3,27
27	302	2	2	3,36
28	302	3	3	3,45
29	302	4	4	3,54
30	302	5	5	3,63
31	303	1	1	4,27
32	303	2	2	4,36
33	303	3	3	4,45
34	303	4	4	4,54
35	303	5	5	4,63
36	304	1	1	1,300
37	304	2	2	1,400
38	304	3	3	1,500
39	304	4	4	1,600
40	304	5	5	1,700
41	305	1	1	3,30
42	305	2	2	3,40
43	305	3	3	3,50
44	305	4	4	3,60
45	305	5	5	3,70
46	306	1	1	4,30
47	306	2	2	4,40
48	306	3	3	4,50
49	306	4	4	4,60
50	306	5	5	4,70
51	307	1	1	1,300
52	307	2	2	1,400
53	307	3	3	1,500
54	307	4	4	1,600
55	307	5	5	1,700
56	401	1	1	3,40
57	401	2	2	3,60
58	401	3	3	3,80
59	401	4	4	3,100
60	401	5	5	3,120
61	401	6	6	3,140
62	402	1	1	4,40
63	402	2	2	4,60
64	402	3	3	4,80
65	402	4	4	4,100
66	402	5	5	4,120
67	402	6	6	4,140
68	403	1	1	30,50
69	403	2	2	30,110
70	403	3	3	30,170
71	403	4	4	30,230
72	403	5	5	30,290
73	403	6	6	30,350
74	404	1	1	31,50
75	404	2	2	31,110
76	404	3	3	31,170
77	404	4	4	31,230
78	404	5	5	31,290
79	404	6	6	31,350
80	405	1	1	32,60
81	405	2	2	32,120
82	405	3	3	32,180
83	405	4	4	32,240
84	405	5	5	32,300
85	405	6	6	32,360
86	406	1	1	33,60
87	406	2	2	33,120
88	406	3	3	33,180
89	406	4	4	33,240
90	406	5	5	33,300
91	406	6	6	33,360
92	501	1	1	34,60
93	501	2	2	34,120
94	501	3	3	34,180
95	501	4	4	34,240
96	501	5	5	34,300
97	501	6	6	34,360
98	502	1	1	35,60
99	502	2	2	35,120
100	502	3	3	35,180
101	502	4	4	35,240
102	502	5	5	35,300
103	502	6	6	35,360
104	503	1	1	11,50
105	503	2	2	11,90
106	503	3	3	11,130
107	503	4	4	11,170
108	503	5	5	11,210
109	503	6	6	11,250
110	901	1	1	230,20
111	901	2	2	230,25
112	901	3	3	230,30
113	901	4	4	230,35
114	902	1	1	231,20
115	902	2	2	231,25
116	902	3	3	231,30
117	902	4	4	231,35
118	903	1	1	232,20
119	903	2	2	232,25
120	903	3	3	232,30
121	903	4	4	232,35
122	904	1	1	233,20
123	904	2	2	233,25
124	904	3	3	233,30
125	904	4	4	233,35
126	905	1	1	234,20
127	905	2	2	234,25
128	905	3	3	234,30
129	905	4	4	234,35
130	906	1	1	235,20
131	906	2	2	235,25
132	906	3	3	235,30
133	906	4	4	235,35
134	907	1	1	236,20
135	907	2	2	236,25
136	907	3	3	236,30
137	907	4	4	236,35
138	908	1	1	237,20
139	908	2	2	237,25
140	908	3	3	237,30
141	908	4	4	237,35
142	909	1	1	238,20
143	909	2	2	238,25
144	909	3	3	238,30
145	909	4	4	238,35
146	910	1	1	239,20
147	910	2	2	239,25
148	910	3	3	239,30
149	910	4	4	239,35
150	911	1	1	240,20
151	911	2	2	240,25
152	911	3	3	240,30
153	911	4	4	240,35
154	912	1	1	241,20
155	912	2	2	241,25
156	912	3	3	241,30
157	912	4	4	241,35
158	913	1	1	21,60
159	913	2	2	21,120
160	913	3	3	21,180
161	913	4	4	21,240
162	913	5	5	21,300
163	914	1	1	22,60
164	914	2	2	22,120
165	914	3	3	22,180
166	914	4	4	22,240
167	914	5	5	22,300
168	915	1	1	23,60
169	915	2	2	23,120
170	915	3	3	23,180
171	915	4	4	23,240
172	915	5	5	23,300
173	916	1	1	24,60
174	916	2	2	24,120
175	916	3	3	24,180
176	916	4	4	24,240
177	916	5	5	24,300
178	917	1	1	25,60
179	917	2	2	25,120
180	917	3	3	25,180
181	917	4	4	25,240
182	917	5	5	25,300
183	918	1	1	26,60
184	918	2	2	26,120
185	918	3	3	26,180
186	918	4	4	26,240
187	918	5	5	26,300
188	918	6	6	26,360
189	919	1	1	173,60
190	919	2	2	173,120
191	919	3	3	173,180
192	919	4	4	173,240
193	919	5	5	173,300
194	919	6	6	173,360
195	920	1	1	174,60
196	920	2	2	174,120
197	920	3	3	174,180
198	920	4	4	174,240
199	920	5	5	174,300
200	920	6	6	174,360
201	921	1	1	52,60
202	921	2	2	52,120
203	921	3	3	52,180
204	921	4	4	52,240
205	921	5	5	52,300
206	921	6	6	52,360
207	922	1	1	21,60
208	922	2	2	21,120
209	922	3	3	21,180
210	922	4	4	21,240
211	922	5	5	21,300
212	922	6	6	21,360
213	923	1	1	22,60
214	923	2	2	22,120
215	923	3	3	22,180
216	923	4	4	22,240
217	923	5	5	22,300
218	923	6	6	22,360
219	924	1	1	51,60
220	924	2	2	51,120
221	924	3	3	51,180
222	924	4	4	51,240
223	924	5	5	51,300
224	924	6	6	51,360
225	925	1	1	32,60
226	925	2	2	32,120
227	925	3	3	32,180
228	925	4	4	32,240
229	925	5	5	32,300
230	925	6	6	32,360
231	926	1	1	303,60
232	926	2	2	303,120
233	926	3	3	303,180
234	926	4	4	303,240
235	926	5	5	303,300
236	926	6	6	303,360
237	927	1	1	51,60
238	927	2	2	51,120
239	927	3	3	51,180
240	927	4	4	51,240
241	927	5	5	51,300
242	927	6	6	51,360
243	928	1	1	32,60
244	928	2	2	32,120
245	928	3	3	32,180
246	928	4	4	32,240
247	928	5	5	32,300
248	928	6	6	32,360
249	929	1	1	35,60
250	929	2	2	35,120
251	929	3	3	35,180
252	929	4	4	35,240
253	929	5	5	35,300
254	929	6	6	35,360
255	930	1	1	34,60
256	930	2	2	34,120
257	930	3	3	34,180
258	930	4	4	34,240
259	930	5	5	34,300
260	930	6	6	34,360
261	931	1	1	30,60
262	931	2	2	30,120
263	931	3	3	30,180
264	931	4	4	30,240
265	931	5	5	30,300
266	931	6	6	30,360
267	932	1	1	206,60
268	932	2	2	206,120
269	932	3	3	206,180
270	932	4	4	206,240
271	932	5	5	206,300
272	932	6	6	206,360
273	933	1	1	31,60
274	933	2	2	31,120
275	933	3	3	31,180
276	933	4	4	31,240
277	933	5	5	31,300
278	933	6	6	31,360
279	934	1	1	33,60
280	934	2	2	33,120
281	934	3	3	33,180
282	934	4	4	33,240
283	934	5	5	33,300
284	934	6	6	33,360
