流水	属性库	共鸣属性id
int	int	int
Id	DropBox	RandomPropId
1	17100101	10001
2	17100101	10002
3	17100101	10003
4	17100101	10004
5	17100101	10005
6	17100101	10006
7	17100101	10007
8	17100101	10008
9	17100101	10009
10	17100102	20001
11	17100102	20002
12	17100102	20003
13	17100102	20004
14	17100102	20005
15	17100102	20006
16	17100102	20007
17	17100102	20008
18	17100102	20009
19	17100102	20010
20	17100102	20011
21	17100102	20012
22	17100102	20013
23	17100102	20014
24	17100102	20015
25	17100102	20016
26	17100102	20017
27	17100102	20018
28	17100103	30001
29	17100103	30002
30	17100103	30003
31	17100103	30004
32	17100103	30005
33	17100103	30006
34	17100103	30007
35	17100103	30008
36	17100103	30009
37	17100103	30010
38	17100103	30011
39	17100103	30012
40	17100103	30013
41	17100103	30014
42	17100103	30015
43	17100103	30016
44	17100103	30017
45	17100103	30018
46	17100103	30019
47	17100103	30020
48	17100103	30021
49	17100103	30022
50	17100103	30023
51	17100103	30024
52	17100103	30025
53	17100103	30026
54	17100104	40001
55	17100104	40002
56	17100104	40003
57	17100104	40004
58	17100104	40005
59	17100104	40006
60	17100104	40007
61	17100104	40008
62	17100104	40009
63	17100104	40010
64	17100104	40011
65	17100104	40012
66	17100104	40013
67	17100104	40014
68	17100104	40015
69	17100104	40016
70	17100104	40017
71	17100104	40018
72	17100104	40019
73	17100104	40020
74	17100104	40021
75	17100104	40022
76	17100104	40023
77	17100104	40024
78	17100104	40025
79	17100104	40026
80	17100104	40027
81	17100104	40028
82	17100104	40029
83	17100104	40030
84	17100104	40031
85	17100104	40032
86	17100104	40033
87	17100104	40034
88	17100104	40035
89	17100104	40036
90	17100104	40037
91	17100104	40038
92	17100104	40039
93	17100104	40040
94	17100105	50001
95	17100105	50002
96	17100105	50003
97	17100105	50004
98	17100105	50005
99	17100105	50006
100	17100105	50007
101	17100105	50008
102	17100105	50009
103	17100105	50010
104	17100105	50011
105	17100105	50012
106	17100105	50013
107	17100105	50014
108	17100105	50015
109	17100105	50016
110	17100105	50017
111	17100105	50018
112	17100105	50019
113	17100105	50020
114	17100105	50021
115	17100105	50022
116	17100105	50023
117	17100105	50024
118	17100105	50025
119	17100105	50026
120	17100105	50027
121	17100105	50028
122	17100105	50029
123	17100105	50030
124	17100105	50031
125	17100105	50032
126	17100105	50033
127	17100105	50034
128	17100105	50035
129	17100105	50036
130	17100105	50037
131	17100105	50038
132	17100105	50039
133	17100105	50040
134	17100105	50041
