流水号	掉落库ID	KeyID	掉落概率
int	int	string	int
Id	DropBoxId	KeyId	Probability
1	1001	apprentic_1001	1250
2	1001	apprentic_2001	1250
3	1001	apprentic_3001	1250
4	1001	apprentic_4001	1250
5	1001	apprentic_5001	1250
6	1001	apprentic_6001	1250
7	1001	apprentic_7001	1250
8	1001	apprentic_8001	1250
9	1002	apprentic_1001	1187
10	1002	apprentic_2001	1187
11	1002	apprentic_3001	1187
12	1002	apprentic_4001	1187
13	1002	apprentic_5001	1187
14	1002	apprentic_6001	1187
15	1002	apprentic_7001	1187
16	1002	apprentic_8001	1191
17	1002	apprentic_1002	62
18	1002	apprentic_2002	62
19	1002	apprentic_3002	62
20	1002	apprentic_4002	62
21	1002	apprentic_5002	62
22	1002	apprentic_6002	62
23	1002	apprentic_7002	62
24	1002	apprentic_8002	66
25	1003	apprentic_1001	1093
26	1003	apprentic_2001	1093
27	1003	apprentic_3001	1093
28	1003	apprentic_4001	1093
29	1003	apprentic_5001	1093
30	1003	apprentic_6001	1093
31	1003	apprentic_7001	1093
32	1003	apprentic_8001	1099
33	1003	apprentic_1002	125
34	1003	apprentic_2002	125
35	1003	apprentic_3002	125
36	1003	apprentic_4002	125
37	1003	apprentic_5002	125
38	1003	apprentic_6002	125
39	1003	apprentic_7002	125
40	1003	apprentic_8002	125
41	1003	apprentic_1003	31
42	1003	apprentic_2003	31
43	1003	apprentic_3003	31
44	1003	apprentic_4003	31
45	1003	apprentic_5003	31
46	1003	apprentic_6003	31
47	1003	apprentic_7003	31
48	1003	apprentic_8003	33
49	1004	apprentic_1001	1012
50	1004	apprentic_2001	1012
51	1004	apprentic_3001	1012
52	1004	apprentic_4001	1012
53	1004	apprentic_5001	1012
54	1004	apprentic_6001	1012
55	1004	apprentic_7001	1012
56	1004	apprentic_8001	1016
57	1004	apprentic_1002	187
58	1004	apprentic_2002	187
59	1004	apprentic_3002	187
60	1004	apprentic_4002	187
61	1004	apprentic_5002	187
62	1004	apprentic_6002	187
63	1004	apprentic_7002	187
64	1004	apprentic_8002	191
65	1004	apprentic_1003	37
66	1004	apprentic_2003	37
67	1004	apprentic_3003	37
68	1004	apprentic_4003	37
69	1004	apprentic_5003	37
70	1004	apprentic_6003	37
71	1004	apprentic_7003	37
72	1004	apprentic_8003	41
73	1004	apprentic_1004	12
74	1004	apprentic_2004	12
75	1004	apprentic_3004	12
76	1004	apprentic_4004	12
77	1004	apprentic_5004	12
78	1004	apprentic_6004	12
79	1004	apprentic_7004	12
80	1004	apprentic_8004	16
81	1005	apprentic_1001	925
82	1005	apprentic_2001	925
83	1005	apprentic_3001	925
84	1005	apprentic_4001	925
85	1005	apprentic_5001	925
86	1005	apprentic_6001	925
87	1005	apprentic_7001	925
88	1005	apprentic_8001	925
89	1005	apprentic_1002	250
90	1005	apprentic_2002	250
91	1005	apprentic_3002	250
92	1005	apprentic_4002	250
93	1005	apprentic_5002	250
94	1005	apprentic_6002	250
95	1005	apprentic_7002	250
96	1005	apprentic_8002	250
97	1005	apprentic_1003	43
98	1005	apprentic_2003	43
99	1005	apprentic_3003	43
100	1005	apprentic_4003	43
101	1005	apprentic_5003	43
102	1005	apprentic_6003	43
103	1005	apprentic_7003	43
104	1005	apprentic_8003	49
105	1005	apprentic_1004	31
106	1005	apprentic_2004	31
107	1005	apprentic_3004	31
108	1005	apprentic_4004	31
109	1005	apprentic_5004	31
110	1005	apprentic_6004	31
111	1005	apprentic_7004	31
112	1005	apprentic_8004	33
113	1006	apprentic_1001	775
114	1006	apprentic_2001	775
115	1006	apprentic_3001	775
116	1006	apprentic_4001	775
117	1006	apprentic_5001	775
118	1006	apprentic_6001	775
119	1006	apprentic_7001	775
120	1006	apprentic_8001	775
121	1006	apprentic_1002	375
122	1006	apprentic_2002	375
123	1006	apprentic_3002	375
124	1006	apprentic_4002	375
125	1006	apprentic_5002	375
126	1006	apprentic_6002	375
127	1006	apprentic_7002	375
128	1006	apprentic_8002	375
129	1006	apprentic_1003	62
130	1006	apprentic_2003	62
131	1006	apprentic_3003	62
132	1006	apprentic_4003	62
133	1006	apprentic_5003	62
134	1006	apprentic_6003	62
135	1006	apprentic_7003	62
136	1006	apprentic_8003	66
137	1006	apprentic_1004	37
138	1006	apprentic_2004	37
139	1006	apprentic_3004	37
140	1006	apprentic_4004	37
141	1006	apprentic_5004	37
142	1006	apprentic_6004	37
143	1006	apprentic_7004	37
144	1006	apprentic_8004	41
145	1007	apprentic_1001	631
146	1007	apprentic_2001	631
147	1007	apprentic_3001	631
148	1007	apprentic_4001	631
149	1007	apprentic_5001	631
150	1007	apprentic_6001	631
151	1007	apprentic_7001	631
152	1007	apprentic_8001	633
153	1007	apprentic_1002	500
154	1007	apprentic_2002	500
155	1007	apprentic_3002	500
156	1007	apprentic_4002	500
157	1007	apprentic_5002	500
158	1007	apprentic_6002	500
159	1007	apprentic_7002	500
160	1007	apprentic_8002	500
161	1007	apprentic_1003	75
162	1007	apprentic_2003	75
163	1007	apprentic_3003	75
164	1007	apprentic_4003	75
165	1007	apprentic_5003	75
166	1007	apprentic_6003	75
167	1007	apprentic_7003	75
168	1007	apprentic_8003	75
169	1007	apprentic_1004	43
170	1007	apprentic_2004	43
171	1007	apprentic_3004	43
172	1007	apprentic_4004	43
173	1007	apprentic_5004	43
174	1007	apprentic_6004	43
175	1007	apprentic_7004	43
176	1007	apprentic_8004	49
177	1008	apprentic_1001	487
178	1008	apprentic_2001	487
179	1008	apprentic_3001	487
180	1008	apprentic_4001	487
181	1008	apprentic_5001	487
182	1008	apprentic_6001	487
183	1008	apprentic_7001	487
184	1008	apprentic_8001	491
185	1008	apprentic_1002	625
186	1008	apprentic_2002	625
187	1008	apprentic_3002	625
188	1008	apprentic_4002	625
189	1008	apprentic_5002	625
190	1008	apprentic_6002	625
191	1008	apprentic_7002	625
192	1008	apprentic_8002	625
193	1008	apprentic_1003	87
194	1008	apprentic_2003	87
195	1008	apprentic_3003	87
196	1008	apprentic_4003	87
197	1008	apprentic_5003	87
198	1008	apprentic_6003	87
199	1008	apprentic_7003	87
200	1008	apprentic_8003	91
201	1008	apprentic_1004	50
202	1008	apprentic_2004	50
203	1008	apprentic_3004	50
204	1008	apprentic_4004	50
205	1008	apprentic_5004	50
206	1008	apprentic_6004	50
207	1008	apprentic_7004	50
208	1008	apprentic_8004	50
209	1009	apprentic_1001	343
210	1009	apprentic_2001	343
211	1009	apprentic_3001	343
212	1009	apprentic_4001	343
213	1009	apprentic_5001	343
214	1009	apprentic_6001	343
215	1009	apprentic_7001	343
216	1009	apprentic_8001	349
217	1009	apprentic_1002	750
218	1009	apprentic_2002	750
219	1009	apprentic_3002	750
220	1009	apprentic_4002	750
221	1009	apprentic_5002	750
222	1009	apprentic_6002	750
223	1009	apprentic_7002	750
224	1009	apprentic_8002	750
225	1009	apprentic_1003	100
226	1009	apprentic_2003	100
227	1009	apprentic_3003	100
228	1009	apprentic_4003	100
229	1009	apprentic_5003	100
230	1009	apprentic_6003	100
231	1009	apprentic_7003	100
232	1009	apprentic_8003	100
233	1009	apprentic_1004	56
234	1009	apprentic_2004	56
235	1009	apprentic_3004	56
236	1009	apprentic_4004	56
237	1009	apprentic_5004	56
238	1009	apprentic_6004	56
239	1009	apprentic_7004	56
240	1009	apprentic_8004	58
241	1010	apprentic_1001	187
242	1010	apprentic_2001	187
243	1010	apprentic_3001	187
244	1010	apprentic_4001	187
245	1010	apprentic_5001	187
246	1010	apprentic_6001	187
247	1010	apprentic_7001	187
248	1010	apprentic_8001	191
249	1010	apprentic_1002	875
250	1010	apprentic_2002	875
251	1010	apprentic_3002	875
252	1010	apprentic_4002	875
253	1010	apprentic_5002	875
254	1010	apprentic_6002	875
255	1010	apprentic_7002	875
256	1010	apprentic_8002	875
257	1010	apprentic_1003	125
258	1010	apprentic_2003	125
259	1010	apprentic_3003	125
260	1010	apprentic_4003	125
261	1010	apprentic_5003	125
262	1010	apprentic_6003	125
263	1010	apprentic_7003	125
264	1010	apprentic_8003	125
265	1010	apprentic_1004	62
266	1010	apprentic_2004	62
267	1010	apprentic_3004	62
268	1010	apprentic_4004	62
269	1010	apprentic_5004	62
270	1010	apprentic_6004	62
271	1010	apprentic_7004	62
272	1010	apprentic_8004	66
273	6001	apprentic_1001	2000
274	6001	apprentic_2001	3000
275	6001	apprentic_3001	5000
276	6002	apprentic_1002	1250
277	6002	apprentic_2002	1250
278	6002	apprentic_3002	1250
279	6002	apprentic_4002	1250
280	6002	apprentic_5002	1250
281	6002	apprentic_6002	1250
282	6002	apprentic_7002	1250
283	6002	apprentic_8002	1250
284	6003	apprentic_1003	1250
285	6003	apprentic_2003	1250
286	6003	apprentic_3003	1250
287	6003	apprentic_4003	1250
288	6003	apprentic_5003	1250
289	6003	apprentic_6003	1250
290	6003	apprentic_7003	1250
291	6003	apprentic_8003	1250
292	6004	apprentic_1004	1250
293	6004	apprentic_2004	1250
294	6004	apprentic_3004	1250
295	6004	apprentic_4004	1250
296	6004	apprentic_5004	1250
297	6004	apprentic_6004	1250
298	6004	apprentic_7004	1250
299	6004	apprentic_8004	1250
