使者编号	对象类型	使者定位	名称	描述	头像	使者品质	动作集	低模编号	高模编号	升级每点经验价格	圆柱高度	圆柱半径	UI界面模型倍数	UI界面模型位置	UI界面组模型倍数	UI界面组模型位置	UI界面模型角度	场景模型倍数	模型高度	模型距离角色背后距离	模型出生动作时间(秒)	模型退场动作时间(秒)	淡入持续时间	淡出开始时间	常驻美术特效	奔跑音效
string	string	int	string	string	string	int	int	string	string	int	float	float	float	string	float	string	float	float	float	float	float	float	float	float	string	string
Id	Script	Job	Name	Des	Icon	EnvoyRare	ActionSet	Avatar	HighAvatar	LevelUpCostBase	CollideHeight	CollideRadius	AvatarZoom	AvatarLocation	AvatarGroupZoom	AvatarGroupLocation	AvatarAngle	SceneAvatarZoom	AvatarHideRate	AvatarOffSetPosZ	AvatarBirthActTime	AvatarDieActTime	FadeInLastTime	FadeOutStartTime	PermanentEffect	Footstep
envoy_5001	EnvoyNpc	4	EnvoyName_5001	EnvoyDesc_5001	e5001_portrait01	5	20	e001_t1	e001_t1	200	2.000000	0.500000	1.400000	-0.1;-0.5;0	1.000000	0;-0.4;-2	0.000000	1.900000	0.200000	-1.100000	3.800000	2.000000	0.500000	0.500000		
envoy_5002	EnvoyNpc	2	EnvoyName_5002	EnvoyDesc_5002	e5002_portrait01	5	20	e002_t1	e002_t1	200	2.000000	0.500000	1.300000	-0.1;-0.1;0	1.000000	0;-0.4;-2	0.000000	1.900000	0.100000	-1.700000	1.600000	2.000000	0.500000	0.500000		
envoy_5003	EnvoyNpc	1	EnvoyName_5003	EnvoyDesc_5003	e5003_portrait01	5	20	e003_t1	e003_t1	200	2.000000	0.500000	1.700000	-0.2;-0.2;0	1.000000	0;-0.4;-2	0.000000	2.300000	0.100000	-1.700000	1.600000	2.000000	0.500000	0.500000		
envoy_5004	EnvoyNpc	1	EnvoyName_5004	EnvoyDesc_5004	e5004_portrait01	5	20	e901_t1	e901_t1	200	2.000000	0.500000	1.800000	-0.1;-0.5;0	1.000000	0;-0.4;-2	0.000000	2.500000	0.200000	-1.300000	1.600000	2.000000	0.500000	0.500000		
envoy_5005	EnvoyNpc	1	EnvoyName_5005	EnvoyDesc_5005	e5005_portrait01	5	20	e009_t1	e009_t1	200	2.000000	0.500000	1.700000	-0.1;-1;0	1.000000	0;-0.4;-2	0.000000	2.000000	0.200000	-1.100000	1.600000	2.000000	0.500000	0.500000		
envoy_4001	EnvoyNpc	5	EnvoyName_4001	EnvoyDesc_4001	e4001_portrait01	4	20	e005_t1	e005_t1	200	2.000000	0.500000	1.700000	0.1;-0.6;0	1.000000	0;-0.4;-2	0.000000	2.200000	0.170000	-1.100000	1.700000	2.200000	0.500000	0.500000		
envoy_4002	EnvoyNpc	1	EnvoyName_4002	EnvoyDesc_4002	e4002_portrait01	4	20	e004_t1	e004_t1	200	2.000000	0.500000	1.400000	0;-0.2;0	1.000000	0;-0.4;-2	0.000000	1.900000	0.050000	-1.100000	1.700000	1.800000	0.500000	0.500000		
envoy_4003	EnvoyNpc	3	EnvoyName_4003	EnvoyDesc_4003	e4003_portrait01	4	20	e006_t1	e006_t1	200	2.000000	0.500000	1.500000	-0.1;-0.3;0	1.000000	0;-0.4;-2	0.000000	2.200000	0.200000	-1.300000	1.400000	2.000000	0.500000	0.500000		
envoy_3001	EnvoyNpc	1	EnvoyName_3001	EnvoyDesc_3001	e3001_portrait01	3	20	e007_t1	e007_t1	200	2.000000	0.500000	1.300000	-0.2;-0.2;0	1.000000	0;-0.4;-2	0.000000	2.000000	0.200000	-1.700000	2.000000	1.500000	0.500000	0.500000		
envoy_monster01	EnvoyNpc	0				0	20	e008_t1	e008_t1	200	2.000000	0.500000	1.000000	0;-0.4;0	1.000000	0;-0.4;-2	0.000000	2.500000	0.100000	-2.000000	1.700000	1.500000	0.500000	0.500000		
envoy_monster02	EnvoyNpc	0				0	20	e008_t1	e008_t1	200	2.000000	0.500000	1.000000	0;-0.4;0	1.000000	0;-0.4;-2	0.000000	2.500000	-3.000000	-2.000000	1.700000	1.500000	0.500000	0.500000		
envoy_monster03	EnvoyNpc	0				0	20	e008_t1	e008_t1	200	2.000000	0.500000	1.000000	0;-0.4;0	1.000000	0;-0.4;-2	0.000000	0.800000	1.000000	-0.400000	1.700000	1.500000	0.500000	0.500000		
envoy_5006	EnvoyNpc	1	EnvoyName_5006	EnvoyDesc_5006	e5006_portrait01	5	20	e010_t1	e010_t1	200	2.000000	0.500000	1.600000	-0.1;-1;0	1.000000	0;-0.4;-2	0.000000	1.900000	0.350000	-1.100000	1.600000	2.000000	0.500000	0.500000		
envoy_5007	EnvoyNpc	2	EnvoyName_5007	EnvoyDesc_5007	e902_portrait01	5	20	e902_t1	e902_t1	200	2.000000	0.500000	1.600000	-0.1;-1;0	1.000000	0;-0.4;-2	0.000000	1.900000	0.350000	-1.100000	1.600000	2.000000	0.500000	0.500000		
envoy_5008	EnvoyNpc	3	EnvoyName_5008	EnvoyDesc_5008	e011_portrait01	5	20	e011_t1	e011_t1	200	2.000000	0.500000	1.400000	-0.1;-0.4;0	1.000000	0;-0.4;-2	0.000000	1.900000	0.250000	-1.100000	1.600000	2.000000	0.500000	0.500000		
