收集品道具id	收集品类型	尺寸随机范围	尺寸单位
string	int	string	string
ItemId	Type	RandomSize	SizeUnit
item170000101010	1	10,150	UI_AdventBookUnitkey01
item170000101020	1	20,140	UI_AdventBookUnitkey01
item170000101030	1	10,100	UI_AdventBookUnitkey01
item170000101040	1	10,200	UI_AdventBookUnitkey01
item170000102010	1	1,100	UI_AdventBookUnitkey01
item170000102020	1	10,105	UI_AdventBookUnitkey01
item170000102030	1	5,130	UI_AdventBookUnitkey01
item170000102040	1	20,200	UI_AdventBookUnitkey01
item170000103010	1	20,108	UI_AdventBookUnitkey01
item170000103020	1	20,109	UI_AdventBookUnitkey01
item170000103030	1	20,220	UI_AdventBookUnitkey01
item170000103040	1	50,250	UI_AdventBookUnitkey01
item170000104010	1	20,130	UI_AdventBookUnitkey01
item170000104020	1	20,150	UI_AdventBookUnitkey01
item170000104030	1	20,180	UI_AdventBookUnitkey01
item170000104040	1	20,220	UI_AdventBookUnitkey01
item170000105010	1	20,120	UI_AdventBookUnitkey01
item170000105020	1	20,130	UI_AdventBookUnitkey01
item170000105030	1	20,280	UI_AdventBookUnitkey01
item170000105040	1	60,500	UI_AdventBookUnitkey01
item170000106010	1	20,120	UI_AdventBookUnitkey01
item170000106020	1	20,200	UI_AdventBookUnitkey01
item170000106030	1	20,300	UI_AdventBookUnitkey01
item170000106040	1	20,400	UI_AdventBookUnitkey01
item170000107010	1	10,100	UI_AdventBookUnitkey01
item170000107020	1	15,150	UI_AdventBookUnitkey01
item170000107030	1	20,200	UI_AdventBookUnitkey01
item170000107040	1	30,300	UI_AdventBookUnitkey01
item144320000001	2		
item144320000002	2		
item170000201010	2		
item170000201020	2		
item170000201030	2		
item170000202010	2		
item170000202020	2		
item170000203010	2		
item170000203020	2		
item170000203030	2		
item170000203040	2		
item170000203050	2		
item170000301010	3		
item170000301020	3		
item170000301030	3		
item170000301040	3		
item170000301050	3		
item170000302010	3		
item170000302020	3		
item170000302030	3		
item170000302040	3		
item170000302050	3		
item170000302060	3		
item170000302070	3		
item170000302080	3		
item170000303010	3		
item170000303020	3		
item170000303030	3		
item170000303040	3		
item170000303050	3		
item250001001001	4	53,60	UI_AdventBookUnitkey01
item250001001002	4	46,53	UI_AdventBookUnitkey01
item250001001003	4	38,46	UI_AdventBookUnitkey01
item250001001004	4	20,38	UI_AdventBookUnitkey01
item250001002001	4	40,45	UI_AdventBookUnitkey01
item250001002002	4	33,40	UI_AdventBookUnitkey01
item250001002003	4	25,33	UI_AdventBookUnitkey01
item250001002004	4	20,25	UI_AdventBookUnitkey01
item250001003001	4	80,90	UI_AdventBookUnitkey01
item250001003002	4	70,80	UI_AdventBookUnitkey01
item250001003003	4	55,70	UI_AdventBookUnitkey01
item250001003004	4	30,55	UI_AdventBookUnitkey01
item250001004001	4	25,30	UI_AdventBookUnitkey01
item250001004002	4	20,25	UI_AdventBookUnitkey01
item250001004003	4	18,20	UI_AdventBookUnitkey01
item250001004004	4	15,18	UI_AdventBookUnitkey01
item250001005001	4	15,20	UI_AdventBookUnitkey01
item250001005002	4	13,15	UI_AdventBookUnitkey01
item250001005003	4	10,13	UI_AdventBookUnitkey01
item250001005004	4	5,10	UI_AdventBookUnitkey01
item250001006001	4	38,45	UI_AdventBookUnitkey01
item250001006002	4	30,38	UI_AdventBookUnitkey01
item250001006003	4	25,30	UI_AdventBookUnitkey01
item250001006004	4	20,25	UI_AdventBookUnitkey01
item250001007001	4	25,30	UI_AdventBookUnitkey01
item250001007002	4	20,25	UI_AdventBookUnitkey01
item250001007003	4	15,20	UI_AdventBookUnitkey01
item250001007004	4	10,15	UI_AdventBookUnitkey01
