玩法id	底图素材	是否有边框	空槽素材	连接线素材	光珠特效	光珠破碎特效	光连线特效	玩法成功后特效	连珠路线配置	图标图片	本玩法名字文本	玩法成功提示文本	玩法失败提示文本	超时处理
int	string	int	string	string	string	string	string	string	string	string	string	string	string	string
Id	Background	Border	Slot	Line	LightBall	LightBallBroken	LightLine	WinEffect	PointPos	IconPic	NameText	SuccessText	FailedText	TimeLimit
201	link_bg_201	1	map_circle	map_line	34000005	34000003	34000002	34000004,-5,-7	-9,205;-156,97;198,52;159,-83;-114,-126		link_name_201	link_success_201	link_fail_201	20,1
202	link_bg_202	0	map_circle	map_line	34000005	34000003	34000002	10000009,0,33	0,164;-151,76;-152,-98;151,76;152,-98;0,-185		link_name_202	link_success_202	link_fail_202	20,1
301	bg_qte	0	yc_03_frame03	map_line	10146	34000003	34000002	10000009,0,33	-175,-43;227,50	item_103010111000,item_103010211001	link_name_301	link_success_301	link_fail_301	20,1
302	bg_qte	0	yc_03_frame03	map_line	10208	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_103010111000,item_103010211001,item_103010311001	link_name_301	link_success_301	link_fail_301	20,1
303	bg_qte	0	yc_03_frame03	map_line	10066	34000003	34000002	10000009,0,33	-300,-90;-100,130;100,-90;300,130	item_103010111000,item_103010211001,item_103010311001,item_103010411001	link_name_301	link_success_301	link_fail_301	20,1
304	bg_qte	0	yc_03_frame03	map_line	10049	34000003	34000002	10000009,0,33	0,164;-151,76;-152,-98;151,76;152,-98;0,-185	item_103010111000,item_103010211001,item_103010311001	link_name_301	link_success_301	link_fail_301	20,1
305	bg_qte	0	yc_03_frame03	map_line	41100022	34000003	34000002	10000009,0,33	0,164;-151,76;-152,-98;151,76;152,-98;0,-185	item_103010111000,item_103010211001,item_103010311001	link_name_301	link_success_301	link_fail_301	20,1
401	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000002001,item_173000002002	link_name_301	link_success_301	link_fail_301	20,1
402	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000002003,item_173000002004	link_name_301	link_success_301	link_fail_301	20,1
403	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000002005,item_173000002006	link_name_301	link_success_301	link_fail_301	20,1
404	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000002007,item_173000002008,item_173000002009	link_name_301	link_success_301	link_fail_301	20,1
405	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000002010,item_173000002011,item_173000002012	link_name_301	link_success_301	link_fail_301	20,1
406	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000003001,item_173000003002	link_name_301	link_success_301	link_fail_301	20,1
407	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000003003,item_173000003004	link_name_301	link_success_301	link_fail_301	20,1
408	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000003005,item_173000003006	link_name_301	link_success_301	link_fail_301	20,1
409	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000003007,item_173000003008,item_173000003009	link_name_301	link_success_301	link_fail_301	20,1
410	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000003015,item_173000003016,item_173000003017	link_name_301	link_success_301	link_fail_301	20,1
411	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000003010,item_173000003011,item_173000003012	link_name_301	link_success_301	link_fail_301	20,1
412	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000003013,item_173000003014	link_name_301	link_success_301	link_fail_301	20,1
413	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004001,item_173000004002,item_173000004003	link_name_301	link_success_301	link_fail_301	20,1
414	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004004,item_173000004005,item_173000004006	link_name_301	link_success_301	link_fail_301	20,1
415	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004007,item_173000004008,item_173000004009	link_name_301	link_success_301	link_fail_301	20,1
416	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004010,item_173000004011,item_173000004012	link_name_301	link_success_301	link_fail_301	20,1
417	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-300,-90;-100,130;100,-90;300,130	item_173000004013,item_173000004014,item_173000004015,item_173000004016	link_name_301	link_success_301	link_fail_301	20,1
418	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-300,-90;-100,130;100,-90;300,130	item_173000004017,item_173000004018,item_173000004019,item_173000004020	link_name_301	link_success_301	link_fail_301	20,1
419	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005001,item_173000005002,item_173000005003	link_name_301	link_success_301	link_fail_301	20,1
420	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005004,item_173000005005,item_173000005006	link_name_301	link_success_301	link_fail_301	20,1
421	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005007,item_173000005008,item_173000005009	link_name_301	link_success_301	link_fail_301	20,1
422	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004020,item_173000003014,item_173000002001	link_name_301	link_success_301	link_fail_301	20,1
423	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004019,item_173000003013,item_173000002002	link_name_301	link_success_301	link_fail_301	20,1
424	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004018,item_173000003012,item_173000002003	link_name_301	link_success_301	link_fail_301	20,1
425	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004017,item_173000003011,item_173000002004	link_name_301	link_success_301	link_fail_301	20,1
426	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004016,item_173000003010,item_173000002005	link_name_301	link_success_301	link_fail_301	20,1
427	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004015,item_173000003017,item_173000002006	link_name_301	link_success_301	link_fail_301	20,1
428	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004014,item_173000003016,item_173000002007	link_name_301	link_success_301	link_fail_301	20,1
429	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004013,item_173000003015,item_173000002008	link_name_301	link_success_301	link_fail_301	20,1
430	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004012,item_173000003009,item_173000002009	link_name_301	link_success_301	link_fail_301	20,1
431	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004011,item_173000003008,item_173000002010	link_name_301	link_success_301	link_fail_301	20,1
432	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004010,item_173000003007,item_173000002011	link_name_301	link_success_301	link_fail_301	20,1
433	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004009,item_173000003006,item_173000002012	link_name_301	link_success_301	link_fail_301	20,1
434	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004008,item_173000003005,item_173000005001	link_name_301	link_success_301	link_fail_301	20,1
435	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004007,item_173000003004,item_173000005002	link_name_301	link_success_301	link_fail_301	20,1
436	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004006,item_173000003003,item_173000005003	link_name_301	link_success_301	link_fail_301	20,1
437	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004005,item_173000003002,item_173000005004	link_name_301	link_success_301	link_fail_301	20,1
438	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004004,item_173000003001,item_173000005005	link_name_301	link_success_301	link_fail_301	20,1
439	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000004003,item_173000005006	link_name_301	link_success_301	link_fail_301	20,1
440	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000004002,item_173000005007	link_name_301	link_success_301	link_fail_301	20,1
441	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004001,item_173000005008,item_173000005009	link_name_301	link_success_301	link_fail_301	20,1
442	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004001,item_173000004002,item_173000005010	link_name_301	link_success_301	link_fail_301	20,1
443	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004003,item_173000004004,item_173000005011	link_name_301	link_success_301	link_fail_301	20,1
444	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000004005,item_173000004006,item_173000005012	link_name_301	link_success_301	link_fail_301	20,1
445	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005010,item_173000005011,item_173000005012	link_name_301	link_success_301	link_fail_301	20,1
446	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000005013,item_173000005014	link_name_301	link_success_301	link_fail_301	20,1
447	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005015,item_173000005016,item_173000005017	link_name_301	link_success_301	link_fail_301	20,1
448	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-175,-43;227,50	item_173000005018,item_173000005019	link_name_301	link_success_301	link_fail_301	20,1
449	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005020,item_173000005021,item_173000005022	link_name_301	link_success_301	link_fail_301	20,1
450	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005023,item_173000005024,item_173000005025	link_name_301	link_success_301	link_fail_301	20,1
451	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005026,item_173000005027,item_173000005028	link_name_301	link_success_301	link_fail_301	20,1
452	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005029,item_173000005030,item_173000005031	link_name_301	link_success_301	link_fail_301	20,1
453	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005032,item_173000005033,item_173000005034	link_name_301	link_success_301	link_fail_301	20,1
454	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005035,item_173000005036,item_173000005037	link_name_301	link_success_301	link_fail_301	20,1
455	bg_qte	0	yc_03_frame03	map_line	10008	34000003	34000002	10000009,0,33	-254,-38;0,-155;254,88	item_173000005038,item_173000005039,item_173000005040	link_name_301	link_success_301	link_fail_301	20,1
