Buffid	buff组	词缀效果类型	词缀效果参数	buff图标	buff名称	buff描述
int	int	string	string	string	string	string
BuffId	BuffGroup	EffectType	EffectParam	BuffIcon	BuffName	BuffDec
1001	1	2	dg_bf460_1_contract::buff_lv1_04	bigbuff_9001	buffname_9001_buff_lv1_04	buffdes_9001_buff_lv1_04
1002	1	2	dg_bf460_1_contract::buff_lv2_04	bigbuff_9019	buffname_9019_buff_lv2_04	buffdes_9019_buff_lv2_04
1003	1	2	dg_bf460_1_contract::buff_lv3_04	bigbuff_9008	buffname_9008_buff_lv3_04	buffdes_9008_buff_lv3_04
1004	1	2	dg_bf460_1_contract::buff_lv4_04	bigbuff_9021	buffname_9021_buff_lv4_04	buffdes_9021_buff_lv4_04
1005	1	2	dg_bf460_1_contract::buff_lv7_04	bigbuff_9007	buffname_9007_buff_lv7_04	buffdes_9007_buff_lv7_04
1006	1	2	dg_bf460_1_contract::buff_lv8_04	bigbuff_9037	buffname_9037_buff_lv8_04	buffdes_9037_buff_lv8_04
1007	2	2	dg_bf460_1_contract::buff_lv1_01	bigbuff_9001	buffname_9001_buff_lv1_01	buffdes_9001_buff_lv1_01
1008	2	2	dg_bf460_1_contract::buff_lv1_02	bigbuff_9001	buffname_9001_buff_lv1_02	buffdes_9001_buff_lv1_02
1009	2	2	dg_bf460_1_contract::buff_lv2_01	bigbuff_9019	buffname_9019_buff_lv2_01	buffdes_9019_buff_lv2_01
1010	2	2	dg_bf460_1_contract::buff_lv2_02	bigbuff_9019	buffname_9019_buff_lv2_02	buffdes_9019_buff_lv2_02
1011	2	2	dg_bf460_1_contract::buff_lv3_01	bigbuff_9008	buffname_9008_buff_lv3_01	buffdes_9008_buff_lv3_01
1012	2	2	dg_bf460_1_contract::buff_lv3_02	bigbuff_9008	buffname_9008_buff_lv3_02	buffdes_9008_buff_lv3_02
1013	2	2	dg_bf460_1_contract::buff_lv7_01	bigbuff_9007	buffname_9007_buff_lv7_01	buffdes_9007_buff_lv7_01
1014	2	2	dg_bf460_1_contract::buff_lv7_02	bigbuff_9007	buffname_9007_buff_lv7_02	buffdes_9007_buff_lv7_02
1015	2	2	dg_bf460_1_contract::buff_lv4_01	bigbuff_9021	buffname_9021_buff_lv4_01	buffdes_9021_buff_lv4_01
1016	2	2	dg_bf460_1_contract::buff_lv4_02	bigbuff_9021	buffname_9021_buff_lv4_02	buffdes_9021_buff_lv4_02
1017	2	2	dg_bf460_1_contract::buff_lv8_01	bigbuff_9037	buffname_9037_buff_lv8_01	buffdes_9037_buff_lv8_01
1018	2	2	dg_bf460_1_contract::buff_lv8_02	bigbuff_9037	buffname_9037_buff_lv8_02	buffdes_9037_buff_lv8_02
1019	3	2	dg_bf460_1_contract::buff_lv1_01	bigbuff_9001	buffname_9001_buff_lv1_01	buffdes_9001_buff_lv1_01
1020	3	2	dg_bf460_1_contract::buff_lv1_02	bigbuff_9001	buffname_9001_buff_lv1_02	buffdes_9001_buff_lv1_02
1021	3	2	dg_bf460_1_contract::buff_lv1_03	bigbuff_9001	buffname_9001_buff_lv1_03	buffdes_9001_buff_lv1_03
1022	3	2	dg_bf460_1_contract::buff_lv2_01	bigbuff_9019	buffname_9019_buff_lv2_01	buffdes_9019_buff_lv2_01
1023	3	2	dg_bf460_1_contract::buff_lv2_02	bigbuff_9019	buffname_9019_buff_lv2_02	buffdes_9019_buff_lv2_02
1024	3	2	dg_bf460_1_contract::buff_lv2_03	bigbuff_9019	buffname_9019_buff_lv2_03	buffdes_9019_buff_lv2_03
1025	3	2	dg_bf460_1_contract::buff_lv3_01	bigbuff_9008	buffname_9008_buff_lv3_01	buffdes_9008_buff_lv3_01
1026	3	2	dg_bf460_1_contract::buff_lv3_02	bigbuff_9008	buffname_9008_buff_lv3_02	buffdes_9008_buff_lv3_02
1027	3	2	dg_bf460_1_contract::buff_lv3_03	bigbuff_9008	buffname_9008_buff_lv3_03	buffdes_9008_buff_lv3_03
1028	3	2	dg_bf460_1_contract::buff_lv7_01	bigbuff_9007	buffname_9007_buff_lv7_01	buffdes_9007_buff_lv7_01
1029	3	2	dg_bf460_1_contract::buff_lv7_02	bigbuff_9007	buffname_9007_buff_lv7_02	buffdes_9007_buff_lv7_02
