签到期数ID	第1天奖励	第2天奖励	第3天奖励	第4天奖励	第5天奖励	第6天奖励	第7天奖励	第8天奖励	第9天奖励	第10天奖励	第11天奖励	第12天奖励	第13天奖励	第14天奖励	第15天奖励	第16天奖励	第17天奖励	第18天奖励	第19天奖励	第20天奖励	第21天奖励	第22天奖励	第23天奖励	第24天奖励	第25天奖励	第26天奖励	第27天奖励	第28天奖励	第29天奖励	第30天奖励	累计第1个宝箱奖励	累计第1个宝箱奖励	累计第2个宝箱奖励	累计第2个宝箱奖励	累计第3个宝箱奖励	累计第3个宝箱奖励	累计第4个宝箱奖励	累计第4个宝箱奖励	累计第5个宝箱奖励	累计第5个宝箱奖励	累计第6个宝箱奖励	累计第6个宝箱奖励
int	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	int	string	int	string	int	string	int	string	int	string	int	string
Id	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Reward9	Reward10	Reward11	Reward12	Reward13	Reward14	Reward15	Reward16	Reward17	Reward18	Reward19	Reward20	Reward21	Reward22	Reward23	Reward24	Reward25	Reward26	Reward27	Reward28	Reward29	Reward30	TotleCheckInNum1	TotleCheckInReward1	TotleCheckInNum2	TotleCheckInReward2	TotleCheckInNum3	TotleCheckInReward3	TotleCheckInNum4	TotleCheckInReward4	TotleCheckInNum5	TotleCheckInReward5	TotleCheckInNum6	TotleCheckInReward6
1	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
2	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
3	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
4	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
5	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
6	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
7	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
8	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
9	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
10	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
11	item1000,200000,0	item101040101015,2,0	item8119100000000,1,0	item103010131001,3,0	item107999900001,4,0	item8103010111016,20,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,300000,0	item8101020505335,2,0	item8119100000000,2,0	item103010131001,6,0	item107999900001,6,0	item8103010111016,30,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8103010111016,40,0	item1000,400000,0	item8101020505335,3,0	item8119100000000,3,0	item103010131001,9,0	item107999900001,8,0	item8100000000013,1,0	2	item105000000072,2	3	item105000000073,1	7	item101040101015,20	14	item107300000001,5	21	item8101020505335,20	28	item8119100000002,1
