编号	角色动作集	动作编号	动作绑定特效id,特效开始时间;	音效ID,音效开始时间;	时间	特效资源	目标位置
int	int	int	string	string	string	int	vector3
Id	ActionSet	ActionId	Effect	Audio	ThrowTime	ThrowEffect	ThrowPos
1	3000003	60	80002,0			0	
2	3000003	61	80003,0			0	
3	3000003	70	80000,0			0	
4	3000003	71	80001,0			0	
5	1001001	5	80004,0			0	
6	1001001	5	80005,0			0	
7	1001001	5	80006,0			0	
8	1003001	5	80007,0			0	
9	1003001	5	80008,0			0	
10	1003001	5	80009,0			0	
11	1007001	5	80017,0			0	
12	1007001	5	80018,0			0	
13	1007001	5	80019,0			0	
14	1007001	5	80020,0			0	
15	3001003	70	80010,0			0	
16	4000007	13	20048,0			0	
17	5001002	1	110003,0.16			0	
18	5001002	11	110004,0			0	
19	5002002	11	110005,0			0	
20	5003002	11	110010,0			0	
21	5004002	11	110006,0			0	
22	5005002	11	110013,0			0	
23	2022002	11	20082,0			0	
24	1004001	5	80012,0			0	
25	3004004	5	110018,0			0	
26	1003001	18	80014,0			0	
27	2037002	11	110041,0			0	
28	1002001	26	30000005,0			0	
29	1001001	26	30000005,0			0	
30	1000001	26	30000005,0			0	
31	1003001	26	30000005,0			0	
32	1004001	26	30000005,0			0	
33	1005001	26	30000005,0			0	
34	1000001	26	30000005,0			0	
35	1007001	26	30000005,0			0	
36	1002001	608	30000005,0			0	
37	1001001	608	30000005,0			0	
38	1000001	608	30000005,0			0	
39	1003001	608	30000005,0			0	
40	1004001	608	30000005,0			0	
41	1005001	608	30000005,0			0	
42	1000001	608	30000005,0			0	
43	1007001	608	30000005,0			0	
44	3073003	608	30000005,0			0	
45	1002001	604	30000006,0			0	
46	1001001	604	30000006,0			0	
47	1000001	604	30000006,0			0	
48	1003001	604	30000006,0			0	
49	1004001	604	30000006,0			0	
50	1005001	604	30000006,0			0	
51	1000001	604	30000006,0			0	
52	1007001	604	30000006,0			0	
53	3073003	604	30000006,0			0	
54	1002001	610	30000007,0			0	
55	1001001	610	30000007,0			0	
56	1000001	610	30000007,0			0	
57	1003001	610	30000007,0			0	
58	1004001	610	30000007,0			0	
59	1005001	610	30000007,0			0	
60	1000001	610	30000007,0			0	
61	1007001	610	30000007,0			0	
62	3073003	610	30000007,0			0	
63	1002001	700	30000007,0			0	
64	1001001	700	30000007,0			0	
65	1000001	700	30000007,0			0	
66	1003001	700	30000007,0			0	
67	1004001	700	30000007,0			0	
68	1005001	700	30000007,0			0	
69	1000001	700	30000007,0			0	
70	1007001	700	30000007,0			0	
71	1005001	5	80015,0.1			0	
72	1005001	5	80016,0			0	
73	3024003	1	40000010,0			0	
74	3025003	70	80022,0			0	
75	5026002	11	110056,0			0	
76	1002001	100	50,0			0	
77	1002001	101	70,0			0	
78	1002001	102	234,0			0	
79	3003103	1	40000014,0;40000016,0			0	
80	3000403	1	40000019,0			0	
81	3011003	1	40000021,0			0	
82	1002001	611			500;1000	31000005	-3.1,3.1,15.52
83	1001001	611			500;1000	31000005	-3.1,3.1,15.52
84	1000001	611			500;1000	31000005	-3.1,3.1,15.52
85	1003001	611			500;1000	31000005	-3.1,3.1,15.52
86	1004001	611			500;1000	31000005	-3.1,3.1,15.52
87	1005001	611			500;1000	31000005	-3.1,3.1,15.52
88	1000001	611			500;1000	31000005	-3.1,3.1,15.52
89	1007001	611			500;1000	31000005	-3.1,3.1,15.52
90	1002001	612	31000006,0;31000007,0			0	
91	1001001	612	31000006,0;31000007,0			0	
92	1000001	612	31000006,0;31000007,0			0	
93	1003001	612	31000006,0;31000007,0			0	
94	1004001	612	31000006,0;31000007,0			0	
95	1005001	612	31000006,0;31000007,0			0	
96	1000001	612	31000006,0;31000007,0			0	
97	1007001	612	31000006,0;31000007,0			0	
98	2001012	12	40000026,0	414,0		0	
99	5	101	40000023,0.1	417,0		0	
100	3001006	8		409,0		0	
101	2069002	11		421,0		0	
102	2057002	42		412,0.25;5232,0.25		0	
103	2060002	5				0	
104	1003001	84		415,0		0	
105	3012002	72		416,0		0	
106	3901103	71	30000008,0			0	
107	1002001	305			500;1000	40000041	
108	1001001	305			500;1000	40000041	
109	1000001	305			500;1000	40000041	
110	1003001	305			500;1000	40000041	
111	1004001	305			500;1000	40000041	
112	1005001	305			500;1000	40000041	
113	1000001	305			500;1000	40000041	
114	1007001	305			500;1000	40000041	
115	40028024	10	80021,0			0	
116	902020	8	40000045,0			0	
117	6011020	5	60012,0			0	
118	6009020	122	60018,0			0	
119	2001002	12		414,0		0	
120	1002001	33	10000036,0			0	
121	1001001	33	10000037,0;10000038,0			0	
122	1000001	33	10000039,0			0	
123	1003001	33	10000040,0			0	
124	1004001	33	10000041,0			0	
125	1005001	33	10000041,0			0	
126	1000001	33	10000042,0			0	
127	1007001	33	10000043,7			0	
128	6012020	5	41000037,0			0	
129	6013020	5	41000089,4			0	
