流程	描述	读条颜色	图标类型	固定图标	是否显示读条	流音效
string	string	string	int	string	bool	int
Id	Desc	Color	IconType	FixedIcon	LoadingShow	SoundId
use_item_flow	Main_Flow_ItemUsing	238,196,57	1		1	0
identify_item_flow	Main_Flow_ItemIdentifing	238,196,57	1		1	0
npc_select_flow	Main_Flow_Gathering	238,196,57	2		1	238
switch_line_flow	Main_Flow_Transfer	89,200,245	0	icon_tansfer	1	220
use_treasure_map_flow	Main_Flow_ItemUsing	238,196,57	1		1	0
client_custom_skill_flow		238,196,57	3		1	0
life_skill_collect_flow	Main_Flow_Collect	238,196,57	2		1	238
life_skill_mine_flow	Main_Flow_Mine	238,196,57	2		1	239
life_skill_make_flow	Main_Flow_Make	238,196,57	1		1	0
push_fire_flow	Main_Flow_Pushing	238,196,57	0	icon_caiji	1	0
use_shiwu1003_flow	Spec_Flow_Item1003Using	238,196,57	1		1	0
use_baotu_flow	Spec_Flow_BaotuUsing	238,196,57	1		1	238
use_tanmofen_flow	Spec_Flow_TanmofenUsing	238,196,57	1		1	0
use_nianye_flow	Spec_Flow_NianyeUsing	238,196,57	1		1	0
use_huolishui_flow	Spec_Flow_HuolishuiUsing	238,196,57	1		1	0
use_shuiping_flow	Spec_Flow_ShuipingUsing	238,196,57	1		1	0
use_bianshen_flow	Spec_Flow_BianshenUsing	238,196,57	1		1	0
use_beike_flow	Spec_Flow_BeikeUsing	238,196,57	1		1	0
use_fangzhi_flow	Spec_Flow_FangzhiUsing	238,196,57	1		1	0
use_weishi_flow	Spec_Flow_WeishiUsing	238,196,57	1		1	0
diaocha_flow	Task_Flow_diaocha	238,196,57	0	icon_caiji	1	0
use_task_flow	Task_Flow_shiyong	238,196,57	0	icon_caiji	1	0
repair_flow	Task_Flow_repair	238,196,57	0	icon_caiji	1	0
use_koushao_flow	Spec_Flow_KoushaoUsing	238,196,57	1		1	0
signal_flow	Task_Flow_signal	238,196,57	0	icon_caiji	1	0
off_flow	Task_Flow_off	238,196,57	0	icon_caiji	1	0
make_flow	Task_Flow_make	238,196,57	0	icon_caiji	1	0
