流水	排名区间	个人排行奖励
int	string	string
Id	RankRegion	ItemReward
1	1,1	item1009,12000;item1000,50000
2	2,2	item1009,10400;item1000,45000
3	3,3	item1009,9600;item1000,45000
4	4,4	item1009,8800;item1000,45000
5	5,5	item1009,8400;item1000,45000
6	6,6	item1009,8000;item1000,45000
7	7,7	item1009,7600;item1000,45000
8	8,8	item1009,7200;item1000,45000
9	9,9	item1009,6800;item1000,45000
10	10,10	item1009,6400;item1000,45000
11	11,20	item1009,6000;item1000,40000
12	21,50	item1009,5600;item1000,40000
13	51,100	item1009,5200;item1000,40000
14	101,200	item1009,4800;item1000,35000
15	201,500	item1009,4400;item1000,35000
16	501,1000	item1009,4000;item1000,35000
17	1001,2000	item1009,3600;item1000,30000
18	2001,5000	item1009,3200;item1000,25000
19	5001,10000	item1009,2000;item1000,20000
