流水	属性id	属性下限	属性上限	品质	属性ID
int	int	int	int	int	int
Id	RandomPropId	PropMin	PropMax	Rare	PropId
1	1001	420	600	2	279
2	1002	42	60	3	281
3	1003	42	60	4	285
4	1004	140	200	4	283
5	1005	140	200	4	284
6	1006	140	200	4	287
7	1007	140	200	4	288
8	1008	140	200	4	289
9	1009	140	200	4	290
10	2001	700	1000	2	279
11	2002	70	100	3	281
12	2003	70	100	3	285
13	2004	700	1000	4	283
14	2005	700	1000	4	284
15	2006	700	1000	4	287
16	2007	700	1000	4	288
17	2008	700	1000	4	289
18	2009	700	1000	4	290
19	2010	700	1000	4	291
20	2011	700	1000	4	292
21	3001	1050	1500	2	279
22	3002	105	150	3	281
23	3003	105	150	3	285
24	3004	1050	1500	4	283
25	3005	1050	1500	4	284
26	3006	1050	1500	4	287
27	3007	1050	1500	4	288
28	3008	1050	1500	4	289
29	3009	1050	1500	4	290
30	3010	1050	1500	4	291
31	3011	1050	1500	4	292
32	4001	1400	2000	2	279
33	4002	140	200	3	281
34	4003	140	200	3	285
35	4004	1400	2000	4	280
36	4005	1400	2000	4	282
37	4006	1400	2000	4	286
38	4007	1400	2000	4	283
39	4008	1400	2000	4	284
40	4009	1400	2000	4	287
41	4010	1400	2000	4	288
42	4011	1400	2000	4	289
43	4012	1400	2000	4	290
44	4013	1400	2000	4	291
45	4014	1400	2000	4	292
