场景ID	秘境类型	阶段	等级限制	穿行类型	长度(米)	最大载重	个人首通奖励	完美通关奖励宝箱	未完美通关假奖励宝箱	完美通关时间	限制最小人数	限制最大人数	秘境名字	普通通关奖励显示	完美通关奖励显示	提示信息方案	关卡描述	护罩特效	滚动背景资源	横向转动物件	纵向转动物件	颜色(控制材质球颜色变化)	动画(控制物件动画速度变化)
int	int	int	int	int	int	int	string	string	string	int	int	int	string	string	string	int	string	int	string	string	string	string	string
Id	TowerType	TowerLevel	EnterLevel	ClimeType	Height	MaxLoad	FirstReward	ExtralBoxId	ExtralFakeBoxId	PerfectTime	LimitMinNumber	LimitNumber	DungeonName	Reward	PerfectReward	Notice	LevelDescription	SecretLandEffect	SceneBgName	RotateLeftName	RotateUpName	ColorName	AnimName
1201	0	1	20	1	300	30				0	1	5	SingleSecretName1	item1006,1;item103010131001,1		0		0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1301	1	1	33	1	300	30	item160000110101,1;item1006,50	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName1	item90000000067,1;item90000000068,1;item90000000105,1;item1000,1;item1006,1	equip307020431999,1;item160000110101,1;item1006,50	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1302	1	2	33	1	300	30	item160000210101,1;item1006,50	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName2	item90000000067,1;item90000000068,1;item90000000105,1;item1000,1;item1006,1	equip308020431999,1;item160000210101,1;item1006,50	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1303	1	3	33	1	300	30	item160000310101,1;item1006,50	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName3	item90000000067,1;item90000000068,1;item90000000106,1;item90000000105,1;item1000,1;item1006,1	item160000310101,1;item1006,50	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1304	1	4	33	1	300	30	item160000110101,1;item1006,50	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName4	item90000000067,1;item90000000068,1;item90000000106,1;item90000000105,1;item1000,1;item1006,1	equip309020431999,1;item160000110101,1;item1006,50	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1305	1	5	33	1	100	30	item161000000001,2;item1006,150;item8103015110305,2	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName5	item90000000067,1;item90000000068,1;item90000000106,1;item90000000105,1;item1000,1;item1006,1	item160000310102,1;item1006,150	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1306	1	6	33	1	300	30	item160000110102,1;item1006,60	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName6	item90000000067,1;item90000000068,1;item103015110409,1;item90000000106,1;item90000000105,1;item1000,1;item1006,1	equip310020431999,1;item160000110102,1;item1006,60	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
1307	1	7	33	1	300	30	item160000210102,1;item1006,60	box_20001_002	box_20001_002_1	120	3	5	TeamSecretName7	item90000000067,1;item90000000068,1;item103015110409,1;item90000000106,1;item90000000105,1;item1000,1;item1006,1	item160000210102,1;item1006,60	0	UI_LevelDescription1	0	20001/Background001	20001/Chilun001/chilun_001;20001/Chilun001/chilun_002;20001/Chilun001/chilun_002_01;20001/Chilun001/chilun_002_02;20001/Chilun001/chilun_002_03;20001/Chilun001/chilun_003;20001/Chilun001/chilun_003_01;20001/Chilun001/chilun_003_02;20001/Chilun001/chilun_003_03;20001/Chilun001/chilun_jixie_002;20001/Chilun001/JXPT_chilun_005_1	20001/Chilun001/JXPT_chilun_004;20001/Chilun001/JXPT_chilun_005;20001/Chilun001/chilun_jixie_001_01	20001/Chilun001/chilun_001	20001/20001_tielian/20001_tielian;20001/20001_tielian_01/20001_tielian_01
