ID	挖宝道具库	奖励ID	格子图片	特效id
int	int	int	string	int
Id	RareRewardDropbox	RewardId	CellPic	Effect
1	1001	1	jb_a3_cube_up	13100005
2	1001	2	jb_a3_cube_up	13100005
3	1001	3	jb_a3_cube_up	13100005
4	1002	4	jb_a3_cube_up	13100005
5	1002	5	jb_a3_cube_up	13100005
6	1002	6	jb_a3_cube_up	13100005
7	1003	7	jb_a3_cube_up	13100005
8	1003	8	jb_a3_cube_up	13100005
9	1003	9	jb_a3_cube_down	13100005
10	1004	10	jb_a3_cube_up	13100005
11	1004	11	jb_a3_cube_up	13100005
12	1004	12	jb_a3_cube_up	13100005
13	1005	13	jb_a3_cube_up	13100005
14	1005	14	jb_a3_cube_up	13100005
15	1005	15	jb_a3_cube_up	13100005
16	1006	16	jb_a3_cube_up	13100005
17	1006	17	jb_a3_cube_up	13100005
18	1006	18	jb_a3_cube_up	13100005
19	1007	19	jb_a3_cube_up	13100005
20	1007	20	jb_a3_cube_up	13100005
21	1007	21	jb_a3_cube_up	13100005
22	1008	22	jb_a3_cube_up	13100005
23	1008	23	jb_a3_cube_up	13100005
24	1008	24	jb_a3_cube_up	13100005
25	1009	25	jb_a3_cube_up	13100005
26	1009	26	jb_a3_cube_up	13100005
27	1009	27	jb_a3_cube_up	13100005
28	1010	28	jb_a3_cube_up	13100005
29	1010	29	jb_a3_cube_down	13100005
30	1010	30	jb_a3_cube_down	13100005
31	1011	31	jb_a3_cube_up	13100005
32	1011	32	jb_a3_cube_up	13100005
33	1011	33	jb_a3_cube_up	13100005
34	1012	34	jb_a3_cube_up	13100005
35	1012	35	jb_a3_cube_up	13100005
36	1012	36	jb_a3_cube_up	13100005
37	1013	37	jb_a3_cube_up	13100005
38	1013	38	jb_a3_cube_up	13100005
39	1013	39	jb_a3_cube_up	13100005
40	1014	40	jb_a3_cube_up	13100005
41	1014	41	jb_a3_cube_up	13100005
42	1014	42	jb_a3_cube_up	13100005
43	2001	43	jb_a3_cube_up	13100005
44	2001	44	jb_a3_cube_up	13100005
45	2001	45	jb_a3_cube_up	13100005
46	2002	46	jb_a3_cube_up	13100005
47	2002	47	jb_a3_cube_up	13100005
48	2002	48	jb_a3_cube_up	13100005
49	2003	49	jb_a3_cube_up	13100005
50	2003	50	jb_a3_cube_up	13100005
51	2003	51	jb_a3_cube_up	13100005
52	2004	52	jb_a3_cube_up	13100005
53	2004	53	jb_a3_cube_up	13100005
54	2004	54	jb_a3_cube_up	13100005
55	2005	55	jb_a3_cube_down	13100005
56	2005	56	jb_a3_cube_down	13100005
57	2005	57	jb_a3_cube_down	13100005
58	2006	58	jb_a3_cube_up	13100005
59	2006	59	jb_a3_cube_up	13100005
60	2006	60	jb_a3_cube_up	13100005
61	2007	61	jb_a3_cube_up	13100005
62	2007	62	jb_a3_cube_up	13100005
63	2007	63	jb_a3_cube_up	13100005
64	2008	64	jb_a3_cube_down	13100005
65	2008	65	jb_a3_cube_down	13100005
66	2008	66	jb_a3_cube_down	13100005
67	2009	67	jb_a3_cube_up	13100005
68	2009	68	jb_a3_cube_up	13100005
69	2009	69	jb_a3_cube_up	13100005
70	2010	70	jb_a3_cube_down	13100005
71	2010	71	jb_a3_cube_down	13100005
72	2010	72	jb_a3_cube_down	13100005
73	2011	73	jb_a3_cube_up	13100005
74	2011	74	jb_a3_cube_up	13100005
75	2011	75	jb_a3_cube_up	13100005
76	2012	76	jb_a3_cube_down	13100005
77	2012	77	jb_a3_cube_down	13100005
78	2012	78	jb_a3_cube_down	13100005
79	2013	79	jb_a3_cube_up	13100005
80	2014	80	jb_a3_cube_up	13100005
81	2014	81	jb_a3_cube_up	13100005
82	2014	82	jb_a3_cube_up	13100005
83	3001	83	jb_a3_cube_up	13100005
84	3001	84	jb_a3_cube_up	13100005
85	3001	85	jb_a3_cube_up	13100005
86	3002	86	jb_a3_cube_up	13100005
87	3002	87	jb_a3_cube_up	13100005
88	3002	88	jb_a3_cube_down	13100005
89	3003	89	jb_a3_cube_down	13100005
90	3004	90	jb_a3_cube_up	13100005
91	3005	91	jb_a3_cube_down	13100005
92	3006	92	jb_a3_cube_up	13100005
93	3007	93	jb_a3_cube_down	13100005
94	3008	94	jb_a3_cube_up	13100005
95	3009	95	jb_a3_cube_up	13100005
96	3009	96	jb_a3_cube_up	13100005
97	3009	97	jb_a3_cube_up	13100005
98	3010	98	jb_a3_cube_up	13100005
99	3011	99	jb_a3_cube_up	13100005
100	3012	100	jb_a3_cube_up	13100005
101	3013	101	jb_a3_cube_up	13100005
102	3014	102	jb_a3_cube_down	13100005
