流水	奖励类型	排名最小区间	排名最大区间	奖励	最小上榜积分
int	int	int	int	string	int
Id	Type	RankMin	RankMax	Reward	LimitPoints
1	1	1	1	item171003000003,300;item171002010002,30;item91000001224,1	0
2	1	2	2	item171003000003,200;item171002010002,25;item91000001224,1	0
3	1	3	3	item171003000003,100;item171002010002,20;item91000001224,1	0
4	1	4	4	item171003000003,50;item171002010002,15;item91000001224,1	0
5	1	5	5	item171003000003,35;item171002010002,8;item91000001224,1	0
6	1	6	10	item171003000003,30;item171002010002,5;item91000001224,1	0
7	1	11	20	item171003000003,25;item171002010001,8	0
8	1	21	40	item171003000003,20;item171002010001,5	0
9	1	41	100	item171003000003,10;item171002010001,3	0
10	2	1	1	item141000002101,1;item91000001151,1;item8119100000002,4	0
11	2	2	2	item91000001151,1;item109000000001,15;item8119100000002,2	0
12	2	3	3	item171002010002,10;item109000000001,10;item8119100000002,1	0
13	2	4	10	item171002010002,5;item109000000001,5;item8119100000002,1	0
14	2	11	20	item171002010001,10;item109000000001,3;item8119100000001,2	0
15	2	21	50	item171002010001,5;item109000000001,1;item8119100000001,1	0
