遗物ID	对应道具	是否解锁展示	解锁展示语言包	重复获得折算碎片数量
int	string	int	string	string
RelicId	ItemId	IsShow	Slogan	RepeatedFragment
2001	item173000002001	0	RelicSlogan2001	item174000002001,10
2002	item173000002002	0	RelicSlogan2002	item174000002002,10
2003	item173000002003	0	RelicSlogan2003	item174000002003,10
2004	item173000002004	0	RelicSlogan2004	item174000002004,10
2005	item173000002005	0	RelicSlogan2005	item174000002005,10
2006	item173000002006	0	RelicSlogan2006	item174000002006,10
2007	item173000002007	0	RelicSlogan2007	item174000002007,10
2008	item173000002008	0	RelicSlogan2008	item174000002008,10
2009	item173000002009	0	RelicSlogan2009	item174000002009,10
2010	item173000002010	0	RelicSlogan2010	item174000002010,10
2011	item173000002011	0	RelicSlogan2011	item174000002011,10
2012	item173000002012	0	RelicSlogan2012	item174000002012,10
3001	item173000003001	1	RelicSlogan3001	item174000003001,10
3002	item173000003002	1	RelicSlogan3002	item174000003002,10
3003	item173000003003	1	RelicSlogan3003	item174000003003,10
3004	item173000003004	1	RelicSlogan3004	item174000003004,10
3005	item173000003005	1	RelicSlogan3005	item174000003005,10
3006	item173000003006	1	RelicSlogan3006	item174000003006,10
3007	item173000003007	1	RelicSlogan3007	item174000003007,10
3008	item173000003008	1	RelicSlogan3008	item174000003008,10
3009	item173000003009	1	RelicSlogan3009	item174000003009,10
3010	item173000003010	1	RelicSlogan3010	item174000003010,10
3011	item173000003011	1	RelicSlogan3011	item174000003011,10
3012	item173000003012	1	RelicSlogan3012	item174000003012,10
3013	item173000003013	1	RelicSlogan3013	item174000003013,10
3014	item173000003014	1	RelicSlogan3014	item174000003014,10
3015	item173000003015	1	RelicSlogan3015	item174000003015,10
3016	item173000003016	1	RelicSlogan3016	item174000003016,10
3017	item173000003017	1	RelicSlogan3017	item174000003017,10
4001	item173000004001	1	RelicSlogan4001	item174000004001,10
4002	item173000004002	1	RelicSlogan4002	item174000004002,10
4003	item173000004003	1	RelicSlogan4003	item174000004003,10
4004	item173000004004	1	RelicSlogan4004	item174000004004,10
4005	item173000004005	1	RelicSlogan4005	item174000004005,10
4006	item173000004006	1	RelicSlogan4006	item174000004006,10
4007	item173000004007	1	RelicSlogan4007	item174000004007,10
4008	item173000004008	1	RelicSlogan4008	item174000004008,10
4009	item173000004009	1	RelicSlogan4009	item174000004009,10
4010	item173000004010	1	RelicSlogan4010	item174000004010,10
4011	item173000004011	1	RelicSlogan4011	item174000004011,10
4012	item173000004012	1	RelicSlogan4012	item174000004012,10
4013	item173000004013	1	RelicSlogan4013	item174000004013,10
4014	item173000004014	1	RelicSlogan4014	item174000004014,10
4015	item173000004015	1	RelicSlogan4015	item174000004015,10
4016	item173000004016	1	RelicSlogan4016	item174000004016,10
4017	item173000004017	1	RelicSlogan4017	item174000004017,10
4018	item173000004018	1	RelicSlogan4018	item174000004018,10
4019	item173000004019	1	RelicSlogan4019	item174000004019,10
4020	item173000004020	1	RelicSlogan4020	item174000004020,10
5001	item173000005001	1	RelicSlogan5001	item174000005001,10
5002	item173000005002	1	RelicSlogan5002	item174000005002,10
5003	item173000005003	1	RelicSlogan5003	item174000005003,10
5004	item173000005004	1	RelicSlogan5004	item174000005004,10
5005	item173000005005	1	RelicSlogan5005	item174000005005,10
5006	item173000005006	1	RelicSlogan5006	item174000005006,10
5007	item173000005007	1	RelicSlogan5007	item174000005007,10
5008	item173000005008	1	RelicSlogan5008	item174000005008,10
5009	item173000005009	1	RelicSlogan5009	item174000005009,10
5010	item173000005010	1	RelicSlogan5010	item174000005010,10
5011	item173000005011	1	RelicSlogan5011	item174000005011,10
5012	item173000005012	1	RelicSlogan5012	item174000005012,10
5013	item173000005013	1	RelicSlogan5013	item174000005013,10
5014	item173000005014	1	RelicSlogan5014	item174000005014,10
5015	item173000005015	1	RelicSlogan5015	item174000005015,10
5016	item173000005016	1	RelicSlogan5016	item174000005016,10
5017	item173000005017	1	RelicSlogan5017	item174000005017,10
5018	item173000005018	1	RelicSlogan5018	item174000005018,10
5019	item173000005019	1	RelicSlogan5019	item174000005019,10
5020	item173000005020	1	RelicSlogan5020	item174000005020,10
5021	item173000005021	1	RelicSlogan5021	item174000005021,10
5022	item173000005022	1	RelicSlogan5022	item174000005022,10
5023	item173000005023	1	RelicSlogan5023	item174000005023,10
5024	item173000005024	1	RelicSlogan5024	item174000005024,10
5025	item173000005025	1	RelicSlogan5025	item174000005025,10
5026	item173000005026	1	RelicSlogan5026	item174000005026,10
5027	item173000005027	1	RelicSlogan5027	item174000005027,10
5028	item173000005028	1	RelicSlogan5028	item174000005028,10
5029	item173000005029	1	RelicSlogan5029	item174000005029,10
5030	item173000005030	1	RelicSlogan5030	item174000005030,10
5031	item173000005031	1	RelicSlogan5031	item174000005031,10
5032	item173000005032	1	RelicSlogan5032	item174000005032,10
5033	item173000005033	1	RelicSlogan5033	item174000005033,10
5034	item173000005034	1	RelicSlogan5034	item174000005034,10
5035	item173000005035	1	RelicSlogan5035	item174000005035,10
5036	item173000005036	1	RelicSlogan5036	item174000005036,10
5037	item173000005037	1	RelicSlogan5037	item174000005037,10
5038	item173000005038	1	RelicSlogan5038	item174000005038,10
5039	item173000005039	1	RelicSlogan5039	item174000005039,10
5040	item173000005040	1	RelicSlogan5040	item174000005040,10
