材料	栏位数量	固定合成结果	随机合成结果展示	消耗货币
string	int	string	string	string
FormulaId	Num	ItemId	RandomItemId	CurrencyCost
item101040101101	3	item101040101102	item101040101151	1,200000
item101040101102	5	item101040101103	item101040101152	1,1000000
item101040101104	3	item101040101105	item101040101151	1,200000
item101040101105	5	item101040101106	item101040101152	1,1000000
item101040101107	3	item101040101108	item101040101151	1,200000
item101040101108	5	item101040101109	item101040101152	1,1000000
item101040101110	3	item101040101111	item101040101151	1,200000
item101040101111	5	item101040101112	item101040101152	1,1000000
item101040101113	3	item101040101114	item101040101151	1,200000
item101040101114	5	item101040101115	item101040101152	1,1000000
