流水	属性库	属性品质	属性Id	属性下限	属性上限	属性间隔	权重
int	int	int	int	int	int	string	int
Id	PropDropBox	Rare	PropId	PropMin	PropMax	Interval	Probability
1	11001	1	5	10	30	1	10
2	11001	1	2	10	30	1	10
3	11002	2	5	40	60	1	10
4	11002	2	2	40	60	1	10
5	11002	2	66	100	100	50	10
6	11002	2	67	100	100	50	10
7	11002	2	75	100	100	50	10
8	11002	2	79	100	100	50	10
9	21002	2	69	100	100	50	10
10	21002	2	70	100	100	50	10
11	21002	2	76	100	100	50	10
12	21002	2	80	100	100	50	10
13	21002	2	84	100	100	50	10
14	21002	2	153	100	100	50	10
15	31002	2	5	40	60	1	10
16	31002	2	2	40	60	1	10
17	31002	2	150	100	100	50	10
18	31002	2	149	100	100	50	10
19	31002	2	154	100	100	50	10
20	31002	2	153	100	100	50	10
21	11003	2	5	40	60	1	150
22	11003	2	2	40	60	1	150
23	11003	2	66	100	100	50	100
24	11003	2	67	100	100	50	100
25	11003	2	75	100	100	50	100
26	11003	2	79	100	100	50	100
27	11003	2	83	100	100	50	100
28	11003	3	66	150	200	50	40
29	11003	3	67	150	200	50	40
30	11003	3	75	150	200	50	40
31	11003	3	79	150	200	50	40
32	11003	3	83	150	200	50	40
33	21003	2	5	40	60	1	150
34	21003	2	2	40	60	1	150
35	21003	2	69	100	100	50	100
36	21003	2	70	100	100	50	100
37	21003	2	76	100	100	50	100
38	21003	2	80	100	100	50	100
39	21003	2	84	100	100	50	100
40	21003	3	69	150	200	50	40
41	21003	3	70	150	200	50	40
42	21003	3	76	150	200	50	40
43	21003	3	80	150	200	50	40
44	21003	3	84	150	200	50	40
45	31003	2	5	40	60	1	200
46	31003	2	2	40	60	1	200
47	31003	2	150	100	100	50	100
48	31003	2	149	100	100	50	100
49	31003	2	154	100	100	50	100
50	31003	2	153	100	100	50	100
51	31003	3	150	150	200	50	50
52	31003	3	149	150	200	50	50
53	31003	3	154	150	200	50	50
54	31003	3	153	150	200	50	50
55	11004	2	5	40	60	1	150
56	11004	2	2	40	60	1	150
57	11004	2	66	100	100	50	100
58	11004	2	67	100	100	50	100
59	11004	2	75	100	100	50	100
60	11004	2	79	100	100	50	100
61	11004	2	83	100	100	50	100
62	11004	3	66	150	200	50	40
63	11004	3	67	150	200	50	40
64	11004	3	75	150	200	50	40
65	11004	3	79	150	200	50	40
66	11004	3	83	150	200	50	40
67	21004	2	5	40	60	1	150
68	21004	2	2	40	60	1	150
69	21004	2	69	100	100	50	100
70	21004	2	70	100	100	50	100
