流水id	类型	属性类型	道具ID	经验/属性增加值
int	int	int	string	int
Id	type	AttributeType	Item	Exp
1	1	0	item127000063001	10
2	1	0	item127000063002	50
3	1	0	item127000063003	100
4	2	0	item127000063000	10
5	3	1	item127000063008	10000
6	3	3	item127000063013	1000
7	3	4	item127000063010	1000
8	3	30	item127000063012	2500
9	3	31	item127000063011	2500
10	3	32	item127000063007	2500
11	3	33	item127000063005	2500
12	3	34	item127000063006	2500
13	3	35	item127000063009	2500
14	4	1	item127000063014	500
15	4	2	item127000063015	500
16	4	3	item127000063016	500
17	4	4	item127000063017	500
18	4	5	item127000063018	500
19	4	6	item127000063019	500
