效果id	职业	组id	功能ID	效果类型	技能品质	名称	ICON	效果描述	持续生效事件格数	初始等级	属性参数	效果参数	buff初始层数	buff失效后是否删除	解锁类型	解锁参数	解锁描述	是否在祝福加持展示	技能回收	商店中技能回收	buff叠加参数	buff叠加显示用状态
int	int	int	int	int	int	string	string	string	int	int	string	string	int	int	int	string	string	int	int	int	string	string
ID	Job	GroupId	FuncId	Type	Level	Name	Icon	EffectDes	KeepTime	BaseLevel	Prop	EffectParam	BuffLayer	BuffDelete	LockType	LockParam	LockDes	Show	SkillRecovery1	SkillRecovery2	BuffSuperposition	BuffState
101	0	101	37	1	5	SkillNameskill61601	skill_61591	SkillDesskill61601	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61591	0	0	0			0	125	125		
102	0	102	37	1	5	SkillNameskill61581	skill_61581	SkillDesskill61581	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61581	0	0	0			0	125	125		
103	0	103	37	1	5	SkillNameskill61571	skill_61571	SkillDesskill61571	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61571	0	0	0			0	125	125		
104	0	104	37	1	5	SkillNameskill61521	skill_61521	SkillDesskill61521	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61521	0	0	0			0	125	125		
105	0	105	37	1	5	SkillNameskill61511	skill_61511	SkillDesskill61511	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61511	0	0	0			0	125	125		
106	0	106	37	1	5	SkillNameskill61501	skill_61501	SkillDesskill61501	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61501	0	0	0			0	125	125		
107	0	107	37	1	5	SkillNameskill61491	skill_61491	SkillDesskill61491	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61491	0	0	0			0	125	125		
108	0	108	37	1	5	SkillNameskill61451	skill_61451	SkillDesskill61451	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61451	0	0	0			0	125	125		
109	0	109	37	1	5	SkillNameskill61441	skill_61441	SkillDesskill61441	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61441	0	0	0			0	125	125		
110	0	110	37	1	5	SkillNameskill61421	skill_61421	SkillDesskill61421	-1	1	11,250;12,250;13,250;32,1000;34,1000	skill61421	0	0	0			0	125	125		
