道具ID	开启奖励数量	开启获得道具
string	int	string
ItemId	MaxNum	Reward
item100000000034	1	hero101:equip301020433001,1;equip302020433001,1;equip303020433001,1;equip304020433001,1;equip305020433001,1;equip306020433001,1|hero102:equip301020433002,1;equip302020433002,1;equip303020433002,1;equip304020433002,1;equip305020433002,1;equip306020433002,1|hero103:equip301020433003,1;equip302020433003,1;equip303020433003,1;equip304020433003,1;equip305020433003,1;equip306020433003,1|hero104:equip301020433004,1;equip302020433004,1;equip303020433004,1;equip304020433004,1;equip305020433004,1;equip306020433004,1|hero105:equip301020433005,1;equip302020433005,1;equip303020433005,1;equip304020433005,1;equip305020433005,1;equip306020433005,1|hero106:equip301020433006,1;equip302020433006,1;equip303020433006,1;equip304020433006,1;equip305020433006,1;equip306020433006,1|hero107:equip301020433003,1;equip302020433003,1;equip303020433003,1;equip304020433003,1;equip305020433003,1;equip306020433003,1|hero108:equip301020433004,1;equip302020433004,1;equip303020433004,1;equip304020433004,1;equip305020433004,1;equip306020433004,1
item100000000035	1	hero101:equip301030433001,1;equip302030433001,1;equip303030433001,1;equip304030433001,1;equip305030433001,1;equip306030433001,1|hero102:equip301030433002,1;equip302030433002,1;equip303030433002,1;equip304030433002,1;equip305030433002,1;equip306030433002,1|hero103:equip301030433003,1;equip302030433003,1;equip303030433003,1;equip304030433003,1;equip305030433003,1;equip306030433003,1|hero104:equip301030433004,1;equip302030433004,1;equip303030433004,1;equip304030433004,1;equip305030433004,1;equip306030433004,1|hero105:equip301030433005,1;equip302030433005,1;equip303030433005,1;equip304030433005,1;equip305030433005,1;equip306030433005,1|hero106:equip301030433006,1;equip302030433006,1;equip303030433006,1;equip304030433006,1;equip305030433006,1;equip306030433006,1|hero107:equip301030433003,1;equip302030433003,1;equip303030433003,1;equip304030433003,1;equip305030433003,1;equip306030433003,1|hero108:equip301030433004,1;equip302030433004,1;equip303030433004,1;equip304030433004,1;equip305030433004,1;equip306030433004,1
item100000000136	1	hero101:equip301040433001,1;equip302040433001,1;equip303040433001,1;equip304040433001,1;equip305040433001,1;equip306040433001,1|hero102:equip301040433002,1;equip302040433002,1;equip303040433002,1;equip304040433002,1;equip305040433002,1;equip306040433002,1|hero103:equip301040433003,1;equip302040433003,1;equip303040433003,1;equip304040433003,1;equip305040433003,1;equip306040433003,1|hero104:equip301040433004,1;equip302040433004,1;equip303040433004,1;equip304040433004,1;equip305040433004,1;equip306040433004,1|hero105:equip301040433005,1;equip302040433005,1;equip303040433005,1;equip304040433005,1;equip305040433005,1;equip306040433005,1|hero106:equip301040433006,1;equip302040433006,1;equip303040433006,1;equip304040433006,1;equip305040433006,1;equip306040433006,1|hero107:equip301040433003,1;equip302040433003,1;equip303040433003,1;equip304040433003,1;equip305040433003,1;equip306040433003,1|hero108:equip301040433004,1;equip302040433004,1;equip303040433004,1;equip304040433004,1;equip305040433004,1;equip306040433004,1
item100000000054	1	item119100000004,1;item119100000005,1;item119100000006,1
item101200040005	1	item101200040003,1;item101200040004,1
item144600000001	1	item144400000001,10;item144400000002,3;item144400000003,2;item144400000004,10;item144400000005,5;item144400000006,2;item144400000007,1;item1016,1000
item144600000002	1	item144400000001,100;item144400000002,35;item144400000003,20;item144400000004,100;item144400000005,50;item144400000006,20;item144400000007,12;item144400000008,5;item144400000009,2;item144400000010,1;item144400000011,1;item1016,10000
item175100000001	1	item175000140005,1;item175000240005,1
