流水	印记id	随机属性条数	属性条数权重	属性库	消耗货币	锁定数量	消耗道具
int	string	int	int	int	string	int	string
Id	ImprintId	PropNum	PropRate	DropBox	UseMoney	LockNum	UseItem
1	item127000065103	1	7000	10001	1,50000	0	item127000065132,1
2	item127000065103	2	3000	10001	1,50000	1	item127000065132,2
3	item127000065104	1	7000	10001	1,50000	0	item127000065132,1
4	item127000065104	2	3000	10001	1,50000	1	item127000065132,2
5	item127000065105	1	7000	10001	1,50000	0	item127000065132,1
6	item127000065105	2	3000	10001	1,50000	1	item127000065132,2
7	item127000065106	1	7000	10001	1,50000	0	item127000065132,1
8	item127000065106	2	3000	10001	1,50000	1	item127000065132,2
9	item127000065107	1	7000	10001	1,50000	0	item127000065132,1
10	item127000065107	2	3000	10001	1,50000	1	item127000065132,2
11	item127000065108	1	7000	10001	1,50000	0	item127000065132,1
12	item127000065108	2	3000	10001	1,50000	1	item127000065132,2
13	item127000065109	1	7000	10001	1,50000	0	item127000065132,1
14	item127000065109	2	3000	10001	1,50000	1	item127000065132,2
15	item127000065110	1	7000	10001	1,50000	0	item127000065132,1
16	item127000065110	2	3000	10001	1,50000	1	item127000065132,2
17	item127000065111	1	5000	10002	1,100000	0	item127000065132,2
18	item127000065111	2	3000	10002	1,100000	1	item127000065132,4
19	item127000065111	3	2000	10002	1,100000	2	item127000065132,6
20	item127000065112	1	5000	10002	1,100000	0	item127000065132,2
21	item127000065112	2	3000	10002	1,100000	1	item127000065132,4
22	item127000065112	3	2000	10002	1,100000	2	item127000065132,6
23	item127000065113	1	5000	10002	1,100000	0	item127000065132,2
24	item127000065113	2	3000	10002	1,100000	1	item127000065132,4
25	item127000065113	3	2000	10002	1,100000	2	item127000065132,6
26	item127000065114	1	5000	10002	1,100000	0	item127000065132,2
27	item127000065114	2	3000	10002	1,100000	1	item127000065132,4
28	item127000065114	3	2000	10002	1,100000	2	item127000065132,6
29	item127000065115	1	5000	10002	1,100000	0	item127000065132,2
30	item127000065115	2	3000	10002	1,100000	1	item127000065132,4
31	item127000065115	3	2000	10002	1,100000	2	item127000065132,6
32	item127000065116	1	5000	10002	1,100000	0	item127000065132,2
33	item127000065116	2	3000	10002	1,100000	1	item127000065132,4
34	item127000065116	3	2000	10002	1,100000	2	item127000065132,6
35	item127000065117	1	5000	10002	1,100000	0	item127000065132,2
36	item127000065117	2	3000	10002	1,100000	1	item127000065132,4
37	item127000065117	3	2000	10002	1,100000	2	item127000065132,6
38	item127000065118	1	5000	10002	1,100000	0	item127000065132,2
39	item127000065118	2	3000	10002	1,100000	1	item127000065132,4
40	item127000065118	3	2000	10002	1,100000	2	item127000065132,6
