流水id	元素灵ID	元素灵等级	人物等级	元素灵主动等级	元素灵被动等级	到当前级属性加成	升下一级所需经验
int	string	int	int	int	int	string	int
Id	ElementalId	ElementalLevel	LimitLevel	ElementalSkillLevel	ElementalPassiveLevel	ElementalProp	Exp
1	elemental_npc_3001	1	80	1	1		600
2	elemental_npc_3001	2	80	1	1	279,100000;281,10000;285,10000	720
3	elemental_npc_3001	3	80	1	1	279,100000;281,10000;285,10000	840
4	elemental_npc_3001	4	80	1	1	279,100000;281,10000;285,10000	960
5	elemental_npc_3001	5	80	1	1	279,100000;281,10000;285,10000	1080
6	elemental_npc_3001	6	80	1	1	279,100000;281,10000;285,10000	1200
7	elemental_npc_3001	7	80	1	1	279,100000;281,10000;285,10000	1320
8	elemental_npc_3001	8	80	1	1	279,100000;281,10000;285,10000	1440
9	elemental_npc_3001	9	80	1	1	279,100000;281,10000;285,10000	1560
10	elemental_npc_3001	10	80	1	1	279,100000;281,10000;285,10000	1680
11	elemental_npc_3001	11	80	1	1	279,100000;281,10000;285,10000	1800
12	elemental_npc_3001	12	80	1	1	279,100000;281,10000;285,10000	1920
13	elemental_npc_3001	13	80	1	1	279,100000;281,10000;285,10000	2040
14	elemental_npc_3001	14	80	1	1	279,100000;281,10000;285,10000	2160
15	elemental_npc_3001	15	80	1	1	279,100000;281,10000;285,10000	2280
16	elemental_npc_3001	16	80	1	1	279,100000;281,10000;285,10000	2400
17	elemental_npc_3001	17	80	1	1	279,100000;281,10000;285,10000	2520
18	elemental_npc_3001	18	80	1	1	279,100000;281,10000;285,10000	2640
19	elemental_npc_3001	19	80	1	1	279,100000;281,10000;285,10000	2760
20	elemental_npc_3001	20	80	1	1	279,100000;281,10000;285,10000	2880
21	elemental_npc_3001	21	80	1	1	279,100000;281,10000;285,10000	3000
22	elemental_npc_3001	22	80	1	1	279,100000;281,10000;285,10000	3120
23	elemental_npc_3001	23	80	1	1	279,100000;281,10000;285,10000	3240
24	elemental_npc_3001	24	80	1	1	279,100000;281,10000;285,10000	3360
25	elemental_npc_3001	25	80	1	1	279,100000;281,10000;285,10000	3480
26	elemental_npc_3001	26	80	1	1	279,100000;281,10000;285,10000	3600
27	elemental_npc_3001	27	80	1	1	279,100000;281,10000;285,10000	3720
28	elemental_npc_3001	28	80	1	1	279,100000;281,10000;285,10000	3840
29	elemental_npc_3001	29	80	1	1	279,100000;281,10000;285,10000	3960
30	elemental_npc_3001	30	80	1	1	279,100000;281,10000;285,10000	4080
31	elemental_npc_3001	31	80	2	2	279,100000;281,10000;285,10000	4200
32	elemental_npc_3001	32	80	2	2	279,100000;281,10000;285,10000	4320
33	elemental_npc_3001	33	80	2	2	279,100000;281,10000;285,10000	4440
34	elemental_npc_3001	34	80	2	2	279,100000;281,10000;285,10000	4560
35	elemental_npc_3001	35	80	2	2	279,100000;281,10000;285,10000	4680
36	elemental_npc_3001	36	80	2	2	279,100000;281,10000;285,10000	4800
37	elemental_npc_3001	37	80	2	2	279,100000;281,10000;285,10000	4920
38	elemental_npc_3001	38	80	2	2	279,100000;281,10000;285,10000	5040
39	elemental_npc_3001	39	80	2	2	279,100000;281,10000;285,10000	5160
40	elemental_npc_3001	40	80	2	2	279,100000;281,10000;285,10000	5280
41	elemental_npc_3001	41	80	3	3	279,100000;281,10000;285,10000	5400
42	elemental_npc_3001	42	80	3	3	279,100000;281,10000;285,10000	5520
43	elemental_npc_3001	43	80	3	3	279,100000;281,10000;285,10000	5640
44	elemental_npc_3001	44	80	3	3	279,100000;281,10000;285,10000	5760
45	elemental_npc_3001	45	80	3	3	279,100000;281,10000;285,10000	5880
