流水	共鸣属性id	是否显示	显示下限	显示上限	共鸣属性品质	属性1ID	属性下限	属性上限
int	int	int	int	int	int	int	int	int
Id	ResonatePropId	IfVisable	ShowPropMin	ShowPropMax	ResonatePropRare	PropId	PropMin	PropMax
1	10001	0	0	0	1	3	3	6
2	10002	0	0	0	2	3	7	12
3	10003	0	0	0	1	4	3	6
4	10004	0	0	0	2	4	7	12
5	10005	0	0	0	1	1	30	60
6	10006	0	0	0	2	1	70	120
7	10007	0	0	0	1	3	3	6
8	10008	0	0	0	2	3	7	12
9	10009	0	0	0	1	4	3	6
10	10010	0	0	0	2	4	7	12
11	10011	0	0	0	1	1	30	60
12	10012	0	0	0	2	1	70	120
13	10013	0	0	0	2	3	7	12
14	10014	0	0	0	3	3	13	18
15	10015	0	0	0	3	21	43	60
16	10016	0	0	0	3	23	43	60
17	10017	0	0	0	3	25	43	60
18	10018	0	0	0	2	4	7	12
19	10019	0	0	0	3	4	13	18
20	10020	0	0	0	3	22	43	60
21	10021	0	0	0	3	24	43	60
22	10022	0	0	0	3	26	43	60
23	10023	0	0	0	2	1	70	120
24	10024	0	0	0	3	1	130	180
25	10025	0	0	0	3	22	43	60
26	10026	0	0	0	3	24	43	60
27	10027	0	0	0	3	26	43	60
28	10028	0	0	0	1	3	6	9
29	10029	0	0	0	2	3	10	15
30	10030	0	0	0	1	4	6	9
31	10031	0	0	0	2	4	10	15
32	10032	0	0	0	1	1	60	90
33	10033	0	0	0	2	1	100	150
34	10034	0	0	0	2	3	10	15
35	10035	0	0	0	3	3	16	21
36	10036	0	0	0	3	21	53	70
37	10037	0	0	0	3	23	53	70
38	10038	0	0	0	3	25	53	70
39	10039	0	0	0	2	4	10	15
40	10040	0	0	0	3	4	16	21
41	10041	0	0	0	3	22	53	70
42	10042	0	0	0	3	24	53	70
43	10043	0	0	0	3	26	53	70
44	10044	0	0	0	2	1	100	150
45	10045	0	0	0	3	1	160	210
46	10046	0	0	0	3	22	53	70
47	10047	0	0	0	3	24	53	70
48	10048	0	0	0	3	26	53	70
49	10049	0	0	0	3	3	16	21
50	10050	0	0	0	3	4	16	21
51	10051	0	0	0	3	1	160	210
52	10052	0	0	0	4	12	50	100
53	10052	0	0	0	4	3	16	21
54	10053	0	0	0	4	30	50	100
55	10053	0	0	0	4	3	16	21
56	10054	0	0	0	4	51	50	100
57	10054	0	0	0	4	3	16	21
58	10055	0	0	0	4	34	50	100
59	10055	0	0	0	4	1	160	210
60	10056	0	0	0	4	52	50	100
61	10056	0	0	0	4	3	16	21
62	10057	0	0	0	4	33	50	100
63	10057	0	0	0	4	1	160	210
64	10058	0	0	0	4	13	50	100
65	10058	0	0	0	4	4	16	21
66	10059	0	0	0	4	132	50	100
67	10059	0	0	0	4	1	160	210
68	10060	0	0	0	4	11	50	100
69	10060	0	0	0	4	3	16	21
70	10061	0	0	0	4	153	50	100
71	10061	0	0	0	4	3	16	21
72	10062	0	0	0	4	131	50	100
73	10062	0	0	0	4	1	160	210
74	10063	0	0	0	4	105	50	100
75	10063	0	0	0	4	4	16	21
76	10064	0	0	0	1	3	6	12
77	10065	0	0	0	2	3	13	21
78	10066	0	0	0	1	4	6	12
79	10067	0	0	0	2	4	13	21
80	10068	0	0	0	1	1	60	120
81	10069	0	0	0	2	1	130	210
82	10070	0	0	0	2	3	13	21
83	10071	0	0	0	3	3	22	27
84	10072	0	0	0	3	21	73	90
85	10073	0	0	0	3	23	73	90
86	10074	0	0	0	3	25	73	90
87	10075	0	0	0	2	4	13	21
88	10076	0	0	0	3	4	22	27
89	10077	0	0	0	3	22	73	90
90	10078	0	0	0	3	24	73	90
91	10079	0	0	0	3	26	73	90
92	10080	0	0	0	2	1	130	210
93	10081	0	0	0	3	1	220	270
94	10082	0	0	0	3	22	73	90
95	10083	0	0	0	3	24	73	90
96	10084	0	0	0	3	26	73	90
97	10085	0	0	0	3	3	22	27
98	10086	0	0	0	3	4	22	27
99	10087	0	0	0	3	1	220	270
100	10088	0	0	0	4	32	50	100
101	10088	0	0	0	4	3	22	27
102	10089	0	0	0	4	173	100	200
103	10089	0	0	0	4	3	22	27
104	10090	0	0	0	4	51	50	100
105	10090	0	0	0	4	4	22	27
106	10091	0	0	0	4	156	50	100
107	10091	0	0	0	4	3	22	27
108	10092	0	0	0	4	52	50	100
109	10092	0	0	0	4	1	220	270
110	10093	0	0	0	4	154	50	100
111	10093	0	0	0	4	4	22	27
112	10094	0	0	0	4	35	50	100
113	10094	0	0	0	4	3	22	27
114	10095	0	0	0	4	34	50	100
115	10095	0	0	0	4	1	220	270
116	10096	0	0	0	4	31	50	100
117	10096	0	0	0	4	4	22	27
118	10097	0	0	0	1	3	6	15
119	10098	0	0	0	2	3	16	27
120	10099	0	0	0	1	4	6	15
121	10100	0	0	0	2	4	16	27
122	10101	0	0	0	1	1	60	150
123	10102	0	0	0	2	1	160	270
124	10103	0	0	0	2	3	16	27
125	10104	0	0	0	3	3	28	33
126	10105	0	0	0	3	21	93	110
127	10106	0	0	0	3	23	93	110
128	10107	0	0	0	3	25	93	110
129	10108	0	0	0	2	4	16	27
130	10109	0	0	0	3	4	28	33
131	10110	0	0	0	3	22	93	110
132	10111	0	0	0	3	24	93	110
133	10112	0	0	0	3	26	93	110
134	10113	0	0	0	2	1	160	270
135	10114	0	0	0	3	1	280	330
136	10115	0	0	0	3	22	93	110
137	10116	0	0	0	3	24	93	110
138	10117	0	0	0	3	26	93	110
139	10118	0	0	0	3	3	28	33
140	10119	0	0	0	3	4	28	33
141	10120	0	0	0	3	1	280	330
142	10121	0	0	0	4	30	50	100
143	10121	0	0	0	4	3	28	33
144	10122	0	0	0	4	12	50	100
145	10122	0	0	0	4	3	28	33
146	10123	0	0	0	4	34	50	100
147	10123	0	0	0	4	1	280	330
148	10124	0	0	0	4	13	50	100
149	10124	0	0	0	4	3	28	33
150	10125	0	0	0	4	52	50	100
151	10125	0	0	0	4	1	280	330
152	10126	0	0	0	4	153	50	100
153	10126	0	0	0	4	4	28	33
154	10127	0	0	0	4	154	50	100
155	10127	0	0	0	4	3	28	33
156	10128	0	0	0	4	11	50	100
157	10128	0	0	0	4	1	280	330
158	10129	0	0	0	4	35	50	100
159	10129	0	0	0	4	4	28	33
160	10130	0	0	0	1	3	9	15
161	10131	0	0	0	2	3	16	27
162	10132	0	0	0	1	4	9	15
163	10133	0	0	0	2	4	16	27
164	10134	0	0	0	1	1	90	150
165	10135	0	0	0	2	1	160	270
166	10136	0	0	0	2	3	16	27
167	10137	0	0	0	3	3	28	33
168	10138	0	0	0	3	21	93	110
169	10139	0	0	0	3	23	93	110
170	10140	0	0	0	3	25	93	110
171	10141	0	0	0	2	4	16	27
172	10142	0	0	0	3	4	28	33
173	10143	0	0	0	3	22	93	110
174	10144	0	0	0	3	24	93	110
175	10145	0	0	0	3	26	93	110
176	10146	0	0	0	2	1	160	270
177	10147	0	0	0	3	1	280	330
178	10148	0	0	0	3	22	93	110
179	10149	0	0	0	3	24	93	110
180	10150	0	0	0	3	26	93	110
181	10151	0	0	0	3	3	28	33
182	10152	0	0	0	3	4	28	33
183	10153	0	0	0	3	1	280	330
184	10154	0	0	0	4	175	100	150
185	10154	0	0	0	4	3	28	33
186	10155	0	0	0	4	34	100	100
187	10155	0	0	0	4	4	28	33
188	10156	0	0	0	4	32	100	100
189	10156	0	0	0	4	34	100	100
190	10156	0	0	0	4	4	28	33
191	10157	0	0	0	4	156	100	100
192	10157	0	0	0	4	3	28	33
193	10158	0	0	0	4	156	100	100
194	10158	0	0	0	4	1	280	330
195	10158	0	0	0	4	3	28	33
196	10159	0	0	0	4	155	50	100
197	10159	0	0	0	4	1	280	330
198	10160	0	0	0	0	0	0	0
199	10160	0	0	0	0	0	0	0
200	10160	0	0	0	0	0	0	0
201	10161	0	0	0	4	105	100	100
202	10161	0	0	0	4	3	28	33
203	10162	0	0	0	0	0	0	0
204	10163	0	0	0	4	30	100	100
205	10163	0	0	0	4	1	280	330
206	10164	0	0	0	0	0	0	0
207	10165	0	0	0	1	3	12	18
208	10166	0	0	0	2	3	19	30
209	10167	0	0	0	1	4	12	18
210	10168	0	0	0	2	4	19	30
211	10169	0	0	0	1	1	120	180
212	10170	0	0	0	2	1	190	300
213	10171	0	0	0	2	3	19	30
214	10172	0	0	0	3	3	34	39
215	10173	0	0	0	3	21	113	130
216	10174	0	0	0	3	23	113	130
217	10175	0	0	0	3	25	113	130
218	10176	0	0	0	2	4	19	30
219	10177	0	0	0	3	4	34	39
220	10178	0	0	0	3	22	113	130
221	10179	0	0	0	3	24	113	130
222	10180	0	0	0	3	26	113	130
223	10181	0	0	0	2	1	190	300
224	10182	0	0	0	3	1	340	390
225	10183	0	0	0	3	22	113	130
226	10184	0	0	0	3	24	113	130
227	10185	0	0	0	3	26	113	130
228	10186	0	0	0	3	3	34	39
229	10187	0	0	0	3	4	34	39
230	10188	0	0	0	3	1	340	390
231	10189	0	0	0	4	131	100	200
232	10189	0	0	0	4	3	34	39
233	10190	0	0	0	0	0	0	0
234	10190	0	0	0	0	0	0	0
235	10190	0	0	0	0	0	0	0
236	10191	0	0	0	4	34	100	100
237	10191	0	0	0	4	3	34	39
238	10192	0	0	0	4	34	50	100
239	10192	0	0	0	4	51	50	100
240	10192	0	0	0	4	3	34	39
241	10193	0	0	0	4	158	250	350
242	10193	0	0	0	4	4	34	39
243	10194	0	0	0	4	173	250	350
244	10194	0	0	0	4	1	340	390
245	10195	0	0	0	4	51	100	100
246	10195	0	0	0	4	3	34	39
247	10196	0	0	0	4	51	50	100
248	10196	0	0	0	4	33	50	100
249	10196	0	0	0	4	3	34	39
250	10197	0	0	0	4	174	250	350
251	10197	0	0	0	4	4	34	39
252	10198	0	0	0	0	0	0	0
253	10199	0	0	0	1	3	15	21
254	10200	0	0	0	2	3	22	36
255	10201	0	0	0	1	4	15	21
256	10202	0	0	0	2	4	22	36
257	10203	0	0	0	1	1	150	210
258	10204	0	0	0	2	1	220	360
259	10205	0	0	0	2	3	22	36
260	10206	0	0	0	3	3	40	45
261	10207	0	0	0	3	21	133	150
262	10208	0	0	0	3	23	133	150
263	10209	0	0	0	3	25	133	150
264	10210	0	0	0	2	4	22	36
265	10211	0	0	0	3	4	40	45
266	10212	0	0	0	3	22	133	150
267	10213	0	0	0	3	24	133	150
268	10214	0	0	0	3	26	133	150
269	10215	0	0	0	2	1	220	360
270	10216	0	0	0	3	1	400	450
271	10217	0	0	0	3	22	133	150
272	10218	0	0	0	3	24	133	150
273	10219	0	0	0	3	26	133	150
274	10220	0	0	0	3	3	40	45
275	10221	0	0	0	3	4	40	45
276	10222	0	0	0	3	1	400	450
277	10223	0	0	0	4	28	100	200
278	10223	0	0	0	4	3	40	45
279	10224	1	50	100	4	11	50	50
280	10224	1	50	100	4	12	50	50
281	10224	1	50	100	4	13	50	50
282	10225	2	0	0	4	11	100	100
283	10225	2	0	0	4	12	100	100
284	10225	2	0	0	4	13	100	100
285	10226	0	0	0	4	31	150	300
286	10226	0	0	0	4	1	400	450
287	10227	0	0	0	4	0	0	0
288	10228	0	0	0	4	149	100	100
289	10228	0	0	0	4	3	28	33
290	10229	0	0	0	4	153	100	100
291	10229	0	0	0	4	3	28	33
292	10230	0	0	0	1	1	120	180
293	10231	0	0	0	2	1	190	300
294	10232	0	0	0	1	1	120	180
295	10233	0	0	0	2	1	190	300
296	10234	0	0	0	2	1	190	300
297	10235	0	0	0	3	1	340	390
298	10236	0	0	0	3	22	113	130
299	10237	0	0	0	3	24	113	130
300	10238	0	0	0	3	26	113	130
301	10239	0	0	0	3	1	340	390
302	10240	0	0	0	4	35	100	200
303	10240	0	0	0	4	1	340	390
304	10241	0	0	0	1	1	120	180
305	10242	0	0	0	2	1	190	300
306	10243	0	0	0	1	1	120	180
307	10244	0	0	0	2	1	190	300
308	10245	0	0	0	2	1	190	300
309	10246	0	0	0	3	1	340	390
310	10247	0	0	0	3	22	113	130
311	10248	0	0	0	3	24	113	130
312	10249	0	0	0	3	26	113	130
313	10250	0	0	0	3	1	340	390
314	10251	0	0	0	4	154	100	200
315	10251	0	0	0	4	1	340	390
316	10252	0	0	0	1	4	12	18
317	10253	0	0	0	2	4	19	30
318	10254	0	0	0	1	4	12	18
319	10255	0	0	0	2	4	19	30
320	10256	0	0	0	2	4	19	30
321	10257	0	0	0	3	4	34	39
322	10258	0	0	0	3	22	113	130
323	10259	0	0	0	3	24	113	130
324	10260	0	0	0	3	26	113	130
325	10261	0	0	0	3	4	34	39
326	10262	0	0	0	4	132	100	200
327	10262	0	0	0	4	4	34	39
328	10263	0	0	0	1	3	15	21
329	10264	0	0	0	2	3	22	36
330	10265	0	0	0	1	3	15	21
331	10266	0	0	0	2	3	22	36
332	10267	0	0	0	2	3	22	36
333	10268	0	0	0	3	3	40	45
334	10269	0	0	0	3	21	133	150
335	10270	0	0	0	3	23	133	150
336	10271	0	0	0	3	25	133	150
337	10272	0	0	0	3	3	40	45
338	10273	0	0	0	4	51	150	300
339	10273	0	0	0	4	3	40	45
340	10274	0	0	0	1	3	15	21
341	10275	0	0	0	2	3	22	36
342	10276	0	0	0	1	3	15	21
343	10277	0	0	0	2	3	22	36
344	10278	0	0	0	2	3	22	36
345	10279	0	0	0	3	3	40	45
346	10280	0	0	0	3	21	133	150
347	10281	0	0	0	3	23	133	150
348	10282	0	0	0	3	25	133	150
349	10283	0	0	0	3	3	40	45
350	10284	0	0	0	4	12	100	200
351	10284	0	0	0	4	3	40	45
352	10285	0	0	0	1	1	150	210
353	10286	0	0	0	2	1	220	360
354	10287	0	0	0	1	1	150	210
355	10288	0	0	0	2	1	220	360
356	10289	0	0	0	2	1	220	360
357	10290	0	0	0	3	1	400	450
358	10291	0	0	0	3	22	133	150
359	10292	0	0	0	3	24	133	150
360	10293	0	0	0	3	26	133	150
361	10294	0	0	0	3	1	400	450
362	10295	0	0	0	4	33	100	200
363	10295	0	0	0	4	35	100	200
364	10295	0	0	0	4	1	400	450
365	10296	0	0	0	1	4	15	21
366	10297	0	0	0	2	4	22	36
367	10298	0	0	0	1	4	15	21
368	10299	0	0	0	2	4	22	36
369	10300	0	0	0	2	4	22	36
370	10301	0	0	0	3	4	40	45
371	10302	0	0	0	3	22	133	150
372	10303	0	0	0	3	24	133	150
373	10304	0	0	0	3	26	133	150
374	10305	0	0	0	3	4	40	45
375	10306	0	0	0	4	13	100	200
376	10306	0	0	0	4	4	40	45
377	10307	0	0	0	1	4	15	21
378	10308	0	0	0	2	4	22	36
379	10309	0	0	0	1	4	15	21
380	10310	0	0	0	2	4	22	36
