学徒ID	援护技能	援护技能buffid	援护生效所需亲密度	天赋技能库	天赋技能数量	属性丹使用上限	不可用属性丹	学徒拥有技能栏位数量	初始解锁技能栏位数量	学徒武艺属性	才艺属性	成长率	特质解锁条件	特质洗练道具消耗	特质洗练货币消耗	第一条特质解锁库	第二条特质解锁库	第三条特质解锁库	第一条特质洗练库	第二条特质洗练库	第三条特质洗练库	分解产物
string	string	string	int	int	int	int	string	int	string	string	string	string	string	string	string	int	int	int	int	int	int	string
ApprenticeId	ApprenticeSkillId	BuffId	IntimacyLevel	GiftedSkillsBox	GiftedSkills	AttributeNum	AttributeList	SkillSlotNum	UnlockNum	BasicPropBox	TalentPropBox	GrowRate	Unlock	CostItem	CurrencyCost	UnlockFirstDropBox	UnlockSecondDropBox	UnlockThirdDropBox	FirstDropBox	SecondDropBox	ThirdDropBox	ResolveItem
apprentic_1001	skill500111	skill500111::buff_01	1	1	2	10	item127000063012,item127000063011,item127000063009	3		1,22800,38000,100;3,2400,4000,10;4,2400,4000,10;32,2880,4800,10;34,2520,4200,10;33,2280,3800,10	1,400,800,1;2,380,760,1;3,400,800,1;4,400,800,1;5,380,760,1;6,380,760,1	10000,10500,100	10,20,30	item127000063004,1	1,5000	11011	110112	11012	21011	210112	21012	item1000,5000
apprentic_1002	skill500121	skill500121::buff_01	1	2	2	10	item127000063012,item127000063011,item127000063009	4		1,34200,57000,100;3,3600,6000,10;4,3600,6000,10;32,4320,7200,10;34,3780,6300,10;33,3420,5700,10	1,600,1200,1;2,570,1140,1;3,600,1200,1;4,600,1200,1;5,570,1140,1;6,570,1140,1	10600,11000,100	10,20,30	item127000063004,2	1,10000	11021	110212	11022	21021	210212	21022	item1000,10000
apprentic_1003	skill500131	skill500131::buff_01	1	3	2	10	item127000063012,item127000063011,item127000063009	6		1,45600,76000,100;3,4800,8000,10;4,4800,8000,10;32,5760,9600,10;34,5040,8400,10;33,4560,7600,10	1,800,1600,1;2,760,1520,1;3,800,1600,1;4,800,1600,1;5,760,1520,1;6,760,1520,1	11100,12000,100	10,20,30	item127000063004,3	1,20000	11031	110312	11032	21031	210312	21032	item1000,15000
apprentic_1004	skill500141	skill500141::buff_01	1	4	2	10	item127000063012,item127000063011,item127000063009	8		1,57000,95000,100;3,6000,10000,10;4,6000,10000,10;32,7200,12000,10;34,6300,10500,10;33,5700,9500,10	1,1000,2000,1;2,950,1900,1;3,1000,2000,1;4,1000,2000,1;5,950,1900,1;6,950,1900,1	12100,13000,100	10,20,30	item127000063004,5	1,30000	11041	110412	11042	21041	210412	21042	item1000,20000
apprentic_2001	skill500211	skill500211::buff_01	1	1	2	10	item127000063012,item127000063005,item127000063009	3		1,24000,40000,100;3,2400,4000,10;4,2400,4000,10;32,2400,4000,10;34,2400,4000,10;31,2400,4000,10	1,400,800,1;2,400,800,1;3,400,800,1;4,400,800,1;5,400,800,1;6,400,800,1	10000,10500,100	10,20,30	item127000063004,1	1,5000	11011	110112	11012	21011	210112	21012	item1000,5000
apprentic_2002	skill500221	skill500221::buff_01	1	2	2	10	item127000063012,item127000063005,item127000063009	4		1,36000,60000,100;3,3600,6000,10;4,3600,6000,10;32,3600,6000,10;34,3600,6000,10;31,3600,6000,10	1,600,1200,1;2,600,1200,1;3,600,1200,1;4,600,1200,1;5,600,1200,1;6,600,1200,1	10600,11000,100	10,20,30	item127000063004,2	1,10000	11021	110212	11022	21021	210212	21022	item1000,10000
apprentic_2003	skill500231	skill500231::buff_01	1	3	2	10	item127000063012,item127000063005,item127000063009	6		1,48000,80000,100;3,4800,8000,10;4,4800,8000,10;32,4800,8000,10;34,4800,8000,10;31,4800,8000,10	1,800,1600,1;2,800,1600,1;3,800,1600,1;4,800,1600,1;5,800,1600,1;6,800,1600,1	11100,12000,100	10,20,30	item127000063004,3	1,20000	11031	110312	11032	21031	210312	21033	item1000,15000
apprentic_2004	skill500241	skill500241::buff_01	1	4	2	10	item127000063012,item127000063005,item127000063009	8		1,60000,100000,100;3,6000,10000,10;4,6000,10000,10;32,6000,10000,10;34,6000,10000,10;31,6000,10000,10	1,1000,2000,1;2,1000,2000,1;3,1000,2000,1;4,1000,2000,1;5,1000,2000,1;6,1000,2000,1	12100,13000,100	10,20,30	item127000063004,5	1,30000	11041	110412	11042	21041	210412	21043	item1000,20000
apprentic_3001	skill500311	skill500311::buff_01	1	1	2	10	item127000063011,item127000063005,item127000063006	3		1,24000,40000,100;3,2280,3800,10;4,2400,4000,10;32,2280,3800,10;35,2520,4200,10;30,2880,4800,10	1,380,760,1;2,400,800,1;3,380,760,1;4,380,760,1;5,400,800,1;6,400,800,1	10000,10500,100	10,20,30	item127000063004,1	1,5000	11011	110112	11012	21011	210112	21012	item1000,5000
apprentic_3002	skill500321	skill500321::buff_01	1	2	2	10	item127000063011,item127000063005,item127000063006	4		1,36000,60000,100;3,3420,5700,10;4,3600,6000,10;32,3420,5700,10;35,3780,6300,10;30,4320,7200,10	1,570,1140,1;2,600,1200,1;3,570,1140,1;4,570,1140,1;5,600,1200,1;6,600,1200,1	10600,11000,100	10,20,30	item127000063004,2	1,10000	11021	110212	11022	21021	210212	21022	item1000,10000
apprentic_3003	skill500331	skill500331::buff_01	1	3	2	10	item127000063011,item127000063005,item127000063006	6		1,48000,80000,100;3,4560,7600,10;4,4800,8000,10;32,4560,7600,10;35,5040,8400,10;30,5760,9600,10	1,760,1520,1;2,800,1600,1;3,760,1520,1;4,760,1520,1;5,800,1600,1;6,800,1600,1	11100,12000,100	10,20,30	item127000063004,3	1,20000	11031	110312	11032	21031	210312	21034	item1000,15000
apprentic_3004	skill500341	skill500341::buff_01	1	4	2	10	item127000063011,item127000063005,item127000063006	8		1,60000,100000,100;3,5700,9500,10;4,6000,10000,10;32,5700,9500,10;35,6300,10500,10;30,7200,12000,10	1,950,1900,1;2,1000,2000,1;3,950,1900,1;4,950,1900,1;5,1000,2000,1;6,1000,2000,1	12100,13000,100	10,20,30	item127000063004,5	1,30000	11041	110412	11042	21041	210412	21044	item1000,20000
apprentic_4001	skill500411	skill500411::buff_01	1	1	2	10	item127000063011,item127000063006,item127000063009	3		1,26400,44000,100;3,2160,3600,10;4,2640,4400,10;32,2280,3800,10;33,2880,4800,10;30,2160,3600,10	1,400,800,1;2,400,800,1;3,400,800,1;4,380,760,1;5,380,760,1;6,380,760,1	10000,10500,100	10,20,30	item127000063004,1	1,5000	11011	110112	11012	21011	210112	21012	item1000,5000
apprentic_4002	skill500421	skill500421::buff_01	1	2	2	10	item127000063011,item127000063006,item127000063009	4		1,39600,66000,100;3,3240,5400,10;4,3960,6600,10;32,3420,5700,10;33,4320,7200,10;30,3240,5400,10	1,600,1200,1;2,600,1200,1;3,600,1200,1;4,570,1140,1;5,570,1140,1;6,570,1140,1	10600,11000,100	10,20,30	item127000063004,2	1,10000	11021	110212	11022	21021	210212	21022	item1000,10000
apprentic_4003	skill500431	skill500431::buff_01	1	3	2	10	item127000063011,item127000063006,item127000063009	6		1,52800,88000,100;3,4320,7200,10;4,5280,8800,10;32,4560,7600,10;33,5760,9600,10;30,4320,7200,10	1,800,1600,1;2,800,1600,1;3,800,1600,1;4,760,1520,1;5,760,1520,1;6,760,1520,1	11100,12000,100	10,20,30	item127000063004,3	1,20000	11031	110312	11032	21031	210312	21035	item1000,15000
apprentic_4004	skill500441	skill500441::buff_01	1	4	2	10	item127000063011,item127000063006,item127000063009	8		1,66000,110000,100;3,5400,9000,10;4,6600,11000,10;32,5700,9500,10;33,7200,12000,10;30,5400,9000,10	1,1000,2000,1;2,1000,2000,1;3,1000,2000,1;4,950,1900,1;5,950,1900,1;6,950,1900,1	12100,13000,100	10,20,30	item127000063004,5	1,30000	11041	110412	11042	21041	210412	21045	item1000,20000
apprentic_5001	skill500511	skill500511::buff_01	1	1	2	10	item127000063012,item127000063007,item127000063009	3		1,26400,44000,100;3,2280,3800,10;4,2280,3800,10;33,2280,3800,10;34,2280,3800,10;31,2880,4800,10	1,380,760,1;2,380,760,1;3,380,760,1;4,400,800,1;5,400,800,1;6,400,800,1	10000,10500,100	10,20,30	item127000063004,1	1,5000	11011	110112	11012	21011	210112	21012	item1000,5000
apprentic_5002	skill500521	skill500521::buff_01	1	2	2	10	item127000063012,item127000063007,item127000063009	4		1,39600,66000,100;3,3420,5700,10;4,3420,5700,10;33,3420,5700,10;34,3420,5700,10;31,4320,7200,10	1,570,1140,1;2,570,1140,1;3,570,1140,1;4,600,1200,1;5,600,1200,1;6,600,1200,1	10600,11000,100	10,20,30	item127000063004,2	1,10000	11021	110212	11022	21021	210212	21022	item1000,10000
apprentic_5003	skill500531	skill500531::buff_01	1	3	2	10	item127000063012,item127000063007,item127000063009	6		1,52800,88000,100;3,4560,7600,10;4,4560,7600,10;33,4560,7600,10;34,4560,7600,10;31,5760,9600,10	1,760,1520,1;2,760,1520,1;3,760,1520,1;4,800,1600,1;5,800,1600,1;6,800,1600,1	11100,12000,100	10,20,30	item127000063004,3	1,20000	11031	110312	11032	21031	210312	21036	item1000,15000
apprentic_5004	skill500541	skill500541::buff_01	1	4	2	10	item127000063012,item127000063007,item127000063009	8		1,66000,110000,100;3,5700,9500,10;4,5700,9500,10;33,5700,9500,10;34,5700,9500,10;31,7200,12000,10	1,950,1900,1;2,950,1900,1;3,950,1900,1;4,1000,2000,1;5,1000,2000,1;6,1000,2000,1	12100,13000,100	10,20,30	item127000063004,5	1,30000	11041	110412	11042	21041	210412	21046	item1000,20000
apprentic_6001	skill500611	skill500611::buff_01	1	1	2	10	item127000063012,item127000063007,item127000063005	3		1,24000,40000,100;3,2400,4000,10;4,2400,4000,10;34,2160,3600,10;35,2160,3600,10;31,2160,3600,10	1,480,960,1;2,480,960,1;3,400,800,1;4,400,800,1;5,380,760,1;6,380,760,1	10000,10500,100	10,20,30	item127000063004,1	1,5000	11011	110112	11012	21011	210112	21012	item1000,5000
apprentic_6002	skill500621	skill500621::buff_01	1	2	2	10	item127000063012,item127000063007,item127000063005	4		1,36000,60000,100;3,3600,6000,10;4,3600,6000,10;34,3240,5400,10;35,3240,5400,10;31,3240,5400,10	1,720,1440,1;2,720,1440,1;3,600,1200,1;4,600,1200,1;5,570,1140,1;6,570,1140,1	10600,11000,100	10,20,30	item127000063004,2	1,10000	11021	110212	11022	21021	210212	21022	item1000,10000
apprentic_6003	skill500631	skill500631::buff_01	1	3	2	10	item127000063012,item127000063007,item127000063005	6		1,48000,80000,100;3,4800,8000,10;4,4800,8000,10;34,4320,7200,10;35,4320,7200,10;31,4320,7200,10	1,960,1920,1;2,960,1920,1;3,800,1600,1;4,800,1600,1;5,760,1520,1;6,760,1520,1	11100,12000,100	10,20,30	item127000063004,3	1,20000	11031	110312	11032	21031	210312	21037	item1000,15000
