流水	纹章品质	类型	锁定数量	消耗道具	消耗货币
int	int	int	int	string	string
Id	Rare	type	LockNum	UseItem	UseMoney
1	2	1	1	item171000101011,1	1,0
2	2	2	0	item171000101012,1	1,50000
3	2	2	1	item171000101012,2	1,50000
4	3	1	1	item171000101011,2	1,0
5	3	2	0	item171000101012,2	1,100000
6	3	2	1	item171000101012,4	1,100000
7	3	2	2	item171000101012,6	1,100000
8	4	1	1	item171000101011,4	1,0
9	4	2	0	item171000101012,3	1,200000
10	4	2	1	item171000101012,6	1,200000
11	4	2	2	item171000101012,9	1,200000
12	4	2	3	item171000101012,18	1,200000
13	5	1	1	item171000101011,8	1,0
14	5	2	0	item171000101012,6	1,300000
15	5	2	1	item171000101012,12	1,300000
16	5	2	2	item171000101012,18	1,300000
17	5	2	3	item171000101012,36	1,300000
