事件ID	事件类型	事件描述	武艺属性要求	才艺属性要求	游历基础奖励	招募经验奖励	高级奖励掉落库	勋章掉落	影集掉落	奇遇探索触发概率	对应成就ID	专属奖励预览（前端展示）	奖励预览（前端展示）	带回学徒概率
int	int	string	string	string	string	string	int	string	string	string	string	string	string	int
EventId	EventType	EventDes	PropCondition	ArtPropCondition	TravelReward	RecruitExp	RewardDropId	MedalDrop	AlbumDrop	AdventureDrop	AchievementId	ExclusiveRewardShow	RewardShow	BringBack
600101	1	EventDes600101	3,1440	1,240			1011	8101,10000	9101,10000	71101,10000;71201,10000;71301,10000	8101301,8101401,8101501,8101101,8101201	item127000068001,1;item127100000001,1;item127000063023,1	item127000063000,1;item127000063001,1;item127000063020,1	0
600102	2	EventDes600102	1,15650	2,260			1012	8102,10000	9102,10000	71102,10000;71202,10000;71302,10000	8101302,8101402,8101502,8101102,8101202	item127000068002,1;item127100000001,1;item127000065001,1;item127000065004,1;item127000065005,1	item127000063000,1;item127000063001,1;item127000063020,1	0
600103	3	EventDes600103	4,1710	3,290			1021		9103,8000	71103,8000;71203,8000;71303,8000	8101303,8101403,8101503,8101203	item127100000001,1;item127000063023,1	item127000063000,1;item127000063001,1;item127000063020,1	2000
600104	4	EventDes600104	32,1930	4,310			1022	8103,8000		71104,8000;71204,8000;71304,8000	8101304,8101404,8101504,8101103	item127000068003,1;item127000065002,1;item127000065006,1;item127000065007,1	item127000063000,1;item127000063001,1;item127000063020,1	2000
600105	1	EventDes600105	33,2130	5,340			1031	8104,8000		71105,8000;71205,8000;71305,8000	8101305,8101405,8101505,8101104	item127000068004,1;item127000063023,1	item127000063000,1;item127000063001,1;item127000063020,1	2000
600106	3	EventDes600106	34,2460	6,390			1032		9104,8000	71106,8000;71206,8000;71306,8000	8101306,8101406,8101506,8101204	item127100000001,1;item127000065003,1;item127000065008,1;item127000065009,1	item127000063000,1;item127000063001,1;item127000063020,1	2000
600107	2	EventDes600107	35,5030	1,800;2,800			1041	8105,800		71107,1500;71207,1500;71307,1500	8101307,8101407,8101507,8101105	item127000068005,1;item127000063023,1	item127000063000,1;item127000063001,1;item127000063020,1	500
600108	4	EventDes600108	30,5190	3,850;4,850			1042	8106,800		71108,1500;71208,1500;71308,1500	8101308,8101408,8101508,8101106	item127000068006,1;item127000065001,1;item127000065004,1;item127000065005,1	item127000063000,1;item127000063001,1;item127000063020,1	500
600109	1	EventDes600109	31,5450	5,890;6,890			1042		9105,1000	71109,1500;71209,1500;71309,1500	8101309,8101409,8101509,8101205	item127100000001,1;item127000065001,1;item127000065004,1;item127000065005,1	item127000063000,1;item127000063001,1;item127000063020,1	500
