流水	母命令	子命令
int	string	string
SID	MainCode	GMCode
1	gm_lvup_40	additem item2002,5124600
2	gm_lvup_40	finishtask 10800530
3	gm_lvup_40	setmoney 1,10000000
4	gm_lvup_40	setmoney 2,10000000
5	gm_lvup_40	setmoney 3,10000000
6	gm_lvup_40	additem equip301040541001,1
7	gm_lvup_40	additem equip302040541001,1
8	gm_lvup_40	additem equip303040541001,1
9	gm_lvup_40	additem equip304040541001,1
10	gm_lvup_40	additem equip305040541001,1
11	gm_lvup_40	additem equip306040541001,1
12	gm_lvup_40	additem equip307040541999,1
13	gm_lvup_40	additem equip308040541999,1
14	gm_lvup_40	additem equip309040541999,1
15	gm_lvup_40	additem equip310040541999,1
16	gm_lvup_40	additem item91000001616,30
17	gm_lvup_40	additem item91000001540,30
18	gm_lvup_40	additem item91000001541,30
19	gm_lvup_50	additem item2002,17331000
20	gm_lvup_50	finishtask 10800550
21	gm_lvup_50	setmoney 1,10000000
22	gm_lvup_50	setmoney 2,10000000
23	gm_lvup_50	setmoney 3,10000000
24	gm_lvup_50	additem equip301050541001,1
25	gm_lvup_50	additem equip302050541001,1
26	gm_lvup_50	additem equip303050541001,1
27	gm_lvup_50	additem equip304050541001,1
28	gm_lvup_50	additem equip305050541001,1
29	gm_lvup_50	additem equip306050541001,1
30	gm_lvup_50	additem equip307050541999,1
31	gm_lvup_50	additem equip308050541999,1
32	gm_lvup_50	additem equip309050541999,1
33	gm_lvup_50	additem equip310050541999,1
34	gm_lvup_50	additem item91000001616,30
35	gm_lvup_50	additem item91000001540,30
36	gm_lvup_50	additem item91000001541,30
37	gm_lvup_60	additem item2002,60647000
38	gm_lvup_60	finishtask 10800570
39	gm_lvup_60	setmoney 1,10000000
40	gm_lvup_60	setmoney 2,10000000
41	gm_lvup_60	setmoney 3,10000000
42	gm_lvup_60	additem equip301060541001,1
43	gm_lvup_60	additem equip302060541001,1
44	gm_lvup_60	additem equip303060541001,1
45	gm_lvup_60	additem equip304060541001,1
46	gm_lvup_60	additem equip305060541001,1
47	gm_lvup_60	additem equip306060541001,1
48	gm_lvup_60	additem equip307060541999,1
49	gm_lvup_60	additem equip308060541999,1
50	gm_lvup_60	additem equip309060541999,1
51	gm_lvup_60	additem equip310060541999,1
52	gm_lvup_60	additem item91000001616,30
53	gm_lvup_60	additem item91000001540,30
54	gm_lvup_60	additem item91000001541,30
