幸运物ID	幸运物类型	幸运物参数	显示道具
int	int	string	string
LuckyID	LuckyType	LuckyParam	ShowItem
1	2	soldier_npc_10006	item105000000054
2	2	soldier_npc_10007	item105000000055
3	2	soldier_npc_10008	item105000000056
4	2	soldier_npc_10009	item105000000057
5	2	soldier_npc_10010	item105000000058
6	2	soldier_npc_10012	item105000000060
7	2	soldier_npc_10013	item105000000061
8	2	soldier_npc_10014	item105000000062
9	2	soldier_npc_10015	item105000000063
10	2	soldier_npc_10016	item105000000064
11	2	soldier_npc_10017	item105000000065
12	2	soldier_npc_10018	item105000000066
13	2	soldier_npc_10019	item105000000067
14	2	soldier_npc_10020	item105000000077
15	2	soldier_npc_10021	item105000000078
16	2	soldier_npc_10022	item105000000079
17	2	soldier_npc_10023	item105000000080
18	2	soldier_npc_10024	item105000000081
19	2	soldier_npc_10025	item105000000082
20	2	soldier_npc_10026	item105000000083
21	2	soldier_npc_10027	item105000000084
22	2	soldier_npc_10030;soldier_npc_10031	item105000000087
23	2	soldier_npc_10032	item105000000089
24	2	soldier_npc_10039	item105000000096
25	1	pet_199	item101020503059
26	1	pet_331	item101020503063
27	1	pet_200	item101020503061
28	1	pet_327	item101020501328
29	1	pet_325	item101020503056
30	1	pet_351;pet_379	item101020514013
31	1	pet_337;pet_381	item101020503086
32	1	pet_345;pet_378	item101020514007
33	1	pet_303	item101020503045
34	1	pet_338	item8101020503093
35	1	pet_309;pet_310	item101020503048
36	1	pet_339;pet_380	item101020503097
37	1	pet_307	item101020503047
38	4	item107000042101	item107000042101
39	4	item107000051202;item107000061202	item107000051202
40	4	item107000043204;item107000052208;item107000063211	item107000043204
41	4	item107000052103	item107000052103
42	4	item107000053304;item107000063304	item107000053304
43	4	item107000041305	item107000041305
44	4	item107000052304	item107000052304
45	4	item107000053308;item107000063308	item107000053308
46	4	item107000052203	item107000052203
47	4	item107000053103;item107000063103	item107000053103
48	3	fashion_100411	item130000940501
49	3	fashion_100444	item130000940513
50	3	fashion_100413	item130000040311
51	3	fashion_100445	item130000040332
52	3	fashion_100454	item130000040518
53	1	ride_125	item101020507316
54	1	ride_119	item101020507312
55	2	soldier_npc_10036	item105000000093
