流水	特质库ID	特质id	特质概率
int	int	int	int
Id	DropBoxId	SpecialityId	Probability
1	11011	101	660
2	11011	102	10
3	11011	201	660
4	11011	202	10
5	11011	301	660
6	11011	302	10
7	11011	401	660
8	11011	402	10
9	11011	501	660
10	11011	502	10
11	11011	601	660
12	11011	602	10
13	11011	701	660
14	11011	702	10
15	11011	801	660
16	11011	802	10
17	11011	901	660
18	11011	902	10
19	11011	1001	660
20	11011	1002	10
21	11011	1101	660
22	11011	1102	10
23	11011	1201	660
24	11011	1202	10
25	11012	101	600
26	11012	102	70
27	11012	201	600
28	11012	202	70
29	11012	301	600
30	11012	302	70
31	11012	401	600
32	11012	402	70
33	11012	501	600
34	11012	502	70
35	11012	601	600
36	11012	602	70
37	11012	701	600
38	11012	702	70
39	11012	801	600
40	11012	802	70
41	11012	901	600
42	11012	902	70
43	11012	1001	600
44	11012	1002	70
45	11012	1101	600
46	11012	1102	70
47	11012	1201	600
48	11012	1202	70
49	11021	101	600
50	11021	102	60
51	11021	103	10
52	11021	201	600
53	11021	202	60
54	11021	203	10
55	11021	301	600
56	11021	302	60
57	11021	303	10
58	11021	401	600
59	11021	402	60
60	11021	403	10
61	11021	501	600
62	11021	502	60
63	11021	503	10
64	11021	601	600
65	11021	602	60
66	11021	603	10
67	11021	701	600
68	11021	702	60
69	11021	703	10
70	11021	801	600
71	11021	802	60
72	11021	803	10
73	11021	901	600
74	11021	902	60
75	11021	903	10
76	11021	1001	600
77	11021	1002	60
78	11021	1003	10
79	11021	1101	600
80	11021	1102	60
81	11021	1103	10
82	11021	1201	600
83	11021	1202	60
84	11021	1203	10
85	11022	101	480
86	11022	102	120
87	11022	103	70
88	11022	201	480
89	11022	202	120
90	11022	203	70
91	11022	301	480
92	11022	302	120
93	11022	303	70
94	11022	401	480
95	11022	402	120
96	11022	403	70
97	11022	501	480
98	11022	502	120
99	11022	503	70
100	11022	601	480
101	11022	602	120
102	11022	603	70
103	11022	701	480
104	11022	702	120
105	11022	703	70
106	11022	801	480
107	11022	802	120
108	11022	803	70
109	11022	901	480
110	11022	902	120
111	11022	903	70
112	11022	1001	480
113	11022	1002	120
114	11022	1003	70
115	11022	1101	480
116	11022	1102	120
117	11022	1103	70
118	11022	1201	480
119	11022	1202	120
120	11022	1203	70
121	11031	101	580
122	11031	102	50
123	11031	103	30
124	11031	104	10
125	11031	201	580
126	11031	202	50
127	11031	203	30
128	11031	204	10
129	11031	301	580
130	11031	302	50
131	11031	303	30
132	11031	304	10
133	11031	401	580
134	11031	402	50
135	11031	403	30
136	11031	404	10
137	11031	501	580
138	11031	502	50
139	11031	503	30
140	11031	504	10
141	11031	601	580
142	11031	602	50
143	11031	603	30
144	11031	604	10
145	11031	701	580
146	11031	702	50
147	11031	703	30
148	11031	704	10
149	11031	801	580
150	11031	802	50
151	11031	803	30
152	11031	804	10
153	11031	901	580
154	11031	902	50
155	11031	903	30
156	11031	904	10
157	11031	1001	580
158	11031	1002	50
159	11031	1003	30
160	11031	1004	10
161	11031	1101	580
162	11031	1102	50
163	11031	1103	30
164	11031	1104	10
165	11031	1201	580
166	11031	1202	50
167	11031	1203	30
168	11031	1204	10
169	11032	101	400
170	11032	102	130
171	11032	103	100
172	11032	104	70
173	11032	201	400
174	11032	202	130
175	11032	203	100
176	11032	204	70
177	11032	301	400
178	11032	302	130
179	11032	303	100
180	11032	304	70
181	11032	401	400
182	11032	402	130
183	11032	403	100
184	11032	404	70
185	11032	501	400
186	11032	502	130
187	11032	503	100
188	11032	504	70
189	11032	601	400
190	11032	602	130
191	11032	603	100
192	11032	604	70
193	11032	701	400
194	11032	702	130
195	11032	703	100
196	11032	704	70
197	11032	801	400
198	11032	802	130
199	11032	803	100
200	11032	804	70
201	11032	901	400
202	11032	902	130
203	11032	903	100
204	11032	904	70
205	11032	1001	400
206	11032	1002	130
207	11032	1003	100
208	11032	1004	70
209	11032	1101	400
210	11032	1102	130
211	11032	1103	100
212	11032	1104	70
213	11032	1201	400
214	11032	1202	130
215	11032	1203	100
216	11032	1204	70
217	11041	101	300
218	11041	102	150
219	11041	103	120
220	11041	104	100
221	11041	201	300
222	11041	202	150
223	11041	203	120
224	11041	204	100
225	11041	301	300
226	11041	302	150
227	11041	303	120
228	11041	304	100
229	11041	401	300
230	11041	402	150
231	11041	403	120
232	11041	404	100
233	11041	501	300
234	11041	502	150
235	11041	503	120
236	11041	504	100
237	11041	601	300
238	11041	602	150
239	11041	603	120
240	11041	604	100
241	11041	701	300
242	11041	702	150
243	11041	703	120
244	11041	704	100
245	11041	801	300
246	11041	802	150
247	11041	803	120
248	11041	804	100
249	11041	901	300
250	11041	902	150
251	11041	903	120
252	11041	904	100
253	11041	1001	300
254	11041	1002	150
255	11041	1003	120
256	11041	1004	100
257	11041	1101	300
258	11041	1102	150
259	11041	1103	120
260	11041	1104	100
261	11041	1201	300
262	11041	1202	150
263	11041	1203	120
264	11041	1204	100
265	11042	101	240
266	11042	102	170
267	11042	103	140
268	11042	104	120
269	11042	201	240
270	11042	202	170
271	11042	203	140
272	11042	204	120
273	11042	301	240
274	11042	302	170
275	11042	303	140
276	11042	304	120
277	11042	401	240
278	11042	402	170
