流水	装备部位	铭刻品阶	第一词缀名称	第一词缀属性	第二词缀名称	第二词缀属性	第三词缀名称	第三词缀属性	第三词缀BUFf	BUFF等级	进阶消耗材料	进阶消耗银币	战力类型	战力计算	铭刻特效
int	int	int	string	string	string	string	string	string	string	int	string	string	int	int	string
ID	PositionID	EngraveLevel	FirstBonusName	FirstBonusProp	SecondBonusName	SecondBonusProp	ThirdBonusName	ThirdBonusProp	ThirdBuffID	BuffLevel	EngraveItemCost	EngraveCurrencyCost	CPType	CPValue	Effect
1	1	1	EngraveName_511	1100500511	EngraveName_521	1100500521	EngraveName_436		buff6_refine01::buff_8	1	item103015110415,25;item107999900012,1	1,500000	2	1000	11037
2	1	2	EngraveName_512	1100500512	EngraveName_522	1100500522	EngraveName_437		buff6_refine01::buff_8	2	item103015110415,50;item107999900012,2	1,1000000	2	1800	11037
3	1	3	EngraveName_513	1100500513	EngraveName_523	1100500523	EngraveName_438		buff6_refine01::buff_8	3	item103015110415,75;item107999900012,3	1,3000000	2	2700	11036
4	1	4	EngraveName_514	1100500514	EngraveName_524	1100500524	EngraveName_439		buff6_refine01::buff_8	4	item103015110415,150;item107999900012,4	1,5000000	2	3700	11036
5	1	5	EngraveName_515	1100500515	EngraveName_525	1100500525	EngraveName_440		buff6_refine01::buff_8	5	item103015110415,250;item107999900012,5	1,10000000	2	4900	11035
6	2	1	EngraveName_611	1100500611	EngraveName_621	1100500621	EngraveName_446		buff6_refine01::buff_10	1	item103015110416,50;item107999900012,1	1,500000	2	1000	11037
7	2	2	EngraveName_612	1100500612	EngraveName_622	1100500622	EngraveName_447		buff6_refine01::buff_10	2	item103015110416,100;item107999900012,2	1,1000000	2	1800	11037
8	2	3	EngraveName_613	1100500613	EngraveName_623	1100500623	EngraveName_448		buff6_refine01::buff_10	3	item103015110416,150;item107999900012,3	1,3000000	2	2700	11036
9	2	4	EngraveName_614	1100500614	EngraveName_624	1100500624	EngraveName_449		buff6_refine01::buff_10	4	item103015110416,300;item107999900012,4	1,5000000	2	3700	11036
10	2	5	EngraveName_615	1100500615	EngraveName_625	1100500625	EngraveName_450		buff6_refine01::buff_10	5	item103015110416,500;item107999900012,5	1,10000000	2	4900	11035
11	3	1	EngraveName_711	1100500711	EngraveName_721	1100500721	EngraveName_731	1100500731		0	item103015110415,25;item107999900012,1	1,500000	2	1000	11037
12	3	2	EngraveName_712	1100500712	EngraveName_722	1100500722	EngraveName_732	1100500732		0	item103015110415,50;item107999900012,2	1,1000000	2	1800	11037
13	3	3	EngraveName_713	1100500713	EngraveName_723	1100500723	EngraveName_733	1100500733		0	item103015110415,75;item107999900012,3	1,3000000	2	2700	11036
14	3	4	EngraveName_714	1100500714	EngraveName_724	1100500724	EngraveName_734	1100500734		0	item103015110415,150;item107999900012,4	1,5000000	2	3700	11036
15	3	5	EngraveName_715	1100500715	EngraveName_725	1100500725	EngraveName_735	1100500735		0	item103015110415,250;item107999900012,5	1,10000000	2	4900	11035
16	4	1	EngraveName_811	1100500811	EngraveName_821	1100500821	EngraveName_831	1100500831		0	item103015110416,50;item107999900012,1	1,500000	2	1000	11037
17	4	2	EngraveName_812	1100500812	EngraveName_822	1100500822	EngraveName_832	1100500832		0	item103015110416,100;item107999900012,2	1,1000000	2	1800	11037
18	4	3	EngraveName_813	1100500813	EngraveName_823	1100500823	EngraveName_833	1100500833		0	item103015110416,150;item107999900012,3	1,3000000	2	2700	11036
19	4	4	EngraveName_814	1100500814	EngraveName_824	1100500824	EngraveName_834	1100500834		0	item103015110416,300;item107999900012,4	1,5000000	2	3700	11036
20	4	5	EngraveName_815	1100500815	EngraveName_825	1100500825	EngraveName_835	1100500835		0	item103015110416,500;item107999900012,5	1,10000000	2	4900	11035
21	5	1	EngraveName_911	1100500911	EngraveName_921	1100500921	EngraveName_451		buff6_refine01::buff_11	1	item103015110416,50;item107999900012,1	1,500000	2	1000	11037
22	5	2	EngraveName_912	1100500912	EngraveName_922	1100500922	EngraveName_452		buff6_refine01::buff_11	2	item103015110416,100;item107999900012,2	1,1000000	2	1800	11037
23	5	3	EngraveName_913	1100500913	EngraveName_923	1100500923	EngraveName_453		buff6_refine01::buff_11	3	item103015110416,150;item107999900012,3	1,3000000	2	2700	11036
24	5	4	EngraveName_914	1100500914	EngraveName_924	1100500924	EngraveName_454		buff6_refine01::buff_11	4	item103015110416,300;item107999900012,4	1,5000000	2	3700	11036
25	5	5	EngraveName_915	1100500915	EngraveName_925	1100500925	EngraveName_455		buff6_refine01::buff_11	5	item103015110416,500;item107999900012,5	1,10000000	2	4900	11035
26	6	1	EngraveName_1011	1100501011	EngraveName_1021	1100501021	EngraveName_441		buff6_refine01::buff_9	1	item103015110416,50;item107999900012,1	1,500000	2	1000	11037
27	6	2	EngraveName_1012	1100501012	EngraveName_1022	1100501022	EngraveName_442		buff6_refine01::buff_9	2	item103015110416,100;item107999900012,2	1,1000000	2	1800	11037
28	6	3	EngraveName_1013	1100501013	EngraveName_1023	1100501023	EngraveName_443		buff6_refine01::buff_9	3	item103015110416,150;item107999900012,3	1,3000000	2	2700	11036
29	6	4	EngraveName_1014	1100501014	EngraveName_1024	1100501024	EngraveName_444		buff6_refine01::buff_9	4	item103015110416,300;item107999900012,4	1,5000000	2	3700	11036
30	6	5	EngraveName_1015	1100501015	EngraveName_1025	1100501025	EngraveName_445		buff6_refine01::buff_9	5	item103015110416,500;item107999900012,5	1,10000000	2	4900	11035
31	7	1	EngraveName_111	1100500111	EngraveName_121	1100500121	EngraveName_131	1100500131		0	item103015110305,50;item107999900012,1	1,500000	2	1000	11037
32	7	2	EngraveName_112	1100500112	EngraveName_122	1100500122	EngraveName_132	1100500132		0	item103015110305,100;item107999900012,2	1,1000000	2	1800	11037
33	7	3	EngraveName_113	1100500113	EngraveName_123	1100500123	EngraveName_133	1100500133		0	item103015110305,150;item107999900012,3	1,3000000	2	2700	11036
34	7	4	EngraveName_114	1100500114	EngraveName_124	1100500124	EngraveName_134	1100500134		0	item103015110305,300;item107999900012,4	1,5000000	2	3700	11036
35	7	5	EngraveName_115	1100500115	EngraveName_125	1100500125	EngraveName_135	1100500135		0	item103015110305,500;item107999900012,5	1,10000000	2	4900	11035
36	8	1	EngraveName_211	1100500211	EngraveName_221	1100500221	EngraveName_231	1100500231		0	item103015110305,50;item107999900012,1	1,500000	2	1000	11037
37	8	2	EngraveName_212	1100500212	EngraveName_222	1100500222	EngraveName_232	1100500232		0	item103015110305,100;item107999900012,2	1,1000000	2	1800	11037
38	8	3	EngraveName_213	1100500213	EngraveName_223	1100500223	EngraveName_233	1100500233		0	item103015110305,150;item107999900012,3	1,3000000	2	2700	11036
39	8	4	EngraveName_214	1100500214	EngraveName_224	1100500224	EngraveName_234	1100500234		0	item103015110305,300;item107999900012,4	1,5000000	2	3700	11036
40	8	5	EngraveName_215	1100500215	EngraveName_225	1100500225	EngraveName_235	1100500235		0	item103015110305,500;item107999900012,5	1,10000000	2	4900	11035
41	9	1	EngraveName_311	1100500311	EngraveName_321	1100500321	EngraveName_331		buff6_refine01::buff_3	1	item103015110305,50;item107999900012,1	1,500000	2	1000	11037
42	9	2	EngraveName_312	1100500312	EngraveName_322	1100500322	EngraveName_332		buff6_refine01::buff_3	2	item103015110305,100;item107999900012,2	1,1000000	2	1800	11037
43	9	3	EngraveName_313	1100500313	EngraveName_323	1100500323	EngraveName_333		buff6_refine01::buff_3	3	item103015110305,150;item107999900012,3	1,3000000	2	2700	11036
44	9	4	EngraveName_314	1100500314	EngraveName_324	1100500324	EngraveName_334		buff6_refine01::buff_3	4	item103015110305,300;item107999900012,4	1,5000000	2	3700	11036
45	9	5	EngraveName_315	1100500315	EngraveName_325	1100500325	EngraveName_335		buff6_refine01::buff_3	5	item103015110305,500;item107999900012,5	1,10000000	2	4900	11035
46	10	1	EngraveName_411	1100500411	EngraveName_421	1100500421	EngraveName_431		buff6_refine01::buff_4	1	item103015110305,50;item107999900012,1	1,500000	2	1000	11037
47	10	2	EngraveName_412	1100500412	EngraveName_422	1100500422	EngraveName_432		buff6_refine01::buff_4	2	item103015110305,100;item107999900012,2	1,1000000	2	1800	11037
48	10	3	EngraveName_413	1100500413	EngraveName_423	1100500423	EngraveName_433		buff6_refine01::buff_4	3	item103015110305,150;item107999900012,3	1,3000000	2	2700	11036
49	10	4	EngraveName_414	1100500414	EngraveName_424	1100500424	EngraveName_434		buff6_refine01::buff_4	4	item103015110305,300;item107999900012,4	1,5000000	2	3700	11036
50	10	5	EngraveName_415	1100500415	EngraveName_425	1100500425	EngraveName_435		buff6_refine01::buff_4	5	item103015110305,500;item107999900012,5	1,10000000	2	4900	11035
