流水ID	玩家身上存在标签数量区间	玩家等级	标签名	随机赠送标签概率	赠送人	角色id	头像	等级	边框
int	string	int	string	string	string	string	int	int	int
ID	PlayerTitleNum	PlayerLev	TitleName	TitleProbability	GiftNpc	HeroId	PortraitId	HeroLevel	FrameId
1	0;1	30	Zone_Default_TitleName001	700	1000	hero101	101	30	101
2	0;1	30	Zone_Default_TitleName002	500	1001	hero102	102	50	102
3	0;1	30	Zone_Default_TitleName003	1000	1002	hero103	103	60	103
4	0;1	30	Zone_Default_TitleName004	800	1003	hero104	104	30	104
5	0;1	30	Zone_Default_TitleName005	1000	1004	hero105	105	50	105
6	0;1	30	Zone_Default_TitleName006	1000	1005	hero106	106	60	106
7	0;1	30	Zone_Default_TitleName007	1000	1006	hero107	107	30	107
8	0;1	30	Zone_Default_TitleName008	1000	1007	hero108	108	50	108
9	0;1	30	Zone_Default_TitleName009	1000	1008	hero101	109	60	109
10	0;1	30	Zone_Default_TitleName010	2000	1009	hero102	110	30	112
11	2;3	40	Zone_Default_TitleName011	500	1010	hero103	201	50	113
12	2;3	40	Zone_Default_TitleName012	500	1011	hero104	202	60	114
13	2;3	40	Zone_Default_TitleName013	500	1012	hero105	203	30	117
14	2;3	40	Zone_Default_TitleName014	500	1013	hero106	204	50	118
15	2;3	40	Zone_Default_TitleName015	500	1014	hero107	205	60	119
16	2;3	40	Zone_Default_TitleName016	500	1015	hero108	206	30	120
17	2;3	40	Zone_Default_TitleName017	500	1016	hero101	207	50	121
18	2;3	40	Zone_Default_TitleName018	500	1017	hero102	208	60	122
19	2;3	40	Zone_Default_TitleName019	500	1018	hero103	209	30	125
20	2;3	40	Zone_Default_TitleName020	500	1019	hero104	210	50	126
21	2;3	40	Zone_Default_TitleName021	500	1020	hero105	211	60	127
22	2;3	40	Zone_Default_TitleName022	500	1021	hero106	101	30	128
23	2;3	40	Zone_Default_TitleName023	500	1022	hero107	102	50	129
