流水	组ID	类型	进度万分比	积分奖励	宝箱icon
int	int	int	int	string	string
Id	RewardId	Type	Progress	PointReward	PicId
1	0	1	2000	item127000065051,15;item1014,1000	box_star01;box_star02
2	0	1	4000	item127000065051,15;item1014,1500	box_star01;box_star02
3	0	1	6000	item127000065051,15;item1014,1500	box_star03;box_star04
4	0	1	8000	item127000063024,1;item127000065051,20;item1014,1500	box_star03;box_star04
5	0	1	10000	item127000065051,25;item1014,2000	box_star05;box_star06
6	1001	1	2000	item127000065010,5;item1014,80;item127000063004,8	box_star01;box_star02
7	1001	1	4000	item127000065010,10;item1014,80;item127000063004,8	box_star01;box_star02
8	1001	1	6000	item127000065010,10;item1014,80;item127000063004,8	box_star03;box_star04
9	1001	1	8000	item127000065010,10;item1014,80;item127000063004,8	box_star03;box_star04
10	1001	1	10000	item127000065010,10;item1014,80;item127000063004,8	box_star05;box_star06
11	1002	1	2000	item127000065030,8;item1014,160;item127000063004,16	box_star01;box_star02
12	1002	1	4000	item127000065030,8;item1014,160;item127000063004,16	box_star01;box_star02
13	1002	1	6000	item127000065030,8;item1014,160;item127000063004,16	box_star03;box_star04
14	1002	1	8000	item127000065030,8;item1014,160;item127000063004,16	box_star03;box_star04
15	1002	1	10000	item127000065030,8;item1014,160;item127000063004,16	box_star05;box_star06
16	1003	1	2000	item127000065030,8;item1014,240;item127000063004,24	box_star01;box_star02
17	1003	1	4000	item127000065030,8;item1014,240;item127000063004,24	box_star01;box_star02
18	1003	1	6000	item127000065030,4;item127000065031,4;item1014,240;item127000063004,24	box_star03;box_star04
19	1003	1	8000	item127000065031,8;item1014,240;item127000063004,24	box_star03;box_star04
20	1003	1	10000	item127000065031,8;item1014,240;item127000063004,24	box_star05;box_star06
21	1004	1	2000	item127000065031,8;item1014,320;item127000063004,32	box_star01;box_star02
22	1004	1	4000	item127000065031,8;item1014,320;item127000063004,32	box_star01;box_star02
23	1004	1	6000	item127000065031,8;item1014,320;item127000063004,32	box_star03;box_star04
24	1004	1	8000	item127000065031,8;item1014,320;item127000063004,32	box_star03;box_star04
25	1004	1	10000	item127000065031,8;item1014,320;item127000063004,32	box_star05;box_star06
26	1005	1	2000	item127000065065,5;item1014,400;item127000063004,40	box_star01;box_star02
27	1005	1	4000	item127000065065,5;item1014,400;item127000063004,40	box_star01;box_star02
28	1005	1	6000	item127000065065,5;item1014,400;item127000063004,40	box_star03;box_star04
29	1005	1	8000	item127000065065,5;item1014,400;item127000063004,40	box_star03;box_star04
30	1005	1	10000	item127000065065,10;item1014,400;item127000063004,40	box_star05;box_star06
31	1006	1	2000	item127000065065,5;item1014,480;item127000063004,48	box_star01;box_star02
32	1006	1	4000	item127000065065,5;item1014,480;item127000063004,48	box_star01;box_star02
33	1006	1	6000	item127000065065,5;item1014,480;item127000063004,48	box_star03;box_star04
34	1006	1	8000	item127000065065,5;item1014,480;item127000063004,48	box_star03;box_star04
35	1006	1	10000	item127000065065,10;item1014,480;item127000063004,48	box_star05;box_star06
36	1001	2	2000	item127000063020,9;item127000063021,1;item127000063004,4	box_star01;box_star02
37	1001	2	4000	item127000063020,9;item127000063021,1;item127000063004,4	box_star01;box_star02
38	1001	2	6000	item127000063020,9;item127000063021,1;item127000063004,4	box_star03;box_star04
39	1001	2	8000	item127000063020,9;item127000063021,1;item127000063004,4	box_star03;box_star04
40	1001	2	10000	item127000063020,9;item127000063021,1;item127000063004,4	box_star05;box_star06
41	1002	2	2000	item127000063020,18;item127000063021,2;item127000063004,8	box_star01;box_star02
42	1002	2	4000	item127000063020,18;item127000063021,2;item127000063004,8	box_star01;box_star02
43	1002	2	6000	item127000063020,18;item127000063021,2;item127000063004,8	box_star03;box_star04
44	1002	2	8000	item127000063020,18;item127000063021,2;item127000063004,8	box_star03;box_star04
45	1002	2	10000	item127000063020,18;item127000063021,2;item127000063004,8	box_star05;box_star06
46	1003	2	2000	item127000063020,27;item127000063021,3;item127000063004,12	box_star01;box_star02
47	1003	2	4000	item127000063020,27;item127000063021,3;item127000063004,12	box_star01;box_star02
48	1003	2	6000	item127000063020,27;item127000063021,3;item127000063004,12	box_star03;box_star04
49	1003	2	8000	item127000063020,27;item127000063021,3;item127000063004,12	box_star03;box_star04
50	1003	2	10000	item127000063020,27;item127000063021,3;item127000063004,12	box_star05;box_star06
51	1004	2	2000	item127000063020,36;item127000063021,4;item127000063004,16	box_star01;box_star02
52	1004	2	4000	item127000063020,36;item127000063021,4;item127000063004,16	box_star01;box_star02
53	1004	2	6000	item127000063020,36;item127000063021,4;item127000063004,16	box_star03;box_star04
54	1004	2	8000	item127000063020,36;item127000063021,4;item127000063004,16	box_star03;box_star04
55	1004	2	10000	item127000063020,36;item127000063021,4;item127000063004,16	box_star05;box_star06
56	1005	2	2000	item127000063020,45;item127000063021,5;item127000063004,20	box_star01;box_star02
57	1005	2	4000	item127000063020,45;item127000063021,5;item127000063004,20	box_star01;box_star02
58	1005	2	6000	item127000063020,45;item127000063021,5;item127000063004,20	box_star03;box_star04
59	1005	2	8000	item127000063020,45;item127000063021,5;item127000063004,20	box_star03;box_star04
60	1005	2	10000	item127000063020,45;item127000063021,5;item127000063004,20	box_star05;box_star06
61	1006	2	2000	item127000063020,54;item127000063021,6;item127000063004,24	box_star01;box_star02
62	1006	2	4000	item127000063020,54;item127000063021,6;item127000063004,24	box_star01;box_star02
63	1006	2	6000	item127000063020,54;item127000063021,6;item127000063004,24	box_star03;box_star04
64	1006	2	8000	item127000063020,54;item127000063021,6;item127000063004,24	box_star03;box_star04
65	1006	2	10000	item127000063020,54;item127000063021,6;item127000063004,24	box_star05;box_star06
