npc编号	佣兵itemid	重复获得该佣兵分解成道具
string	string	string
Id	ItemId	DecomposeItem
soldier_npc_10001	item105000000049	item105000000030,15;item105000000031,3
soldier_npc_10002	item105000000050	item105000000030,15;item105000000031,3
soldier_npc_10003	item105000000051	item105000000030,15;item105000000031,3
soldier_npc_10004	item105000000052	item105000000030,15;item105000000031,3
soldier_npc_10005	item105000000053	item105000000030,15;item105000000031,3
soldier_npc_10006	item105000000054	item105000000030,45;item105000000031,10
soldier_npc_10007	item105000000055	item105000000030,45;item105000000031,10
soldier_npc_10008	item105000000056	item105000000030,45;item105000000031,10
soldier_npc_10009	item105000000057	item105000000030,45;item105000000031,10
soldier_npc_10010	item105000000058	item105000000030,45;item105000000031,10
soldier_npc_10011	item105000000059	item105000000030,45;item105000000031,10
soldier_npc_10012	item105000000060	item105000000030,45;item105000000031,10
soldier_npc_10013	item105000000061	item105000000030,45;item105000000031,10
soldier_npc_10014	item105000000062	item105000000030,45;item105000000031,10
soldier_npc_10015	item105000000063	item105000000030,45;item105000000031,10
soldier_npc_10016	item105000000064	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10017	item105000000065	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10018	item105000000066	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10019	item105000000067	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10020	item105000000077	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10021	item105000000078	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10022	item105000000079	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10023	item105000000080	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10024	item105000000081	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10025	item105000000082	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10026	item105000000083	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10027	item105000000084	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10028	item105000000085	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10029	item105000000086	item105000000030,45;item105000000031,10
soldier_npc_10030	item105000000087	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10031	item105000000088	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10032	item105000000089	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10033	item105000000090	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10034	item105000000091	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10035	item105000000092	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10036	item105000000093	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10037	item105000000094	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10038	item105000000095	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10039	item105000000096	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10040	item105000000097	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10041	item105000000098	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10042	item105000000099	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10043	item105000000100	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10044	item105000000101	item105000000030,45;item105000000031,10
soldier_npc_10045	item105000000102	item105000000030,45;item105000000031,10
soldier_npc_10046	item105000000103	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10047	item105000000104	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10048	item105000000105	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10049	item105000000106	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10050	item105000000107	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10051	item105000000108	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10053	item105000000109	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10054	item105000000110	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10055	item105000000111	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10056	item105000000112	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10057	item105000000113	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10058	item105000000114	item105000000031,20;item105000000032,20;item105000000033,10
soldier_npc_10059	item105000000115	item105000000031,20;item105000000032,20;item105000000033,10
