流水	组ID	类型	成就Id
int	int	int	int
Id	GroupId	AchType	AchievementId
1	0	1	8100401
2	0	1	8100402
3	0	1	8100403
4	0	1	8100404
5	0	1	8100405
6	0	1	8100406
7	0	1	8100407
8	0	1	8100408
9	0	1	8100409
10	0	1	8100410
11	0	1	8100411
12	0	1	8100412
13	0	1	8100413
14	0	1	8100414
15	0	1	8100415
16	0	1	8100416
17	0	1	8100417
18	0	1	8100418
19	0	2	8100101
20	0	2	8100102
21	0	2	8100103
22	0	2	8100104
23	0	2	8100105
24	0	2	8100106
25	0	2	8100107
26	0	2	8100108
27	0	2	8100109
28	0	2	8100110
29	0	2	8100111
30	0	2	8100112
31	0	3	8100201
32	0	3	8100202
33	0	3	8100203
34	0	3	8100204
35	0	3	8100205
36	0	3	8100206
37	0	3	8100207
38	0	3	8100208
39	0	3	8100209
40	0	3	8100210
41	0	3	8100211
42	0	3	8100212
43	0	4	8100301
44	0	4	8100302
45	0	4	8100303
46	0	4	8100304
47	0	4	8100305
48	0	4	8100306
49	0	4	8100307
50	0	4	8100308
51	0	4	8100309
52	0	4	8100310
53	0	4	8100311
54	0	4	8100312
55	0	4	8100313
56	0	4	8100314
57	0	4	8100315
58	0	4	8100316
59	0	4	8100317
60	0	4	8100318
61	1001	1	8101301
62	1001	1	8101302
63	1001	1	8101303
64	1001	1	8101304
65	1001	1	8101305
66	1001	1	8101306
67	1001	1	8101307
68	1001	1	8101308
69	1001	1	8101309
70	1001	1	8101310
71	1001	1	8101311
72	1001	1	8101312
73	1001	1	8101313
74	1001	1	8101314
75	1001	1	8101315
76	1002	1	8102301
77	1002	1	8102302
78	1002	1	8102303
79	1002	1	8102304
80	1002	1	8102305
81	1002	1	8102306
82	1002	1	8102307
83	1002	1	8102308
84	1002	1	8102309
85	1002	1	8102310
86	1002	1	8102311
87	1002	1	8102312
88	1002	1	8102313
89	1002	1	8102314
90	1002	1	8102315
91	1002	1	8102316
92	1002	1	8102317
93	1002	1	8102318
94	1002	1	8102319
95	1002	1	8102320
96	1002	1	8102321
97	1003	1	8103301
98	1003	1	8103302
99	1003	1	8103303
100	1003	1	8103304
101	1003	1	8103305
102	1003	1	8103306
103	1003	1	8103307
104	1003	1	8103308
105	1003	1	8103309
106	1003	1	8103310
107	1003	1	8103311
108	1003	1	8103312
109	1003	1	8103313
110	1003	1	8103314
111	1003	1	8103315
112	1003	1	8103316
113	1003	1	8103317
114	1003	1	8103318
115	1003	1	8103319
116	1003	1	8103320
117	1003	1	8103321
118	1003	1	8103322
119	1003	1	8103323
120	1003	1	8103324
121	1003	1	8103325
122	1003	1	8103326
123	1003	1	8103327
124	1003	1	8103328
125	1004	1	8104301
126	1004	1	8104302
127	1004	1	8104303
128	1004	1	8104304
129	1004	1	8104305
130	1004	1	8104306
131	1004	1	8104307
132	1004	1	8104308
133	1004	1	8104309
