流水	组合名	前置任务	调查事件描述	图鉴1	头像1条件类型	头像1性别	头像1目标	头像1参数	头像1描述	头像1引导行为类型	头像1引导对象	头像1引导场景	头像1引导坐标	图鉴2	头像2条件类型	头像2性别	头像2目标	头像2参数	头像2描述	头像2引导行为类型	头像2引导对象	头像2引导场景	头像2引导坐标	图鉴3	头像3条件类型	头像3性别	头像3目标	头像3参数	头像3描述	头像3引导行为类型	头像3引导对象	头像3引导场景	头像3引导坐标	图鉴4	头像4条件类型	头像4性别	头像4目标	头像4参数	头像4描述	头像4引导行为类型	头像4引导对象	头像4引导场景	头像4引导坐标	图鉴5	头像5条件类型	头像5性别	头像5目标	头像5参数	头像5描述	头像5引导行为类型	头像5引导对象	头像5引导场景	头像5引导坐标	特殊奖励	冒险点奖励
int	string	int	string	int	int	int	string	int	string	int	string	int	vector3	int	int	int	string	int	string	int	string	int	vector3	int	int	int	string	int	string	int	string	int	vector3	int	int	int	string	int	string	int	string	int	vector3	int	int	int	string	int	string	int	string	int	vector3	string	int
ID	Name	PreList	EventDes	AdvID1	Type1	Sex1	Target1	Num1	TaskDes1	GuideType1	GuideTarget1	GuideScene1	GuidePos1	AdvID2	Type2	Sex2	Target2	Num2	TaskDes2	GuideType2	GuideTarget2	GuideScene2	GuidePos2	AdvID3	Type3	Sex3	Target3	Num3	TaskDes3	GuideType3	GuideTarget3	GuideScene3	GuidePos3	AdvID4	Type4	Sex4	Target4	Num4	TaskDes4	GuideType4	GuideTarget4	GuideScene4	GuidePos4	AdvID5	Type5	Sex5	Target5	Num5	TaskDes5	GuideType5	GuideTarget5	GuideScene5	GuidePos5	RewardItem	AdventureCount
1	ConquerName_1	0	ResearchEventDes_01	100001	5	0	pet_101	1	Conquer_TaskDes_101	5	LinkUI:AdventureBookPanel;2;200001;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900001,2	300
2	ConquerName_2	0	ResearchEventDes_02	100002	1	0	100002	100	Conquer_TaskDes_201	2	monster10002002	1	-21.0, -0.6, 60.6	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item101040101015,2	300
3	ConquerName_3	0	ResearchEventDes_03	100001	1	0	100001	100	Conquer_TaskDes_301	2	monster10002001	1	-35.9, -0.6, 40.9	100003	5	0	baby_101	1	Conquer_TaskDes_302	5	LinkUI:AdventureBookPanel;2;200067;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item107999900002,1	300
4	ConquerName_4	0	ResearchEventDes_04	100004	1	0	100004	500	Conquer_TaskDes_401	2	monster10002005	1	25.0, -0.5, -7.2	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item8103010121003,3;item100200000301,1	300
5	ConquerName_5	0	ResearchEventDes_05	100005	1	0	100005	5	Conquer_TaskDes_501	2	monster10002006	1	41.7, -0.5, 14.7	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item101040101015,2	300
6	ConquerName_6	0	ResearchEventDes_06	100005	5	0	baby_131	1	Conquer_TaskDes_601	5	LinkUI:AdventureBookPanel;2;200073;1	0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,1	300
7	ConquerName_7	0	ResearchEventDes_07	100006	1	0	100006	1000	Conquer_TaskDes_701	2	monster10002007	1	-45.9, -5.0, -16.5	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item101040101015,3;item100200000401,1	300
8	ConquerName_8	0	ResearchEventDes_08	100007	1	0	100007	500	Conquer_TaskDes_801	2	monster10002008	1	41.1, -5.1, -48.2	0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		0	0	0		0		0		0		item100000000006,2;item100200000101,1	300
