技能编号	默认状态	技能图标	技能升级对应物品	技能名称	技能效果说明	技能品质	技能最大等级	学习条件	学习类型限制	技能类型
int	int	string	string	string	string	int	int	string	string	int
SkillId	State	Icon	ItemId	Name	Describe	Rare	MaxLevel	Condition	TypeRestrictions	Screen
1001	0	sdxt_skill_07_4	item127000065001	skillname_1	skilldescribe_1	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	1
1002	0	sdxt_skill_03_4	item127000065002	skillname_2	skilldescribe_2	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	1
1003	0	sdxt_skill_02_4	item127000065003	skillname_3	skilldescribe_3	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	1
1004	0	sdxt_skill_13_4	item127000065004	skillname_4	skilldescribe_4	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	2
1005	0	sdxt_skill_18_4	item127000065005	skillname_5	skilldescribe_5	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	2
1006	0	sdxt_skill_09_4	item127000065006	skillname_6	skilldescribe_6	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	2
1007	0	sdxt_skill_11_4	item127000065007	skillname_7	skilldescribe_7	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	2
1008	0	sdxt_skill_15_4	item127000065008	skillname_8	skilldescribe_8	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	2
1009	0	sdxt_skill_10_4	item127000065009	skillname_9	skilldescribe_9	2	10	1,1;2,900;3,1000	1,2,3,4,5,6,7,8	2
1010	0	sdxt_skill_01_3	item127000065010	skillname_10	skilldescribe_10	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	1
1011	0	sdxt_skill_02_3	item127000065011	skillname_11	skilldescribe_11	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	1
1012	0	sdxt_skill_03_3	item127000065012	skillname_12	skilldescribe_12	3	10	1,30;2,1500;3,1700	1,2,3,4,5,6,7,8	1
1013	0	sdxt_skill_04_3	item127000065013	skillname_13	skilldescribe_13	3	10	1,30;2,1500;3,1700	1,2	1
1014	0	sdxt_skill_05_3	item127000065014	skillname_14	skilldescribe_14	3	10	1,30;2,1500;3,1700	3,6,7,8	1
