流水	技能ID	技能大类	技能层级	技能icon	技能名称	技能描述	技能类型	等级	升级消耗	加成内容	解锁条件
int	int	int	int	string	string	string	int	int	string	string	string
Id	SkillId	Type	SkillLayer	SkillIcon	SkillName	SkillDes	SkillType	SkillLevel	LevelupItem	LevelContent	UnlockCondition
1	10101	1	1	skill_400707	SailSkillName10101	SailSkillDes10101	1	1	item1041,100	1;1	
2	10101	1	1	skill_400707	SailSkillName10101	SailSkillDes10101	1	2	item1041,200	1;2	
3	10101	1	1	skill_400707	SailSkillName10101	SailSkillDes10101	1	3	item1041,300	1;3	
4	10101	1	1	skill_400707	SailSkillName10101	SailSkillDes10101	1	4	item1041,400	1;4	
5	10101	1	1	skill_400707	SailSkillName10101	SailSkillDes10101	1	5	item1041,500	1;5	
6	10102	1	2	skill_401709	SailSkillName10102	SailSkillDes10102	2	1	item1041,200	10;2	10101,4
7	10102	1	2	skill_401709	SailSkillName10102	SailSkillDes10102	2	2	item1041,300	20;2	
8	10102	1	2	skill_401709	SailSkillName10102	SailSkillDes10102	2	3	item1041,500	30;2	
9	10102	1	2	skill_401709	SailSkillName10102	SailSkillDes10102	2	4	item1041,800	40;2	
10	10102	1	2	skill_401709	SailSkillName10102	SailSkillDes10102	2	5	item1041,1200	50;2	
11	10103	1	2	skill1406_starforge	SailSkillName10103	SailSkillDes10103	3	1	item1041,200	10;10	10101,4
12	10103	1	2	skill1406_starforge	SailSkillName10103	SailSkillDes10103	3	2	item1041,300	20;10	
13	10103	1	2	skill1406_starforge	SailSkillName10103	SailSkillDes10103	3	3	item1041,500	30;10	
14	10103	1	2	skill1406_starforge	SailSkillName10103	SailSkillDes10103	3	4	item1041,800	40;10	
15	10103	1	2	skill1406_starforge	SailSkillName10103	SailSkillDes10103	3	5	item1041,1200	50;10	
16	10104	1	3	hallowskill_1005	SailSkillName10104	SailSkillDes10104	5	1	item1041,300	20;5	10102,3
17	10104	1	3	hallowskill_1005	SailSkillName10104	SailSkillDes10104	5	2	item1041,500	20;7.5	
18	10104	1	3	hallowskill_1005	SailSkillName10104	SailSkillDes10104	5	3	item1041,800	20;10	
19	10104	1	3	hallowskill_1005	SailSkillName10104	SailSkillDes10104	5	4	item1041,1200	20;12.5	
20	10104	1	3	hallowskill_1005	SailSkillName10104	SailSkillDes10104	5	5	item1041,1500	20;15	
21	10105	1	3	skill_400604	SailSkillName10105	SailSkillDes10105	8	1	item1041,300	20;5	10102,3
22	10105	1	3	skill_400604	SailSkillName10105	SailSkillDes10105	8	2	item1041,500	20;7.5	
23	10105	1	3	skill_400604	SailSkillName10105	SailSkillDes10105	8	3	item1041,800	20;10	
24	10105	1	3	skill_400604	SailSkillName10105	SailSkillDes10105	8	4	item1041,1200	20;12.5	
25	10105	1	3	skill_400604	SailSkillName10105	SailSkillDes10105	8	5	item1041,1500	20;15	
26	10106	1	3	skill_60681	SailSkillName10106	SailSkillDes10106	11	1	item1041,300	20;5	10103,3
27	10106	1	3	skill_60681	SailSkillName10106	SailSkillDes10106	11	2	item1041,500	20;7.5	
28	10106	1	3	skill_60681	SailSkillName10106	SailSkillDes10106	11	3	item1041,800	20;10	
29	10106	1	3	skill_60681	SailSkillName10106	SailSkillDes10106	11	4	item1041,1200	20;12.5	
30	10106	1	3	skill_60681	SailSkillName10106	SailSkillDes10106	11	5	item1041,1500	20;15	
31	10107	1	3	skill_401504	SailSkillName10107	SailSkillDes10107	4	1	item1041,300	10;5	10103,3
