星级	位面战斗NPC
int	string
KillStarLevel	TargetNPC
1	killstar_monster_1101
1	killstar_monster_1102
1	killstar_monster_1103
1	killstar_monster_1104
1	killstar_monster_1105
1	killstar_monster_1106
1	killstar_monster_1107
1	killstar_monster_1108
1	killstar_monster_1109
1	killstar_monster_1110
2	killstar_monster_1201
2	killstar_monster_1202
2	killstar_monster_1203
2	killstar_monster_1204
2	killstar_monster_1205
2	killstar_monster_1206
2	killstar_monster_1207
2	killstar_monster_1208
2	killstar_monster_1209
2	killstar_monster_1210
3	killstar_monster_1301
3	killstar_monster_1302
3	killstar_monster_1303
3	killstar_monster_1304
3	killstar_monster_1305
3	killstar_monster_1306
3	killstar_monster_1307
3	killstar_monster_1308
3	killstar_monster_1309
3	killstar_monster_1310
4	killstar_monster_1401
4	killstar_monster_1402
4	killstar_monster_1403
4	killstar_monster_1404
4	killstar_monster_1405
4	killstar_monster_1406
4	killstar_monster_1407
4	killstar_monster_1408
4	killstar_monster_1409
4	killstar_monster_1410
5	killstar_monster_1501
5	killstar_monster_1502
5	killstar_monster_1503
5	killstar_monster_1504
5	killstar_monster_1505
5	killstar_monster_1506
5	killstar_monster_1507
5	killstar_monster_1508
5	killstar_monster_1509
5	killstar_monster_1510
6	killstar_monster_1601
6	killstar_monster_1602
6	killstar_monster_1603
6	killstar_monster_1604
6	killstar_monster_1605
6	killstar_monster_1606
6	killstar_monster_1607
6	killstar_monster_1608
6	killstar_monster_1609
6	killstar_monster_1610
7	killstar_monster_1701
7	killstar_monster_1702
7	killstar_monster_1703
7	killstar_monster_1704
7	killstar_monster_1705
7	killstar_monster_1706
7	killstar_monster_1707
7	killstar_monster_1708
7	killstar_monster_1709
7	killstar_monster_1710
8	killstar_monster_1801
8	killstar_monster_1802
8	killstar_monster_1803
8	killstar_monster_1804
8	killstar_monster_1805
8	killstar_monster_1806
8	killstar_monster_1807
8	killstar_monster_1808
8	killstar_monster_1809
8	killstar_monster_1810
9	killstar_monster_1901
9	killstar_monster_1902
9	killstar_monster_1903
9	killstar_monster_1904
9	killstar_monster_1905
9	killstar_monster_1906
9	killstar_monster_1907
9	killstar_monster_1908
9	killstar_monster_1909
9	killstar_monster_1910
10	killstar_monster_2001
10	killstar_monster_2002
10	killstar_monster_2003
10	killstar_monster_2004
10	killstar_monster_2005
10	killstar_monster_2006
10	killstar_monster_2007
10	killstar_monster_2008
10	killstar_monster_2009
10	killstar_monster_2010
11	killstar_monster_2101
11	killstar_monster_2102
11	killstar_monster_2103
11	killstar_monster_2104
11	killstar_monster_2105
11	killstar_monster_2106
11	killstar_monster_2107
11	killstar_monster_2108
11	killstar_monster_2109
11	killstar_monster_2110
12	killstar_monster_2201
12	killstar_monster_2202
12	killstar_monster_2203
12	killstar_monster_2204
12	killstar_monster_2205
12	killstar_monster_2206
12	killstar_monster_2207
12	killstar_monster_2208
12	killstar_monster_2209
12	killstar_monster_2210
