称号id(非流水)	称号类型	称号品质	对应ItemID	称号名	称号描述	称号获取方式描述	称号收集属性	称号装备属性	称号持续时间	对应的公会职位ID	地区渠道号
int	int	int	string	string	string	string	string	string	int	int	string
Id	Type	Quality	ItemId	Name	Des	DesWay	ATT1	ATT2	Time	PositionId	SDKAreaTypes
1	1	4	item141000000001	TitleName_10000001	TitleDes_10000001	TitleWay_10000001	3,10	3,50	86400	0	
2	1	3	item141000000002	TitleName_10000002	TitleDes_10000002	TitleWay_10000002	3,8	3,40	86400	0	
3	1	3	item141000000003	TitleName_10000003	TitleDes_10000003	TitleWay_10000003	3,6	3,30	86400	0	
4	1	4	item141000000004	TitleName_10000004	TitleDes_10000004	TitleWay_10000004	4,10	4,50	86400	0	
5	1	3	item141000000005	TitleName_10000005	TitleDes_10000005	TitleWay_10000005	4,8	4,40	86400	0	
6	1	3	item141000000006	TitleName_10000006	TitleDes_10000006	TitleWay_10000006	4,6	4,30	86400	0	
7	1	4	item141000000007	TitleName_10000007	TitleDes_10000007	TitleWay_10000007	4,10	4,50	86400	0	
8	1	3	item141000000008	TitleName_10000008	TitleDes_10000008	TitleWay_10000008	4,8	4,40	86400	0	
9	1	3	item141000000009	TitleName_10000009	TitleDes_10000009	TitleWay_10000009	4,6	4,30	86400	0	
10	1	4	item141000000010	TitleName_10000010	TitleDes_10000010	TitleWay_10000010	3,10	3,50	86400	0	
11	1	3	item141000000011	TitleName_10000011	TitleDes_10000011	TitleWay_10000011	3,8	3,40	86400	0	
12	1	3	item141000000012	TitleName_10000012	TitleDes_10000012	TitleWay_10000012	3,6	3,30	86400	0	
13	1	4	item141000000013	TitleName_10000013	TitleDes_10000013	TitleWay_10000013	3,10	3,50	86400	0	
14	1	3	item141000000014	TitleName_10000014	TitleDes_10000014	TitleWay_10000014	3,8	3,40	86400	0	
15	1	3	item141000000015	TitleName_10000015	TitleDes_10000015	TitleWay_10000015	3,6	3,30	86400	0	
16	1	4	item141000000016	TitleName_10000016	TitleDes_10000016	TitleWay_10000016	1,100	1,500	86400	0	
17	1	3	item141000000017	TitleName_10000017	TitleDes_10000017	TitleWay_10000017	1,80	1,400	86400	0	
18	1	3	item141000000018	TitleName_10000018	TitleDes_10000018	TitleWay_10000018	1,60	1,300	86400	0	
19	1	4	item141000000019	TitleName_10000019	TitleDes_10000019	TitleWay_10000019	3,10	3,50	86400	0	
