流水	装备ID	附加属性序号	概率	属性库
int	string	int	int	int
Id	EquipId	PropNumber	Rare	PropId
1	envoyequip5001	1	7000	501010
2	envoyequip5001	2	3000	501020
3	envoyequip5001	3	10000	500030
4	envoyequip5001	4	5000	500040
5	envoyequip5001	5	10000	500050
6	envoyequip5001	6	10000	500060
7	envoyequip5001	1	7000	501011
8	envoyequip5001	2	3000	501021
9	envoyequip5001	3	10000	500030
10	envoyequip5001	4	5000	500040
11	envoyequip5001	5	10000	500050
12	envoyequip5001	6	7000	500060
13	envoyequip5001	1	7000	501012
14	envoyequip5001	2	3000	501022
15	envoyequip5001	3	10000	500030
16	envoyequip5001	4	5000	500040
17	envoyequip5001	5	10000	500050
18	envoyequip5001	6	7000	500060
19	envoyequip5002	1	7000	502010
20	envoyequip5002	2	3000	502020
21	envoyequip5002	3	10000	500030
22	envoyequip5002	4	5000	500040
23	envoyequip5002	5	10000	500050
24	envoyequip5002	6	10000	500060
25	envoyequip5002	1	7000	502011
26	envoyequip5002	2	3000	502021
27	envoyequip5002	3	10000	500030
28	envoyequip5002	4	5000	500040
29	envoyequip5002	5	10000	500050
30	envoyequip5002	6	7000	500060
31	envoyequip5002	1	7000	502012
32	envoyequip5002	2	3000	502022
33	envoyequip5002	3	10000	500030
34	envoyequip5002	4	5000	500040
35	envoyequip5002	5	10000	500050
36	envoyequip5002	6	7000	500060
37	envoyequip5003	1	7000	503010
38	envoyequip5003	2	3000	503020
39	envoyequip5003	3	10000	500030
40	envoyequip5003	4	5000	500040
41	envoyequip5003	5	10000	500050
42	envoyequip5003	6	10000	500060
43	envoyequip5003	1	7000	503011
44	envoyequip5003	2	3000	503021
45	envoyequip5003	3	10000	500030
46	envoyequip5003	4	5000	500040
47	envoyequip5003	5	10000	500050
48	envoyequip5003	6	7000	500060
49	envoyequip5003	1	7000	503012
50	envoyequip5003	2	3000	503022
51	envoyequip5003	3	10000	500030
52	envoyequip5003	4	5000	500040
53	envoyequip5003	5	10000	500050
54	envoyequip5003	6	7000	500060
55	envoyequip5004	1	7000	504010
56	envoyequip5004	2	3000	504020
57	envoyequip5004	3	10000	500030
58	envoyequip5004	4	5000	500040
59	envoyequip5004	5	10000	500050
60	envoyequip5004	6	10000	500060
61	envoyequip5004	1	7000	504011
62	envoyequip5004	2	3000	504021
63	envoyequip5004	3	10000	500030
64	envoyequip5004	4	5000	500040
65	envoyequip5004	5	10000	500050
66	envoyequip5004	6	7000	500060
67	envoyequip5004	1	7000	504012
68	envoyequip5004	2	3000	504022
69	envoyequip5004	3	10000	500030
70	envoyequip5004	4	5000	500040
71	envoyequip5004	5	10000	500050
72	envoyequip5004	6	7000	500060
73	envoyequip5005	1	7000	505010
74	envoyequip5005	2	3000	505020
75	envoyequip5005	3	10000	500030
76	envoyequip5005	4	5000	500040
77	envoyequip5005	5	10000	500050
78	envoyequip5005	6	10000	500060
79	envoyequip5005	1	7000	505011
80	envoyequip5005	2	3000	505021
81	envoyequip5005	3	10000	500030
82	envoyequip5005	4	5000	500040
83	envoyequip5005	5	10000	500050
84	envoyequip5005	6	7000	500060
85	envoyequip5005	1	7000	505012
86	envoyequip5005	2	3000	505022
87	envoyequip5005	3	10000	500030
88	envoyequip5005	4	5000	500040
89	envoyequip5005	5	10000	500050
90	envoyequip5005	6	7000	500060
91	envoyequip5006	1	7000	506010
92	envoyequip5006	2	3000	506020
93	envoyequip5006	3	10000	500030
94	envoyequip5006	4	5000	500040
95	envoyequip5006	5	10000	500050
96	envoyequip5006	6	10000	500060
97	envoyequip5006	1	7000	506011
98	envoyequip5006	2	3000	506021
99	envoyequip5006	3	10000	500030
100	envoyequip5006	4	5000	500040
101	envoyequip5006	5	10000	500050
102	envoyequip5006	6	7000	500060
103	envoyequip5006	1	7000	506012
104	envoyequip5006	2	3000	506022
105	envoyequip5006	3	10000	500030
106	envoyequip5006	4	5000	500040
107	envoyequip5006	5	10000	500050
108	envoyequip5006	6	7000	500060
109	envoyequip4001	1	3000	401010
110	envoyequip4001	2	10000	400020
111	envoyequip4001	3	6000	400030
112	envoyequip4001	4	10000	400040
113	envoyequip4001	5	10000	400050
114	envoyequip4001	1	3000	401011
115	envoyequip4001	2	10000	400020
116	envoyequip4001	3	6000	400030
117	envoyequip4001	4	10000	400040
118	envoyequip4001	5	10000	400050
119	envoyequip4002	1	3000	402010
120	envoyequip4002	2	10000	400020
121	envoyequip4002	3	6000	400030
122	envoyequip4002	4	10000	400040
123	envoyequip4002	5	10000	400050
124	envoyequip4002	1	3000	402011
125	envoyequip4002	2	10000	400020
126	envoyequip4002	3	6000	400030
127	envoyequip4002	4	10000	400040
128	envoyequip4002	5	10000	400050
