流水ID	套装ID	套装类型	套装等级	套装名字	套装基础属性	套装神授属性	套装buffID	孔位镶嵌方案	套装图标	预览图	额外镶嵌上限	激活特效	所需神石盘单行最大数	套装buff名字	套装buff描述	基础血量属性	每格增加血量属性	最大层数
int	int	int	int	string	string	string	string	string	string	string	int	int	int	string	string	string	string	int
Id	SuitId	SuitType	Level	Name	SuitBasicProp	SuitDivineProp	BuffId	SetScheme	IconID	PicID	Toplimit	EffectId	PlateRowNum	BuffName	BuffDes	HpBase	HpAdd	LevelMax
1	1701	1	1	SuitName1701	1,1000;11,10;31,30;51,100;174,100	1,500;3,50;4,50;23,50;52,50		0,0;1,3;1,1;0,4;1,-1;0,2	divinestone_suit01	divinestone_suit101	0	1830001	5					0
2	1701	1	2	SuitName1701	1,1600;11,16;31,48;51,160;174,160	1,750;3,75;4,75;23,75;52,75		0,0;1,3;1,1;0,4;1,-1;0,2	divinestone_suit01	divinestone_suit101	0	1830001	5					0
3	1701	1	3	SuitName1701	1,2000;11,20;31,60;51,200;174,200	1,1000;3,100;4,100;23,100;52,100		0,0;1,3;1,1;0,4;1,-1;0,2	divinestone_suit01	divinestone_suit101	0	1830001	5					0
4	1702	1	1	SuitName1702	4,80;13,10;32,40;51,100;173,100	1,500;3,50;4,50;25,50;52,50		0,0;2,2;1,3;0,4;1,1	divinestone_suit02	divinestone_suit102	0	1830002	5					0
5	1702	1	2	SuitName1702	4,128;13,16;32,64;51,160;173,160	1,750;3,75;4,75;25,75;52,75		0,0;2,2;1,3;0,4;1,1	divinestone_suit02	divinestone_suit102	0	1830002	5					0
6	1702	1	3	SuitName1702	4,160;13,20;32,80;51,200;173,200	1,1000;3,100;4,100;25,100;52,100		0,0;2,2;1,3;0,4;1,1	divinestone_suit02	divinestone_suit102	0	1830002	5					0
7	1703	1	1	SuitName1703	4,80;13,10;34,40;51,80;173,80	1,500;3,50;4,50;24,50;52,50		0,0;2,0;1,1;1,-1	divinestone_suit03	divinestone_suit103	0	1830003	5					0
8	1703	1	2	SuitName1703	4,128;13,16;34,64;51,128;173,128	1,750;3,75;4,75;24,75;52,75		0,0;2,0;1,1;1,-1	divinestone_suit03	divinestone_suit103	0	1830003	5					0
9	1703	1	3	SuitName1703	4,160;13,20;34,80;51,160;173,160	1,1000;3,100;4,100;24,100;52,100		0,0;2,0;1,1;1,-1	divinestone_suit03	divinestone_suit103	0	1830003	5					0
10	1704	1	1	SuitName1704	1,800;11,10;35,40;51,100;174,100	1,500;3,50;4,50;26,50;51,50		0,0;0,6;0,4;-1,3;0,2	divinestone_suit04	divinestone_suit104	0	1830004	5					0
11	1704	1	2	SuitName1704	1,1280;11,16;35,64;51,160;174,160	1,750;3,75;4,75;26,75;51,75		0,0;0,6;0,4;-1,3;0,2	divinestone_suit04	divinestone_suit104	0	1830004	5					0
12	1704	1	3	SuitName1704	1,1600;11,20;35,80;51,200;174,200	1,1000;3,100;4,100;26,100;51,100		0,0;0,6;0,4;-1,3;0,2	divinestone_suit04	divinestone_suit104	0	1830004	5					0
13	1705	1	1	SuitName1705	3,100;12,10;33,20;52,100;173,100	1,500;3,50;4,50;21,50;51,50		0,0;2,2;1,3;2,0;1,-1;0,2	divinestone_suit05	divinestone_suit105	0	1830005	5					0
14	1705	1	2	SuitName1705	3,160;12,16;33,32;52,160;173,160	1,750;3,75;4,75;21,75;51,75		0,0;2,2;1,3;2,0;1,-1;0,2	divinestone_suit05	divinestone_suit105	0	1830005	5					0
