流水ID	使者品质	槽位类型	槽位ID	开放使者等级	开放使者阶级	空槽位打书权重	有技能槽位打书权重
int	int	int	int	int	int	int	int
ID	EnvoyQuality	SlotType	SlotID	Level	Step	IsSkill	NoSkill
1	3	1	1	30	0	0	0
2	3	2	1	0	0	1400	2800
3	3	2	2	0	0	1120	2240
4	3	2	3	0	0	800	1600
5	3	3	1	0	0	1400	2800
6	3	3	2	0	0	1120	2240
7	3	3	3	0	0	800	1600
8	4	1	1	30	0	0	0
9	4	2	1	0	0	1400	2800
10	4	2	2	0	0	1120	2240
11	4	2	3	0	0	800	1600
12	4	2	4	0	2	550	1100
13	4	3	1	0	0	1400	2800
14	4	3	2	0	0	1120	2240
15	4	3	3	0	0	800	1600
16	4	3	4	0	3	550	1100
17	5	1	1	30	0	0	0
18	5	2	1	0	0	1400	2800
19	5	2	2	0	0	1120	2240
20	5	2	3	0	0	800	1600
21	5	2	4	0	2	550	1100
22	5	2	5	0	5	330	660
23	5	3	1	0	0	1400	2800
24	5	3	2	0	0	1120	2240
25	5	3	3	0	0	800	1600
26	5	3	4	0	3	550	1100
27	5	3	5	0	6	330	660
