唯一id	对象类型	解锁类型	前置任务	解锁目标	解锁参数	解锁描述
int	string	int	int	string	int	string
Id	Script	UnlockType	PreList	UnlockTarget	UnlockNum	UnlockDes
1	FightPetNpc	0	0		0	
2	FightPetNpc	0	0		0	
82	FightPetNpc	0	0		0	
83	FightPetNpc	0	0		0	
3	FightPetNpc	2	0	10200090	0	UI_MissionUnlock_PetField
84	FightPetNpc	2	0	10200090	0	UI_MissionUnlock_PetField
85	FightPetNpc	2	0	10200090	0	UI_MissionUnlock_PetField
86	FightPetNpc	2	0	10200090	0	UI_MissionUnlock_PetField
4	FightPetNpc	2	86	10300170	0	UI_MissionUnlock_PetField
87	FightPetNpc	2	86	10300170	0	UI_MissionUnlock_PetField
88	FightPetNpc	2	86	10300170	0	UI_MissionUnlock_PetField
89	FightPetNpc	2	86	10300170	0	UI_MissionUnlock_PetField
5	FightPetNpc	2	89	10400310	0	UI_MissionUnlock_PetField
90	FightPetNpc	2	89	10400310	0	UI_MissionUnlock_PetField
91	FightPetNpc	2	89	10400310	0	UI_MissionUnlock_PetField
92	FightPetNpc	2	89	10400310	0	UI_MissionUnlock_PetField
6	FightPetNpc	2	92	10500150	0	UI_MissionUnlock_PetField
93	FightPetNpc	2	92	10500150	0	UI_MissionUnlock_PetField
94	FightPetNpc	2	92	10500150	0	UI_MissionUnlock_PetField
95	FightPetNpc	2	94	10600360	0	UI_MissionUnlock_PetField
96	FightPetNpc	2	94	10600360	0	UI_MissionUnlock_PetField
97	FightPetNpc	2	94	10600360	0	UI_MissionUnlock_PetField
98	FightPetNpc	2	97	10710250	0	UI_MissionUnlock_PetField
99	FightPetNpc	2	97	10710250	0	UI_MissionUnlock_PetField
100	FightPetNpc	2	99	10800440	0	UI_MissionUnlock_PetField
101	FightPetNpc	2	99	10800440	0	UI_MissionUnlock_PetField
7	FightPetNpc	1	0	1	500000	
8	FightPetNpc	1	7	1	1000000	
9	FightPetNpc	1	8	1	2000000	
10	FightPetNpc	1	9	1	4000000	
11	FightPetNpc	1	10	1	8000000	
12	FightPetNpc	1	11	1	16000000	
102	FightPetNpc	1	12	1	18000000	
103	FightPetNpc	1	102	1	20000000	
104	FightPetNpc	1	103	1	22000000	
105	FightPetNpc	1	104	1	24000000	
106	FightPetNpc	1	105	1	26000000	
107	FightPetNpc	1	106	1	28000000	
108	FightPetNpc	1	107	1	30000000	
13	FightPetNpc	3	0	item101040101051	1	UI_ItemUnlock_PetField
14	FightPetNpc	3	13	item101040101051	2	UI_ItemUnlock_PetField
15	FightPetNpc	3	14	item101040101051	3	UI_ItemUnlock_PetField
16	FightPetNpc	3	15	item101040101051	4	UI_ItemUnlock_PetField
109	FightPetNpc	3	16	item101040101051	5	UI_ItemUnlock_PetField
110	FightPetNpc	3	109	item101040101051	5	UI_ItemUnlock_PetField
111	FightPetNpc	3	110	item101040101051	5	UI_ItemUnlock_PetField
112	FightPetNpc	3	111	item101040101051	5	UI_ItemUnlock_PetField
113	FightPetNpc	3	112	item101040101051	5	UI_ItemUnlock_PetField
17	FightPetNpc	4	0	npc_10139	1	UI_NpcUnlock_PetField
18	FightPetNpc	4	17	npc_10139	5	UI_NpcUnlock_PetField
19	FightPetNpc	4	18	npc_10139	9	UI_NpcUnlock_PetField
20	RidePetNpc	0	0		0	
21	RidePetNpc	0	0		0	
22	RidePetNpc	1	0	1	200000	
23	RidePetNpc	1	22	1	500000	
24	RidePetNpc	1	23	1	1000000	
25	RidePetNpc	1	24	1	2000000	
26	RidePetNpc	1	25	1	3000000	
27	RidePetNpc	1	26	1	4000000	
28	RidePetNpc	1	27	1	5000000	
29	RidePetNpc	1	28	1	6000000	
30	RidePetNpc	1	29	1	7000000	
31	RidePetNpc	1	30	1	10000000	
32	RidePetNpc	1	31	1	10000000	
33	RidePetNpc	1	32	1	10000000	
34	RidePetNpc	1	33	1	10000000	
35	RidePetNpc	1	34	1	10000000	
36	RidePetNpc	1	35	1	10000000	
37	RidePetNpc	1	36	1	10000000	
38	RidePetNpc	1	37	1	10000000	
39	RidePetNpc	1	38	1	10000000	
52	RidePetNpc	1	39	1	10000000	
53	RidePetNpc	1	52	1	10000000	
54	RidePetNpc	1	53	1	10000000	
55	RidePetNpc	1	54	1	10000000	
56	RidePetNpc	1	55	1	10000000	
57	RidePetNpc	1	56	1	10000000	
58	RidePetNpc	1	57	1	10000000	
59	RidePetNpc	1	58	1	10000000	
60	RidePetNpc	1	59	1	10000000	
61	RidePetNpc	1	60	1	10000000	
62	RidePetNpc	1	61	1	10000000	
63	RidePetNpc	1	62	1	10000000	
64	RidePetNpc	1	63	1	10000000	
65	RidePetNpc	1	64	1	10000000	
66	RidePetNpc	1	65	1	10000000	
67	RidePetNpc	1	66	1	10000000	
68	RidePetNpc	1	67	1	10000000	
69	RidePetNpc	1	68	1	10000000	
70	RidePetNpc	1	69	1	10000000	
71	RidePetNpc	1	70	1	10000000	
72	RidePetNpc	1	71	1	10000000	
73	RidePetNpc	1	72	1	10000000	
74	RidePetNpc	1	73	1	10000000	
75	RidePetNpc	1	74	1	10000000	
76	RidePetNpc	1	75	1	10000000	
77	RidePetNpc	1	76	1	10000000	
78	RidePetNpc	1	77	1	10000000	
79	RidePetNpc	1	78	1	10000000	
80	RidePetNpc	1	79	1	10000000	
81	RidePetNpc	1	80	1	10000000	
114	RidePetNpc	1	81	1	10000000	
115	RidePetNpc	1	114	1	10000000	
116	RidePetNpc	1	115	1	10000000	
117	RidePetNpc	1	116	1	10000000	
118	RidePetNpc	1	117	1	10000000	
119	RidePetNpc	1	118	1	10000000	
120	RidePetNpc	1	119	1	10000000	
121	RidePetNpc	1	120	1	10000000	
122	RidePetNpc	1	121	1	10000000	
123	RidePetNpc	1	122	1	10000000	
124	RidePetNpc	1	123	1	10000000	
125	RidePetNpc	1	124	1	10000000	
126	RidePetNpc	1	125	1	10000000	
127	RidePetNpc	1	126	1	10000000	
128	RidePetNpc	1	127	1	10000000	
