信物定义id	信物Id	信物类型	信物品质	信物提升属性	信物提升角色属性	信物分解产物
int	string	int	int	string	string	string
Id	ItemId	ItemType	ItemQuality	AddAttribute	AddRoleAttribute	Disintegrate
1000	item105000000001	1	1	1,800;4,80;21,300		item105000000022,25
1001	item105000000002	1	1	1,900;3,70;22,380		item105000000022,25
1002	item105000000003	1	1	1,650;4,80;23,320		item105000000022,25
1003	item105000000004	1	1	1,800;3,90;24,340		item105000000022,25
1004	item105000000005	1	1	4,60;1,1000;25,355		item105000000022,25
1005	item105000000006	1	1	4,70;3,80;26,350		item105000000022,25
1006	item105000000007	1	1	4,130;1,520;21,380		item105000000022,25
1007	item105000000008	1	1	4,70;3,80;22,300		item105000000022,25
1008	item105000000009	1	1	3,80;1,730;23,360		item105000000022,25
1009	item105000000010	1	1	3,80;4,60;24,340		item105000000022,25
1010	item105000000011	1	1	3,50;1,1000;25,325		item105000000022,25
1011	item105000000012	1	1	3,80;4,70;26,330		item105000000022,25
1012	item105000000013	2	2	4,180;1,2800;30,420		item105000000023,25
1013	item105000000014	2	2	3,160;1,3300;31,420		item105000000023,25
1014	item105000000015	2	2	1,2000;3,240;32,550		item105000000023,25
1015	item105000000016	2	2	4,190;3,200;33,550		item105000000023,25
1016	item105000000017	2	2	3,200;4,200;30,380		item105000000023,25
1017	item105000000018	2	2	1,2500;4,210;31,380		item105000000023,25
1018	item105000000019	3	3	1,6500;4,400;13,400	13,200	item105000000024,25
1019	item105000000035	3	3	1,4000;3,660;32,600	32,200	item105000000024,25
1020	item105000000036	3	3	1,5200;4,530;11,400	11,200	item105000000024,25
1021	item105000000037	3	3	1,4600;3,600;30,600	30,200	item105000000024,25
1022	item105000000038	3	3	1,5000;3,560;34,600	34,200	item105000000024,25
1023	item105000000039	3	3	1,4000;4,660;33,600	33,200	item105000000024,25
1024	item105000000040	3	3	1,2000;4,1000;11,400	11,200	item105000000024,25
1025	item105000000041	3	3	1,8000;4,260;35,600	35,200	item105000000024,25
1026	item105000000042	3	3	1,4600;3,600;12,400	12,200	item105000000024,25
1027	item105000000043	3	3	1,3300;3,730;31,600	31,200	item105000000024,25
1028	item105000000020	3	4	1,13500;3,1350;4,1350	206,250	item105000000025,25
1029	item105000000045	3	4	1,13500;3,1350;4,1350	52,350	item105000000025,25
1030	item105000000046	3	4	1,13500;3,1350;4,1350	51,350	item105000000025,25
1031	item105000000047	3	4	1,13500;3,1350;4,1350	175,500	item105000000025,25
1032	item105000000021	3	5			
1033	item105000000044	3	4	1,13500;3,1350;4,1350	173,500	item105000000025,25
1034	item105000000048	3	4	1,13500;3,1350;4,1350	174,500	item105000000025,25
1035	item105100000001	3	4	1,13500;3,1350;4,1350	11,250	item105000000025,25
1036	item105100000002	3	4	1,13500;3,1350;4,1350	173,500	item105000000025,25
1037	item105100000003	3	4	1,13500;3,1350;4,1350	30,350	item105000000025,25
1038	item105100000004	3	4	1,13500;3,1350;4,1350	32,350	item105000000025,25
1039	item105100000005	3	4	1,13500;3,1350;4,1350	12,250	item105000000025,25
1040	item105100000006	3	4	1,13500;3,1350;4,1350	34,350	item105000000025,25
1041	item105100000007	3	4	1,13500;3,1350;4,1350	51,500	item105000000025,25
1042	item105100000008	3	3	1,4000;3,800;11,400	12,250	item105000000024,25
1043	item105100000009	3	4	1,13500;3,1350;4,1350	35,350	item105000000025,25
1044	item105100000016	3	4	1,13500;3,1350;4,1350	11,250	item105000000025,25
1045	item105100000017	3	3	1,4000;3,800;11,400	30,200	item105000000024,25
1046	item105100000018	3	4	1,13500;3,1350;4,1350	174,500	item105000000025,25
1047	item105100000019	3	3	1,4000;3,800;11,400	34,200	item105000000024,25
1048	item105100000020	3	4	1,13500;3,1350;4,1350	30,350	item105000000025,25
1049	item105100000021	3	3	1,4000;3,800;11,400	32,200	item105000000024,25
1050	item105100000022	3	4	1,13500;3,1350;4,1350	34,350	item105000000025,25
1051	item105100000023	3	4	1,13500;3,1350;4,1350	13,250	item105000000025,25
1052	item105100000024	3	3	1,4000;3,800;11,400	33,200	item105000000024,25
1053	item105100000025	3	4	1,13500;3,1350;4,1350	32,350	item105000000025,25
1054	item105100000026	3	3	1,4000;3,800;11,400	12,200	item105000000024,25
1055	item105100000027	3	4	1,13500;3,1350;4,1350	35,350	item105000000025,25
1056	item105100000028	3	4	1,13500;3,1350;4,1350	11,250	item105000000025,25
1057	item105100000029	3	4	1,13500;3,1350;4,1350	52,350	item105000000025,25
1058	item105100000030	3	4	1,13500;3,1350;4,1350	173,500	item105000000025,25
1059	item105100000031	3	4	1,13500;3,1350;4,1350	174,500	item105000000025,25
1060	item105100000032	3	3	1,4000;3,800;11,400	33,200	item105000000024,25
1061	item105100000033	3	4	1,13500;3,1350;4,1350	52,350	item105000000025,25
1062	item105100000034	3	3	1,4000;3,800;11,400	51,200	item105000000024,25
1063	item105100000035	3	4			item105000000024,25
1064	item105100000036	3	3	1,4000;3,800;11,400	30,200	item105000000024,25
1065	item105100000037	3	4			item105000000024,25
1066	item105100000038	3	3	1,4000;3,800;11,400	34,200	item105000000024,25
1067	item105100000039	3	4	1,13500;3,1350;4,1350	32,350	item105000000025,25
1068	item105100000040	3	4	1,13500;3,1350;4,1350	34,350	item105000000025,25
1069	item105100000041	3	4	1,13500;3,1350;4,1350	35,350	item105000000025,25
1070	item105100000042	3	4	1,13500;3,1350;4,1350	31,350	item105000000025,25
1071	item105100000043	3	4	1,13500;3,1350;4,1350	51,350	item105000000025,25
1072	item105100000044	3	4	1,13500;3,1350;4,1350	34,350	item105000000025,25
1073	item105100000045	3	4	1,13500;3,1350;4,1350	32,350	item105000000025,25
1074	item105100000046	3	3	1,4000;3,800;11,400	11,200	item105000000024,25
1075	item105100000047	3	4	1,13500;3,1350;4,1350	34,350	item105000000025,25
1076	item105100000048	3	3	1,4000;3,800;11,400	13,200	item105000000024,25
1077	item105100000049	3	4	1,13500;3,1350;4,1350	35,350	item105000000025,25
1078	item105100000050	3	4	1,13500;3,1350;4,1350	52,350	item105000000025,25
1079	item105100000051	3	4	1,13500;3,1350;4,1350	51,350	item105000000025,25
1080	item105100000052	3	4	1,13500;3,1350;4,1350	13,250	item105000000025,25
1081	item105100000053	3	4	1,13500;3,1350;4,1350	31,350	item105000000025,25
1082	item105100000054	3	3	1,4000;3,800;11,400	33,200	item105000000024,25
