编号	等级	部位	升级累积经验	对品质产出的影响	对装等产出的影响
int	int	int	int	int	int
Id	Level	ForgingParts	TotalExp	RareChanceUp	ItemLvChanceUp
1	0	1	0	0	0
2	1	1	100	100	200
3	2	1	300	200	400
4	3	1	600	300	600
5	4	1	1000	400	800
6	5	1	1500	500	1000
7	6	1	2100	600	1200
8	7	1	2800	700	1400
9	8	1	3600	800	1600
10	9	1	4500	900	1800
11	10	1	5500	1000	2000
12	11	1	6600	1100	2200
13	12	1	7800	1200	2400
14	13	1	9100	1300	2600
15	14	1	10500	1400	2800
16	15	1	12000	1500	3000
17	16	1	13600	1600	3200
18	17	1	15300	1700	3400
19	18	1	17100	1800	3600
20	19	1	19000	1900	3800
21	20	1	21000	2000	4000
22	21	1	23100	2100	4200
23	22	1	25300	2200	4400
24	23	1	27600	2300	4600
25	24	1	30000	2400	4800
26	25	1	32500	2500	5000
27	26	1	35100	2600	5200
28	27	1	37800	2700	5400
29	28	1	40600	2800	5600
30	29	1	43500	2900	5800
31	30	1	46500	3000	6000
32	31	1	49600	3100	6200
33	32	1	52800	3200	6400
34	33	1	56100	3300	6600
35	34	1	59500	3400	6800
36	35	1	63000	3500	7000
37	36	1	66600	3600	7200
38	37	1	70300	3700	7400
39	38	1	74100	3800	7600
40	39	1	78000	3900	7800
41	40	1	82000	4000	8000
42	41	1	86100	4100	8200
43	42	1	90300	4200	8400
44	43	1	94600	4300	8600
45	44	1	99000	4400	8800
46	45	1	103500	4500	9000
47	46	1	108100	4600	9200
48	47	1	112800	4700	9400
49	48	1	117600	4800	9600
50	49	1	122500	4900	9800
51	50	1	127500	5000	10000
52	51	1	132600	5100	10200
53	52	1	137800	5200	10400
54	53	1	143100	5300	10600
55	54	1	148500	5400	10800
56	55	1	154000	5500	11000
57	56	1	159600	5600	11200
58	57	1	165300	5700	11400
59	58	1	171100	5800	11600
60	59	1	177000	5900	11800
61	60	1	183000	6000	12000
62	61	1	189100	6100	12200
