流水	道具id	消耗货币类型	折扣	原价	消耗货币（现价）	限购次数
int	string	int	int	int	int	int
Id	RewardID	BuyLimitType	Discount	Price	Consume	BuyLimitNum
101	item8103010121003,1	1	8	50000	40000	2
102	item107999900001,1	1	8	60000	48000	10
103	item101040101015,1	1	8	100000	80000	5
104	item107999900002,1	2	8	3000	2400	2
105	item101040101015,1	2	8	1000	800	2
106	item8119100000000,1	2	8	3000	2400	1
107	item8108100103152,1	2	9	1200	1080	2
108	item8108100103052,1	2	9	1200	1080	2
109	item8108100103252,1	2	9	1200	1080	2
201	item8103010121003,1	2	6	500	300	2
202	item107999900001,1	2	6	600	360	5
203	item101040101015,1	2	6	1000	600	10
204	item8100000000012,1	2	8	2000	1600	1
205	item8119100000000,1	2	7	3000	2100	3
206	item8103010121004,1	2	8	2000	1600	2
207	item107200041001,1	2	7	500	350	3
208	item107300000001,1	2	8	2000	1600	5
209	item8103010111017,1	2	6	1000	600	10
210	item8103015110413,1	2	5	1000	500	5
301	item8103010121003,1	2	6	500	300	2
302	item107999900001,1	2	6	600	360	5
303	item101040101015,1	2	6	1000	600	10
304	item8100000000012,1	2	8	2000	1600	1
305	item8119100000000,1	2	7	3000	2100	3
306	item170000120020,1	3	8	5	4	20
307	item8103010121005,1	3	8	80	64	1
308	item101020504900,1	3	7	300	210	1
309	item100000000059,1	3	4	40	16	5
310	item107200042001,1	3	6	20	12	2
311	item8103010111018,1	3	8	125	100	5
312	item107200043001,1	3	7	50	35	1
401	item107200041001,1	3	2	5	1	5
402	item107200042001,1	3	5	20	10	3
403	item107200043001,1	3	7	50	35	2
404	item119100000005,1	3	9	160	144	1
405	item119100000004,1	3	9	160	144	1
406	item119100000006,1	3	9	160	144	1
407	item103010131003,1	3	9	100	90	3
408	item8103015110409,1	3	9	240	216	2
409	item107300000002,1	3	7	50	35	5
410	item107200051001,1	3	8	225	180	1
411	item8103015110302,1	3	9	150	135	2
412	item8103015110303,1	3	9	100	90	2
413	item8103015110305,1	3	9	120	108	2
414	item107200052001,1	3	9	450	405	1
501	item107300000001,1	3	6	20	12	5
502	item8103010111017,1	3	5	10	5	10
503	item103010131001,1	3	4	5	2	20
504	item8170000120020,1	3	8	5	4	1
505	item100000000006,1	3	9	10	9	1
506	item101020504800,1	3	6	40	24	1
507	item119100000005,1	3	9	160	144	1
508	item119100000004,1	3	9	160	144	1
509	item119100000006,1	3	9	160	144	1
510	item103010131003,1	3	9	100	90	3
511	item8103015110409,1	3	9	240	216	2
512	item107300000002,1	3	7	50	35	5
513	item107200051001,1	3	8	225	180	1
514	item8103015110302,1	3	9	150	135	2
515	item8103015110303,1	3	9	100	90	2
516	item8103015110305,1	3	9	120	108	2
517	item107200052001,1	3	9	450	405	1
601	item8100000000013,1	3	6	120	72	1
602	item119100000005,1	3	8	160	128	1
603	item119100000004,1	3	8	160	128	1
604	item101020504900,1	3	7	300	210	3
605	item119100000002,1	3	8	300	240	1
606	item8103015110401,1	3	9	1000	900	1
607	item8103015110403,1	3	9	2000	1800	1
608	item8103015110408,1	3	9	480	432	1
609	item8103015110412,1	3	9	1000	900	1
1001	item8100000000013,1	3	6	120	72	1
1002	item107200051001,1	3	8	225	180	1
1003	item107200052001,1	3	9	450	405	1
1004	item107300000002,1	3	9	50	45	3
1005	item119100000005,1	3	8	160	128	1
1006	item119100000004,1	3	8	160	128	1
1007	item101020504900,1	3	7	300	210	3
1008	item119100000002,1	3	8	300	240	1
1009	item8103015110401,1	3	9	1000	900	1
1010	item8103015110403,1	3	9	2000	1800	1
1011	item8103015110408,1	3	9	480	432	1
1012	item8103015110412,1	3	9	1000	900	1
