流水	所在章节	关卡组	关卡ID	关卡类型	难度	场景ID	关卡标题	关卡头像	头像展示缩放	头像展示位置偏移	关卡位置坐标	前置关卡	前置星数	解锁等级	下一关	触发buff评分	小怪BUFF列表	精英怪buff列表	BOSS怪BUFF列表	首通奖励	推荐评分	副本介绍	显示用关卡序号	核心关展示奖励
int	int	int	int	int	int	int	string	string	float	vector3	string	string	string	int	string	int	string	string	string	string	string	string	string	string
ID	ChapterID	GroupID	MissionrId	TypeID	LevelID	SceneID	MissionTitle	MissionHead	HeadZoom	HeadPos	MissionPos	PreMission	PreStar	UnlockLevel	NextLevel	AddBuffScore	MonsterBuffID	EliteBuffID	BossBuffID	Reward	RecommendScore	DEC	MissionShow	ShowReward
1	1	101	10101	1	1	1609	EpicMissionTitle10101	m922_portrait01	1.200000	0,16,0	-378.0,199.9			30	1,102,10201	5000			skill40402::buff_03	item1014,30;item1000,100000;item105000000030,2	5000	EpicMissionDECEpicMissionTitle10101	MissionShow101	item1014,30
2	1	101	10102	1	2	1649	EpicMissionTitle10102	m922_portrait01	1.200000	0,16,0	-378.0,199.9	1,101,10101	2,10	30	1,104,10402	10000			skill40402::buff_03	item1014,30;item105000000031,1;item8103010111017,3	10000	EpicMissionDECEpicMissionTitle10102	MissionShow101	item1014,30
3	1	101	10103	1	3	1658	EpicMissionTitle10103	m922_portrait01	1.200000	0,16,0	-378.0,199.9	1,101,10102	1,14	30	1,104,10403	35000			skill40402::buff_03	item1014,35;item8200000800001,2;item161000000002,1	35000	EpicMissionDECEpicMissionTitle10103	MissionShow101	item161000000002,1
4	1	102	10201	2	1	1606	EpicMissionTitle10201	m002_portrait01	1.000000	0,10,0	-549.4,-12.8	1,101,10101		30	1,103,10301	6000	skill40402::buff_01			item8103010121003,3;item1000,100000;item105000000030,2	6000	EpicMissionDECEpicMissionTitle10201	MissionShow102	
5	1	103	10301	2	1	1607	EpicMissionTitle10301	m004_portrait01	1.000000	3,6,0	-377.1,-209.7	1,102,10201		30	1,104,10401	7000	skill40402::buff_01			item8103010121003,3;item1000,100000;item105000000030,2	7000	EpicMissionDECEpicMissionTitle10301	MissionShow103	
6	1	104	10401	1	1	1610	EpicMissionTitle10401	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	1,103,10301		30	1,105,10501	10000	skill40402::buff_01	skill40402::buff_02		item1014,30;item8106210100016,2;item105000000030,2	10000	EpicMissionDECEpicMissionTitle10401	MissionShow104	item1014,30
7	1	104	10402	1	2	1659	EpicMissionTitle10402	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	1,104,10401	2,10	30	1,107,10702	15000	skill40402::buff_01	skill40402::buff_02		item1014,30;item105000000031,1;item8103010111017,3	15000	EpicMissionDECEpicMissionTitle10402	MissionShow104	item1014,30
8	1	104	10403	1	3	1652	EpicMissionTitle10403	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	1,104,10402	1,14	30	1,107,10703	40000	skill40402::buff_01	skill40402::buff_02		item1014,35;item8200000800001,2;item161000000002,1	40000	EpicMissionDECEpicMissionTitle10403	MissionShow104	item161000000002,1
