流水	奖励类型	奖励条件类型	领取条件	奖励
int	int	int	string	string
Id	RewardType	ConditionType	Condition	Reward
1	3	3	2,1	item1048,400
2	3	3	3,1	item1048,600
3	3	3	4,1	item1048,800
4	3	3	5,1	item1048,1000
5	3	3	6,1	item1048,1200
6	3	3	7,1	item1048,1500
7	3	3	8,1	item1048,1800
8	3	3	9,1	item1048,2100
9	3	3	10,1	item1048,2500
10	1	2	1	item1048,100;item100000000006,2;item101200000016,3;item17909000000001,3;item107999900001,2
11	1	1	1	item1048,50;item100000000006,1;item101200000016,2;item17909000000001,2;item100500000001,1
12	1	1	3	item1048,100;item100000000006,1;item101200000016,2;item17909000000001,2;item8103010121003,2
13	1	1	5	item1048,150;item100000000006,2;item101200000016,3;item17909000000001,3;item102020061001,1
14	2	2	1	item1048,50;item100000000006,2;item102020061002,1
15	2	1	1	item1048,100;item100000000006,1;item8103010111017,5
16	1	4	1	item17908000000005,60
17	1	4	2	item17908000000005,60
18	1	4	3	item17908000000005,60
19	1	4	4	item17908000000005,60
20	1	4	5	item17908000000005,60
