关卡ID	关卡类型	关卡名字	前置关卡	关卡图标	关卡图标位置	初始坐标	进场景对话	场景胜利对话	开放时间	固定事件	关卡难度	BOSS	首通奖励	章节步数	基础奖励	章节地图	章节背景	遮罩方案	BOSS特效	BOSS特效偏移	BOSS特效大小
int	int	string	int	string	vector2	vector2	string	string	string	string	string	string	string	int	string	string	string	int	string	vector2	float
RegionID	RegionType	RegionTitle	Regionlimit	Icon	Iconlocation	RegionStart	EnterMapTalk	BigBossWinTalk	OpenTime	RareEvent	RangeBOSS	BOSSID	FirstReward	MoveLimit	Reward	MapName	MapBGName	MapCover	Mapeffect	effectlocation	effectsize
101	1	Guard_Minimap_105	0	b010_portrait01	-20,-200	0,1	guard_story117	guard_story118	2023-04-04-05:00:00	7,4,10101;7,0,10201	50,99,1;100,149,2;150,-1,3	Monster4	item1056,100;item127000068122,250;item127000068118,20|item1056,150;item127000068122,350;item127000068118,25|item1056,200;item127000068122,450;item127000068118,30	20	item1056,20;item1057,5|item1056,30;item1057,5|item1056,40;item1057,5	bg02_guard_lawn02	bg01_guard_lawn01	0	1830109,1830110,1830111	0,40	1.500000
102	1	Guard_Minimap_106	101	b011_portrait01	350,35	0,3	guard_story119	guard_story120	2023-04-04-05:00:00	7,4,10101;7,0,10201	50,99,1;100,149,2;150,-1,3	Monster5	item1056,150;item127000068122,550;item127000068118,35|item1056,200;item127000068122,650;item127000068118,40|item1056,250;item127000068122,750;item127000068118,45	20	item1056,20;item1057,5|item1056,30;item1057,5|item1056,40;item1057,5	bg04_guard_wood02	bg03_guard_wood01	1	1830109,1830110,1830111	-5,50	1.500000
103	1	Guard_Minimap_107	202	b715_portrait01	-255,145	0,4	guard_story121	guard_story122	2023-04-04-05:00:00	7,4,10101;7,0,10201	50,99,1;100,149,2;150,-1,3	Monster6	item1056,300;item127000068126,250;item127000068119,20|item1056,350;item127000068126,350;item127000068119,25|item1056,400;item127000068126,450;item127000068119,30	20	item1056,20;item1057,5|item1056,30;item1057,5|item1056,40;item1057,5	bg06_guard_grey02	bg05_guard_grey01	2	1830109,1830110,1830111	-7,40	1.300000
104	1	Guard_Minimap_108	103	b716_portrait01	-35,250	0,1	guard_story123	guard_story124	2023-04-04-05:00:00	7,4,10101;7,0,10201;3,2,4001;3,3,4001;4,2,4001;4,3,4001	50,99,1;100,149,2;150,-1,3	Monster7	item1056,350;item127000068126,550;item127000068119,35|item1056,400;item127000068126,650;item127000068119,40|item1056,450;item127000068126,750;item127000068119,45	20	item1056,20;item1057,5|item1056,30;item1057,5|item1056,40;item1057,5	bg07_guard_crystal01	bg08_guard_crystal02	3	1830109,1830110,1830111	0,30	1.300000
201	2	Guard_Minimap_205	102	b017_portrait01	-35,250	0,3	guard_story125	guard_story126	2023-04-04-05:00:00	7,4,10101;7,0,10201;3,2,4001;3,3,4001;4,2,4001;4,3,4001	50,99,1;100,149,2;150,-1,3	Monster8	item1056,200;item127000068124,250;item127000068118,50|item1056,250;item127000068124,350;item127000068118,55|item1056,300;item127000068124,450;item127000068118,60	20	item1056,20;item1057,5|item1056,30;item1057,5|item1056,40;item1057,5	bg07_guard_crystal01	bg08_guard_crystal02	3	1830109,1830110,1830111	-8,35	1.500000
202	2	Guard_Minimap_206	201	b030_portrait01	-255,145	0,4	guard_story127	guard_story128	2023-04-04-05:00:00	7,4,10101;7,0,10201	50,99,1;100,149,2;150,-1,3	Monster9	item1056,250;item127000068124,550;item127000068118,65|item1056,300;item127000068124,650;item127000068118,70|item1056,350;item127000068124,750;item127000068118,75	20	item1056,20;item1057,5|item1056,30;item1057,5|item1056,40;item1057,5	bg06_guard_grey02	bg05_guard_grey01	2	1830109,1830110,1830111	0,40	1.500000
203	2	Guard_Minimap_207	104	b029_portrait01	350,35	0,2	guard_story129	guard_story130	2023-04-04-05:00:00	7,4,10101;7,0,10201	50,99,1;100,149,2;150,-1,3	Monster10	item1056,400;item127000068128,250;item127000068119,50|item1056,450;item127000068128,350;item127000068119,55|item1056,500;item127000068128,450;item127000068119,60	20	item1056,20;item1057,5|item1056,30;item1057,5|item1056,40;item1057,5	bg04_guard_wood02	bg03_guard_wood01	1	1830109,1830110,1830111	-8,40	1.500000
204	2	Guard_Minimap_208	203	b717_portrait01	-20,-200	0,4	guard_story131	guard_story132	2023-04-04-05:00:00	7,4,10101;7,0,10201	50,99,1;100,149,2;150,-1,3	Monster11	item1056,450;item127000068128,550;item127000068119,65|item1056,500;item127000068128,650;item127000068119,70|item1056,550;item127000068128,750;item127000068119,75	20	item1056,20;item1057,5|item1056,30;item1057,5|item1056,40;item1057,5	bg02_guard_lawn02	bg01_guard_lawn01	0	1830109,1830110,1830111	-8,35	1.500000
