流水	精灵	突破等级	所需等级	人物等级	需求材料	合成需求货币	货币数量	等级上限	主动技能	被动技能	魔灵进阶出战属性列表	突破外观变化	协助奖励	战宠阵列突破属性	突破属性描述	进阶等级	突破消耗碎片数量
int	string	int	int	int	string	int	int	int	string	string	string	string	string	string	string	int	int
Id	Fairy	BreakLevel	NeedGrowLevel	PlayerLevel	DemandItem	DemandCurrencyType	DemandCurrenyNum	LevelLimit	SkillID	BuffID	FightPropList	BreakPetId	HelpReward	UnlockPropList	UnlockPropListDEC	AdvancedLevel	PetFragmentCost
1	pet_101	0	0	1		0	0	30	skill60561,1	skill60571,1		pet_101		3,3;1,37	UnlockPropListDECpet_1010	0	0
2	pet_101	1	30	21	item101020505209,2	1	100000	40	skill60561,2	skill60571,2	1,150;21,50;25,50	pet_101	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1011	0	0
3	pet_101	2	40	21	item101020505209,3	1	120000	50	skill60561,3	skill60571,3	1,200;3,20;4,20	pet_101	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1012	0	0
4	pet_101	3	50	31	item101020505209,5	1	140000	60	skill60561,4	skill60571,4	4,25;24,70;26,70	pet_101	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1013	0	0
5	pet_101	4	60	41	item101020505209,8	1	160000	70	skill60561,5	skill60571,5	1,300;22,80;25,80	pet_101	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1014	0	0
6	pet_101	5	70	51	item101020505209,10	1	180000	70	skill60561,6	skill60571,6	52,100;30,100;32,100	pet_101	item100000000005,3	3,1;1,12	UnlockPropListDECpet_1015	0	0
7	pet_104	0	0	1		0	0	30	skill60561,1	skill60571,1		pet_104		3,7;4,7	UnlockPropListDECpet_1040	0	0
8	pet_104	1	30	21	item101020505210,4	1	200000	40	skill60561,2	skill60571,2	1,200;21,60;25,60	pet_104	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1041	0	0
9	pet_104	2	40	21	item101020505210,6	1	300000	50	skill60561,3	skill60571,3	1,250;3,25;4,25	pet_104	item100000000005,3	3,2;4,2	UnlockPropListDECpet_1042	0	0
