奇遇ID	地图ID	奇遇类型	奇遇图标	事件描述	武艺属性要求	才艺属性要求	学徒数量	奇遇基础奖励	勋章奖励
int	int	int	string	string	string	string	int	string	int
AdventureId	MapId	AdventureType	AdventureIcon	AdventureDes	PropCondition	ArtPropCondition	Num	AdventureReward	MedalId
71101	1001	1	icon_traranbox	AdventureDes71101	3,1580	1,260	1	item127000063000,2;item127000063001,4;item127000063020,1	0
71102	1001	1	icon_traranbox	AdventureDes71102	32,1610	4,260	1	item127000063000,2;item127000063001,4;item127000063020,1	0
71103	1001	1	icon_traranbox	AdventureDes71103	35,4120	1,660;2,660	2	item127000063000,2;item127000063001,6;item127000063020,1	0
71104	1001	1	icon_traranbox	AdventureDes71104	3,3770;4,3800	1,660	2	item127000063000,2;item127000063001,6;item127000063020,1	0
71105	1001	1	icon_traranbox	AdventureDes71105	30,5620;31,5620	4,900	2	item127000063000,2;item127000063001,6;item127000063020,3	0
71106	1001	1	icon_traranbox	AdventureDes71106	1,49260	2,900	2	item127000063000,2;item127000063001,6;item127000063020,3	0
71107	1001	1	icon_traranbox	AdventureDes71107	33,9850	5,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71108	1001	1	icon_traranbox	AdventureDes71108	30,9850	3,1570;4,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71109	1001	1	icon_traranbox	AdventureDes71109	32,9850;33,9850	2,1570	3	item127000063000,2;item127000063001,7;item127000063020,3	0
71110	1001	1	icon_traranbox	AdventureDes71110	1,108020;3,10880	5,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71111	1001	1	icon_traranbox	AdventureDes71111	4,11170	3,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71112	1001	1	icon_traranbox	AdventureDes71112	34,14220	6,2120	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71113	1001	1	icon_traranbox	AdventureDes71113	31,21780	5,3440;6,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
71114	1001	1	icon_traranbox	AdventureDes71114	34,23410;35,23410	3,3440	4	item127000063000,2;item127000063001,7;item127000063002,1;item127000063020,4	0
