流水id	漫步特效ID	漫步特效分档	漫步足迹特效ID	漫步足特效	漫步足音效	解锁阶数	漫步名字	漫步描述
int	int	int	int	int	int	int	string	string
Id	EffectId	EffectLevel	FootprintEffectId	FootEffectId	FootAudioId	UnlockRank	StrollName	StrollContent
1	10010	1	12000101	12100101	407	1	StrollName_10010	StrollContent_10010
2	10010	2	12000102	12100102	407	16	StrollName_10010	StrollContent_10010
3	10010	3	12000103	12100103	407	31	StrollName_10010	StrollContent_10010
4	10020	1	12000201	12100201	407	6	StrollName_10020	StrollContent_10020
5	10020	2	12000202	12100202	407	16	StrollName_10020	StrollContent_10020
6	10020	3	12000203	12100203	407	31	StrollName_10020	StrollContent_10020
7	10030	1	12000301	12100301	407	6	StrollName_10030	StrollContent_10030
8	10030	2	12000302	12100302	407	16	StrollName_10030	StrollContent_10030
9	10030	3	12000303	12100303	407	31	StrollName_10030	StrollContent_10030
10	10040	1	12000401	12100401	407	6	StrollName_10040	StrollContent_10040
11	10040	2	12000402	12100402	407	16	StrollName_10040	StrollContent_10040
12	10040	3	12000403	12100403	407	31	StrollName_10040	StrollContent_10040
13	10050	1	12000501	12100501	407	6	StrollName_10050	StrollContent_10050
14	10050	2	12000502	12100502	407	16	StrollName_10050	StrollContent_10050
15	10050	3	12000503	12100503	407	31	StrollName_10050	StrollContent_10050
16	10060	1	12000601	12100601	407	6	StrollName_10060	StrollContent_10060
17	10060	2	12000602	12100602	407	16	StrollName_10060	StrollContent_10060
18	10060	3	12000603	12100603	407	31	StrollName_10060	StrollContent_10060
19	10070	1	12000701	12100701	407	6	StrollName_10070	StrollContent_10070
20	10070	2	12000702	12100702	407	16	StrollName_10070	StrollContent_10070
21	10070	3	12000703	12100703	407	31	StrollName_10070	StrollContent_10070
22	10080	1	12000801	12100801	131	6	StrollName_10080	StrollContent_10080
23	10080	2	12000802	12100802	131	16	StrollName_10080	StrollContent_10080
24	10080	3	12000803	12100803	131	31	StrollName_10080	StrollContent_10080
25	10090	1	12000901	12100901	407	6	StrollName_10090	StrollContent_10090
26	10090	2	12000902	12100902	407	16	StrollName_10090	StrollContent_10090
27	10090	3	12000903	12100903	407	31	StrollName_10090	StrollContent_10090
28	10100	1	12001001	12101001	407	6	StrollName_10100	StrollContent_10100
29	10100	2	12001002	12101002	407	16	StrollName_10100	StrollContent_10100
30	10100	3	12001003	12101003	407	31	StrollName_10100	StrollContent_10100
31	10110	1	12001101	12101101	407	6	StrollName_10110	StrollContent_10110
32	10110	2	12001102	12101102	407	16	StrollName_10110	StrollContent_10110
