目标库	目标场景	目标NPC
int	int	string
TargetBox	TargetScene	TargetNPC
1	1	npc_crack_1001
1	1	npc_crack_1002
1	1	npc_crack_1003
1	1	npc_crack_1004
1	1	npc_crack_1005
1	1	npc_crack_1006
1	1	npc_crack_1007
1	1	npc_crack_1008
1	1	npc_crack_1009
1	1	npc_crack_1010
1	4	npc_crack_3001
1	4	npc_crack_3002
1	4	npc_crack_3003
1	4	npc_crack_3004
1	4	npc_crack_3005
1	4	npc_crack_3006
1	4	npc_crack_3007
1	4	npc_crack_3008
1	4	npc_crack_3009
1	4	npc_crack_3010
1	3	npc_crack_4001
1	3	npc_crack_4002
1	3	npc_crack_4003
1	3	npc_crack_4004
1	3	npc_crack_4005
1	3	npc_crack_4006
1	3	npc_crack_4007
1	3	npc_crack_4008
1	3	npc_crack_4009
1	3	npc_crack_4010
1	4	npc_crack_3001
1	4	npc_crack_3002
1	4	npc_crack_3003
1	4	npc_crack_3004
1	4	npc_crack_3005
1	4	npc_crack_3006
1	4	npc_crack_3007
1	4	npc_crack_3008
1	4	npc_crack_3009
1	4	npc_crack_3010
2	1	npc_specialcrack_1001
2	1	npc_specialcrack_1002
2	1	npc_specialcrack_1003
2	1	npc_specialcrack_1004
2	1	npc_specialcrack_1005
2	3	npc_specialcrack_4001
2	3	npc_specialcrack_4002
2	3	npc_specialcrack_4003
2	3	npc_specialcrack_4004
2	3	npc_specialcrack_4005
2	4	npc_specialcrack_3001
2	4	npc_specialcrack_3002
2	4	npc_specialcrack_3003
2	4	npc_specialcrack_3004
3	1	npc_goldcrack_1001
3	1	npc_crack_1001
3	1	npc_crack_1002
3	1	npc_crack_1003
3	1	npc_crack_1004
3	1	npc_crack_1005
3	1	npc_crack_1006
3	4	npc_goldcrack_3001
3	4	npc_crack_3001
3	4	npc_crack_3002
3	4	npc_crack_3003
3	4	npc_crack_3004
3	4	npc_crack_3005
3	4	npc_crack_3006
3	3	npc_goldcrack_4001
3	3	npc_crack_4001
3	3	npc_crack_4002
3	3	npc_crack_4003
3	3	npc_crack_4004
3	3	npc_crack_4005
3	3	npc_crack_4006
